Date,Open,High,Low,Close,Volume
2010-01-04,118.25,119.08,115.45,116.74,1228738.0
2010-01-05,117.34,117.34,117.34,117.04,443693.0
2010-01-07,115.3,116.28,114.77,116.21,1492207.0
2010-01-08,115.9,116.28,114.62,114.85,1178169.0
2010-01-11,114.92,115.83,113.64,114.17,26040.0
2010-01-12,114.17,115.38,112.96,115.0,1049292.0
2010-01-13,115.22,116.06,114.85,114.85,1246248.0
2010-01-14,115.3,115.68,114.09,114.92,1405611.0
2010-01-15,116.89,121.11,116.51,119.0,3615529.0
2010-01-18,119.23,120.89,118.62,120.13,1162226.0
2010-01-19,120.13,120.66,118.47,118.77,1524048.0
2010-01-20,118.77,120.06,117.26,117.34,1350261.0
2010-01-21,118.25,119.0,117.57,117.94,1272299.0
2010-01-22,117.26,118.62,111.75,116.66,1317562.0
2010-01-25,116.21,117.11,115.6,116.89,1090995.0
2010-01-26,115.9,117.72,115.9,117.26,937993.0
2010-01-27,116.74,118.17,116.66,117.79,1091262.0
2010-01-28,118.32,118.47,116.81,117.72,1584596.0
2010-01-29,117.72,118.17,116.74,117.49,1110114.0
2010-02-01,117.34,117.79,116.51,117.79,894435.0
2010-02-02,118.25,119.15,117.04,119.15,1147839.0
2010-02-03,119.53,119.68,118.25,118.92,541792.0
2010-02-04,118.85,118.92,117.04,117.72,1302540.0
2010-02-05,117.34,118.02,115.0,117.04,1957143.0
2010-02-08,117.64,120.28,117.11,119.3,1886465.0
2010-02-09,118.55,118.77,117.94,118.77,1333120.0
2010-02-10,119.53,120.06,117.34,118.92,886920.0
2010-02-11,119.68,120.21,118.32,119.68,1224630.0
2010-02-12,120.81,121.49,120.06,121.04,1682275.0
2010-02-15,121.27,121.49,119.38,119.76,741655.0
2010-02-16,119.83,120.06,118.55,119.98,1329189.0
2010-02-17,120.21,120.28,119.0,120.06,604119.0
2010-02-18,120.66,120.81,119.15,120.74,973512.0
2010-02-19,120.43,122.25,120.43,121.95,1041364.0
2010-02-22,121.87,121.95,120.36,120.74,1023506.0
2010-02-23,121.57,122.47,120.81,121.57,1103486.0
2010-02-24,122.7,122.7,120.59,121.42,737950.0
2010-02-25,123.0,123.76,121.57,123.08,1432436.0
2010-02-26,123.83,124.21,122.1,122.62,1678877.0
2010-03-01,123.46,124.44,122.47,124.13,968458.0
2010-03-02,124.06,125.34,123.38,125.34,910790.0
2010-03-03,125.34,126.48,124.66,125.12,1002318.0
2010-03-04,125.19,126.1,124.66,125.49,779716.0
2010-03-05,125.72,126.4,124.29,125.04,789967.0
2010-03-08,124.81,125.19,123.83,123.98,490868.0
2010-03-09,123.76,124.51,123.23,124.13,634043.0
2010-03-10,123.68,124.59,123.68,124.44,649784.0
2010-03-11,123.83,124.74,123.38,123.83,809482.0
2010-03-12,123.61,124.44,123.08,123.08,702453.0
2010-03-15,122.62,126.02,122.32,125.42,2465288.0
2010-03-16,126.32,126.85,125.42,126.78,1384547.0
2010-03-17,126.78,127.16,125.95,126.48,773057.0
2010-03-18,126.4,127.38,124.97,126.93,1124340.0
2010-03-19,126.63,129.57,126.63,129.19,1245513.0
2010-03-22,128.97,129.57,128.14,128.74,930168.0
2010-03-23,129.27,130.18,128.74,129.5,834361.0
2010-03-24,129.87,130.93,128.97,130.02,566036.0
2010-03-25,130.48,131.01,129.04,129.65,1003179.0
2010-03-26,129.57,130.48,128.97,130.4,695422.0
2010-03-29,131.08,131.91,130.4,130.63,675943.0
2010-03-30,130.78,131.16,129.19,129.95,942425.0
2010-03-31,130.25,130.78,128.97,130.33,702686.0
2010-04-01,130.7,131.08,130.25,130.25,407348.0
2010-04-06,129.5,131.53,129.5,131.53,671201.0
2010-04-07,132.06,132.21,130.63,131.16,521009.0
2010-04-08,130.55,130.55,128.82,130.18,701182.0
2010-04-09,130.33,130.93,129.87,130.93,550800.0
2010-04-12,131.01,131.61,130.25,131.08,327890.0
2010-04-13,130.63,131.08,129.12,129.42,944128.0
2010-04-14,129.19,130.63,128.97,128.97,921390.0
2010-04-15,129.72,129.95,128.51,129.12,873500.0
2010-04-16,129.27,129.87,127.31,127.83,958422.0
2010-04-19,127.61,129.42,126.93,127.99,658382.0
2010-04-20,128.89,129.57,127.61,128.97,498257.0
2010-04-21,129.8,129.8,126.17,126.4,1560625.0
2010-04-22,126.85,128.97,125.8,127.68,913554.0
2010-04-23,128.36,128.74,126.25,127.31,1544002.0
2010-04-26,127.38,127.46,125.42,125.95,941570.0
2010-04-27,126.63,126.63,123.46,123.46,1611035.0
2010-04-28,123.81,125.2,121.71,121.71,1785267.0
2010-04-29,122.72,130.65,122.56,127.85,2215563.0
2010-04-30,128.55,129.56,124.51,128.63,790301.0
2010-05-03,128.94,129.4,126.53,128.24,829994.0
2010-05-04,127.77,128.94,126.14,126.45,1303875.0
2010-05-05,126.37,127.77,124.27,124.27,1086683.0
2010-05-06,124.04,126.22,123.18,124.43,1307029.0
2010-05-07,121.86,124.51,118.75,121.32,2276265.0
2010-05-10,122.64,126.37,121.86,126.37,1976582.0
2010-05-11,125.83,125.83,123.96,125.2,1012032.0
2010-05-12,125.59,126.29,123.88,125.59,324718.0
2010-05-14,126.22,126.22,122.87,123.26,1100760.0
2010-05-17,123.11,125.28,122.02,124.12,1460663.0
2010-05-18,125.9,126.22,123.49,126.22,1122102.0
2010-05-19,124.89,126.68,124.19,124.35,2147721.0
2010-05-20,124.43,125.36,122.87,124.19,2048735.0
2010-05-21,124.89,125.36,122.72,123.34,3263675.0
2010-05-24,124.19,124.66,122.09,122.09,1795592.0
2010-05-25,120.07,122.87,118.75,122.09,1953416.0
2010-05-26,123.49,125.28,121.86,124.58,2029593.0
2010-05-27,125.36,126.92,124.43,126.45,1084621.0
2010-05-28,127.46,127.46,125.98,126.76,700272.0
2010-05-31,127.3,127.62,126.29,127.62,351402.0
2010-06-01,127.38,127.69,125.83,127.15,1065066.0
2010-06-02,127.3,130.65,126.45,130.65,1137129.0
2010-06-03,131.27,132.2,130.8,131.74,1753474.0
2010-06-04,131.5,132.83,130.49,131.04,2359782.0
2010-06-07,129.09,131.89,128.86,131.35,1426320.0
2010-06-08,132.2,132.9,131.04,132.28,1204752.0
2010-06-09,132.75,136.09,132.59,136.09,1655543.0
2010-06-10,135.39,136.56,134.77,136.48,1196643.0
2010-06-11,136.87,136.87,134.07,135.0,1216713.0
2010-06-14,135.24,135.86,134.69,135.31,1110048.0
2010-06-15,134.46,136.09,134.3,135.86,965204.0
2010-06-16,136.87,136.87,134.69,135.78,985137.0
2010-06-17,135.08,136.01,133.53,134.77,1192623.0
2010-06-18,134.54,136.33,134.54,135.0,1763456.0
2010-06-21,136.25,137.34,133.6,134.15,1327487.0
2010-06-22,132.98,135.24,132.98,134.15,672803.0
2010-06-23,133.99,135.31,132.75,132.75,706531.0
2010-06-24,132.59,132.75,130.42,131.43,996181.0
2010-06-28,131.97,135.24,131.89,133.45,1479907.0
2010-06-29,133.45,133.76,131.27,131.74,1270884.0
2010-06-30,132.36,133.68,130.8,133.21,1164965.0
2010-07-01,131.66,133.29,130.18,130.49,919762.0
2010-07-02,130.73,132.28,129.4,131.12,797156.0
2010-07-05,130.8,132.13,130.8,131.66,516596.0
2010-07-06,132.13,134.23,131.74,134.23,1191584.0
2010-07-07,133.06,134.85,132.59,134.69,932993.0
2010-07-08,134.77,135.24,132.9,133.84,791049.0
2010-07-09,133.76,134.69,133.29,134.23,474681.0
2010-07-12,135.0,135.08,134.07,135.0,452724.0
2010-07-13,134.54,137.49,134.46,137.41,688248.0
2010-07-14,137.65,138.11,136.17,137.49,555356.0
2010-07-15,137.34,139.13,137.34,138.43,714019.0
2010-07-16,139.59,140.37,136.87,137.18,650786.0
2010-07-19,135.86,137.88,134.77,135.86,747536.0
2010-07-20,135.78,136.25,134.3,135.39,581648.0
2010-07-21,135.78,139.13,134.85,135.86,987593.0
2010-07-22,136.09,137.34,135.24,137.1,990111.0
2010-07-23,136.95,137.65,135.31,136.09,1024809.0
2010-07-26,137.26,137.26,134.23,134.46,990600.0
2010-07-27,134.54,134.77,130.96,131.74,1337202.0
2010-07-28,131.27,132.13,130.88,131.19,991450.0
2010-07-29,130.8,131.82,130.42,130.65,792412.0
2010-07-30,130.96,132.9,130.57,132.59,1114049.0
2010-08-02,132.98,134.69,131.66,132.83,1018700.0
2010-08-03,132.13,133.91,132.13,133.21,846476.0
2010-08-04,133.84,134.77,133.06,134.69,567371.0
2010-08-05,134.3,135.24,133.99,134.46,469461.0
2010-08-06,134.54,135.16,132.83,132.98,767105.0
2010-08-09,134.07,135.31,133.76,135.24,423370.0
2010-08-10,134.85,135.31,133.6,134.15,610640.0
2010-08-11,134.07,134.38,132.28,132.28,805740.0
2010-08-12,132.59,134.23,132.2,133.29,815552.0
2010-08-13,131.89,133.14,131.04,132.36,1062514.0
2010-08-16,132.2,133.84,132.2,133.68,651369.0
2010-08-17,133.84,134.61,133.06,134.46,411323.0
2010-08-18,134.46,134.54,133.6,134.54,400193.0
2010-08-19,134.46,135.16,133.06,133.06,677409.0
2010-08-20,132.52,133.6,131.5,132.28,550157.0
2010-08-23,131.89,133.45,131.82,132.83,469235.0
2010-08-24,131.66,133.91,130.8,133.14,957777.0
2010-08-25,133.37,133.37,130.8,131.97,690579.0
2010-08-26,131.97,133.45,131.97,132.9,559263.0
2010-08-27,132.2,133.91,131.89,133.6,803031.0
2010-08-30,133.45,133.6,132.28,133.06,412461.0
2010-08-31,132.28,132.44,130.96,132.44,1629241.0
2010-09-01,132.59,134.93,132.28,134.61,956304.0
2010-09-02,134.61,135.16,133.14,133.84,795972.0
2010-09-03,134.77,134.77,132.67,133.29,917982.0
2010-09-06,133.06,134.54,132.9,134.23,516593.0
2010-09-07,133.68,136.25,133.68,136.01,1233693.0
2010-09-08,136.01,136.48,134.85,136.09,637985.0
2010-09-09,136.56,137.65,136.09,137.49,719495.0
2010-09-10,137.41,139.05,136.56,138.58,472172.0
2010-09-13,138.81,139.05,137.65,138.11,595785.0
2010-09-14,138.27,138.43,137.41,138.27,741052.0
2010-09-15,138.04,138.74,137.26,137.26,626697.0
2010-09-16,137.57,138.35,137.34,137.57,594996.0
2010-09-17,138.35,139.05,137.49,137.88,754834.0
2010-09-20,137.96,139.59,137.96,139.2,715061.0
2010-09-21,138.35,139.51,137.65,138.19,680837.0
2010-09-22,138.81,138.81,136.33,137.73,595146.0
2010-09-23,137.8,138.04,136.87,137.49,600657.0
2010-09-24,137.8,138.66,136.95,137.88,1066082.0
2010-09-27,137.88,138.35,137.1,137.49,822743.0
2010-09-28,137.03,138.35,136.79,137.96,516910.0
2010-09-29,138.27,139.05,138.04,138.11,568836.0
2010-09-30,137.65,140.84,137.41,139.83,1082509.0
2010-10-01,139.28,139.98,137.26,138.81,1447720.0
2010-10-04,139.2,139.51,137.18,137.8,626730.0
2010-10-05,137.8,139.44,136.64,137.88,1052568.0
2010-10-06,139.2,139.36,137.88,138.04,999717.0
2010-10-07,138.66,139.28,137.57,138.58,957502.0
2010-10-08,139.13,139.13,136.79,137.8,456903.0
2010-10-11,137.57,138.5,136.95,138.04,760122.0
2010-10-12,137.34,138.11,136.33,137.88,710959.0
2010-10-13,137.65,139.13,137.1,138.11,1005664.0
2010-10-14,138.81,138.81,136.48,137.88,579463.0
2010-10-15,137.73,138.5,137.34,137.73,431291.0
2010-10-18,137.65,138.74,137.1,138.35,532486.0
2010-10-19,137.57,138.35,136.09,136.09,815541.0
2010-10-20,136.33,138.04,135.78,137.73,630271.0
2010-10-21,138.04,139.67,136.48,138.43,1152481.0
2010-10-22,138.74,138.97,135.63,135.63,1081122.0
2010-10-25,137.18,138.19,136.4,137.26,1025367.0
2010-10-26,136.4,139.98,136.4,139.98,1470661.0
2010-10-27,139.98,146.98,139.2,145.89,2874826.0
2010-10-28,145.89,146.67,143.64,144.65,1393376.0
2010-10-29,144.49,145.35,143.32,145.19,1189102.0
2010-11-01,145.5,147.37,145.5,147.14,936007.0
2010-11-02,147.29,148.77,147.14,148.38,898840.0
2010-11-03,149.24,149.24,147.91,148.22,668904.0
2010-11-04,149.86,150.4,148.15,148.77,1116347.0
2010-11-05,148.15,148.54,146.51,146.82,493767.0
2010-11-08,146.59,147.6,145.81,147.29,607834.0
2010-11-09,146.44,148.15,145.66,147.68,765017.0
2010-11-10,147.37,149.0,145.66,149.0,750728.0
2010-11-11,148.69,149.16,148.07,149.0,729776.0
2010-11-12,148.38,149.16,147.76,148.69,537974.0
2010-11-15,151.33,152.66,150.56,151.49,933631.0
2010-11-16,151.49,151.8,149.31,149.78,833340.0
2010-11-17,149.08,150.87,149.08,150.17,649976.0
2010-11-18,150.25,151.33,149.93,151.33,513027.0
2010-11-19,151.33,153.05,151.33,153.05,473842.0
2010-11-22,154.68,154.68,152.81,152.97,925852.0
2010-11-23,151.72,152.73,150.56,150.87,737977.0
2010-11-24,151.72,151.8,149.93,151.02,570938.0
2010-11-25,150.95,152.42,150.71,152.27,387967.0
2010-11-26,152.19,153.12,151.18,152.11,673983.0
2010-11-29,152.27,153.12,151.26,152.03,741992.0
2010-11-30,151.49,154.21,151.49,152.81,1335929.0
2010-12-01,154.13,154.29,151.49,153.67,1253827.0
2010-12-02,154.52,154.52,152.11,153.12,963925.0
2010-12-03,152.5,153.59,150.87,151.96,910639.0
2010-12-06,151.96,152.42,150.09,151.72,1002172.0
2010-12-07,152.03,153.05,151.88,153.05,1074964.0
2010-12-08,152.73,152.73,148.77,150.95,1805239.0
2010-12-09,150.79,150.79,148.46,150.09,949734.0
2010-12-10,150.48,151.18,149.62,150.63,652352.0
2010-12-13,150.87,151.72,150.17,150.71,479376.0
2010-12-14,150.17,150.87,149.7,150.87,686441.0
2010-12-15,149.86,150.87,149.86,150.32,638687.0
2010-12-16,150.71,150.87,148.38,149.31,1140318.0
2010-12-17,150.09,151.26,149.0,150.4,1225209.0
2010-12-20,150.4,152.35,149.86,151.96,597019.0
2010-12-21,152.66,152.89,151.88,151.96,379142.0
2010-12-22,152.35,153.59,151.8,153.59,471936.0
2010-12-23,153.59,153.59,152.27,152.35,372784.0
2010-12-27,152.35,152.5,151.49,151.72,163349.0
2010-12-28,151.65,152.5,151.41,151.8,173842.0
2010-12-29,151.41,153.51,151.41,152.89,252680.0
2010-12-30,153.2,153.82,150.63,151.41,339956.0
2011-01-03,151.41,153.82,151.41,152.73,245735.0
2011-01-04,152.81,153.05,151.65,151.8,835280.0
2011-01-05,151.41,151.65,149.7,149.7,417132.0
2011-01-07,152.58,154.06,151.65,152.97,1077733.0
2011-01-10,153.28,155.85,151.96,154.83,934432.0
2011-01-11,155.53,157.17,153.98,154.76,874840.0
2011-01-12,155.22,155.69,152.73,154.52,1130072.0
2011-01-13,156.16,156.86,151.41,152.11,1637015.0
2011-01-14,152.42,154.91,151.8,154.83,817156.0
2011-01-17,154.76,156.0,153.67,155.15,797961.0
2011-01-18,155.15,155.38,152.58,153.43,787611.0
2011-01-19,153.9,154.06,150.95,151.02,646341.0
2011-01-20,151.1,151.8,147.76,148.22,1277715.0
2011-01-21,148.3,149.31,146.12,146.67,1088507.0
2011-01-24,147.29,148.15,146.12,148.07,601986.0
2011-01-25,148.07,148.07,145.97,146.67,462791.0
2011-01-26,146.67,147.76,146.36,147.76,815415.0
2011-01-27,147.76,148.54,146.75,147.14,656256.0
2011-01-28,147.6,147.99,146.12,146.36,594967.0
2011-01-31,146.36,146.44,144.26,144.41,667584.0
2011-02-01,144.72,148.15,144.49,147.84,977700.0
2011-02-02,148.3,149.24,146.36,146.51,605409.0
2011-02-03,146.2,147.52,145.66,146.67,438103.0
2011-02-04,146.82,148.3,146.75,148.3,457628.0
2011-02-07,148.46,149.47,147.84,149.0,482075.0
2011-02-08,149.0,149.0,146.75,147.52,669189.0
2011-02-09,147.14,147.91,146.44,147.14,602797.0
2011-02-10,146.51,147.76,146.2,147.21,498437.0
2011-02-11,147.6,149.86,145.81,149.47,574587.0
2011-02-14,149.47,151.57,148.61,149.7,1067208.0
2011-02-15,148.85,149.7,147.84,149.39,537254.0
2011-02-16,149.16,149.16,147.6,147.84,506353.0
2011-02-17,148.3,148.3,145.74,146.82,656506.0
2011-02-18,146.59,148.92,146.2,148.3,582147.0
2011-02-21,147.76,149.86,147.76,148.54,387667.0
2011-02-22,147.6,147.6,145.27,145.35,611660.0
2011-02-23,147.76,156.31,146.36,153.51,2853753.0
2011-02-24,153.67,154.6,150.32,153.12,990671.0
2011-02-25,153.43,153.43,150.71,152.27,674650.0
2011-02-28,152.27,155.53,150.95,155.53,836860.0
2011-03-01,155.61,156.31,153.98,153.98,683403.0
2011-03-02,152.81,153.98,152.11,152.11,782566.0
2011-03-03,153.9,154.45,152.19,153.51,673892.0
2011-03-04,153.98,155.3,152.73,154.37,1231586.0
2011-03-07,154.68,156.0,152.89,154.76,1197531.0
2011-03-08,155.3,159.03,155.07,159.03,964600.0
2011-03-09,159.42,160.51,157.56,159.27,1312849.0
2011-03-10,158.96,160.67,158.18,159.11,961528.0
2011-03-11,158.33,159.19,157.79,159.19,830046.0
2011-03-14,158.64,159.19,156.55,157.09,759121.0
2011-03-15,155.77,156.0,151.96,153.43,1673250.0
2011-03-16,153.28,154.76,151.72,151.88,1274483.0
2011-03-17,153.2,153.43,151.65,152.5,1138193.0
2011-03-18,153.43,155.61,152.35,153.75,1340181.0
2011-03-21,154.6,157.63,153.98,157.09,663430.0
2011-03-22,156.7,158.02,156.31,157.79,573788.0
2011-03-23,156.78,159.11,156.62,158.49,829683.0
2011-03-24,158.26,161.21,157.79,161.21,613582.0
2011-03-25,161.06,161.68,158.41,159.03,1229138.0
2011-03-28,159.03,160.2,158.02,160.2,820677.0
2011-03-29,160.67,160.9,158.33,160.04,558163.0
2011-03-30,160.59,161.76,160.2,160.98,849961.0
2011-03-31,160.36,163.47,160.36,163.23,849801.0
2011-04-01,162.77,164.48,161.37,164.01,689419.0
2011-04-04,163.39,164.79,162.92,163.93,405405.0
2011-04-05,164.17,164.63,163.08,164.09,397897.0
2011-04-06,164.17,166.58,164.01,165.72,957263.0
2011-04-07,163.78,165.64,162.69,163.16,863654.0
2011-04-08,163.93,164.87,162.77,164.32,315200.0
2011-04-11,163.54,165.64,163.54,164.09,396835.0
2011-04-12,163.39,165.26,162.61,162.61,411921.0
2011-04-13,164.4,166.5,162.92,165.95,681698.0
2011-04-14,166.03,166.5,164.4,166.5,604994.0
2011-04-15,166.42,166.97,165.64,166.11,608717.0
2011-04-18,166.27,167.35,164.94,165.26,546011.0
2011-04-19,165.64,167.35,165.49,167.12,575078.0
2011-04-20,166.11,167.82,163.47,166.81,653469.0
2011-04-21,167.2,167.2,166.11,167.2,294307.0
2011-04-26,167.51,171.09,167.51,169.53,1525909.0
