Date,Open,High,Low,Close,Volume
2010-01-04,53.08,53.08,50.8,51.63,8182.0
2010-01-05,51.63,52.25,50.59,52.25,6317.0
2010-01-07,52.25,52.25,50.59,51.21,15040.0
2010-01-08,51.01,51.42,51.01,51.42,10148.0
2010-01-11,52.04,52.04,51.21,51.21,36338.0
2010-01-12,51.21,51.84,51.21,51.42,17244.0
2010-01-13,51.21,51.21,50.8,51.01,29268.0
2010-01-14,50.8,51.42,50.59,50.8,100697.0
2010-01-15,50.8,51.21,50.59,51.01,38909.0
2010-01-18,50.59,50.59,49.97,50.18,120050.0
2010-01-19,50.18,51.21,48.93,51.21,348708.0
2010-01-20,51.21,51.84,50.8,51.21,26547.0
2010-01-21,50.59,51.01,50.59,51.01,20169.0
2010-01-22,50.59,50.59,50.39,50.39,9244.0
2010-01-25,49.97,50.18,48.93,49.76,42718.0
2010-01-26,49.76,49.76,49.14,49.35,7110.0
2010-01-27,49.56,49.97,49.14,49.14,1069.0
2010-01-28,49.76,49.97,49.56,49.56,6334.0
2010-01-29,50.59,50.8,49.35,49.76,4055.0
2010-02-01,51.84,52.25,51.01,51.42,95557.0
2010-02-02,51.63,53.91,51.63,53.91,52851.0
2010-02-03,54.32,54.53,52.25,54.53,45297.0
2010-02-04,54.32,54.32,53.08,53.91,20407.0
2010-02-05,53.91,53.91,51.42,51.42,14715.0
2010-02-08,51.42,51.42,50.59,50.8,8075.0
2010-02-09,50.8,51.63,50.8,51.01,2815.0
2010-02-10,51.21,51.21,50.59,50.8,8981.0
2010-02-11,50.8,51.84,50.8,51.21,12258.0
2010-02-12,51.84,51.84,51.01,51.42,55933.0
2010-02-15,51.42,51.42,49.76,50.18,4987.0
2010-02-16,50.18,51.42,50.18,50.59,93356.0
2010-02-17,50.59,52.46,50.59,52.46,11806.0
2010-02-18,51.42,53.08,51.42,53.08,17402.0
2010-02-19,52.67,53.29,52.25,53.08,87410.0
2010-02-22,53.08,53.08,51.01,52.46,2015.0
2010-02-23,53.08,53.08,52.25,52.25,2877.0
2010-02-24,52.25,52.46,51.84,52.25,20613.0
2010-02-25,52.25,52.25,51.42,51.84,55219.0
2010-02-26,52.25,52.67,51.84,51.84,76647.0
2010-03-01,53.08,55.36,53.08,54.12,13610.0
2010-03-02,54.74,54.74,53.08,53.5,5115.0
2010-03-03,53.5,54.32,53.5,53.91,5557.0
2010-03-04,54.32,54.32,53.5,53.5,17062.0
2010-03-05,53.91,56.61,53.91,55.15,65245.0
2010-03-08,55.15,56.61,54.32,56.61,19944.0
2010-03-09,56.81,56.81,54.32,55.36,17632.0
2010-03-10,55.57,56.81,55.57,55.57,5499.0
2010-03-11,55.15,55.98,54.74,55.15,3732.0
2010-03-12,55.98,58.06,55.57,58.06,23810.0
2010-03-15,58.06,58.06,56.4,57.23,11851.0
2010-03-16,57.23,58.47,57.23,57.85,50418.0
2010-03-17,57.64,58.89,57.64,58.47,34328.0
2010-03-18,58.89,59.72,58.06,59.72,25078.0
2010-03-19,59.72,60.96,59.72,60.96,19543.0
2010-03-22,61.79,61.79,59.92,60.55,24422.0
2010-03-23,60.55,60.96,60.55,60.75,6656.0
2010-03-24,60.96,60.96,60.13,60.55,13150.0
2010-03-25,60.55,61.79,60.55,61.79,9443.0
2010-03-26,61.37,62.62,61.37,62.41,16472.0
2010-03-29,62.0,63.24,62.0,63.03,15113.0
2010-03-30,63.03,63.86,63.03,63.03,31657.0
2010-03-31,62.62,64.48,62.62,63.45,12062.0
2010-04-01,63.03,63.66,63.03,63.03,9985.0
2010-04-06,63.03,63.86,63.03,63.45,112709.0
2010-04-07,63.86,63.86,62.62,62.62,128377.0
2010-04-08,62.62,63.45,62.62,63.03,2831.0
2010-04-09,63.66,63.66,59.3,62.62,38746.0
2010-04-12,62.2,62.2,59.72,60.13,16897.0
