Date,Open,High,Low,Close,Volume
2016-05-24,23.2,26.28,22.75,24.87,413289.0
2016-05-25,25.05,26.28,23.99,24.08,108645.0
2016-05-26,25.22,25.22,23.2,24.43,66166.0
2016-05-27,24.52,26.02,24.52,25.49,89621.0
2016-05-30,25.58,28.58,25.49,27.34,187072.0
2016-05-31,28.4,28.4,25.22,25.75,82583.0
2016-06-01,26.46,28.22,26.46,27.78,53155.0
2016-06-02,28.22,32.54,26.99,32.19,62425.0
2016-06-03,34.04,34.84,32.54,33.07,52790.0
2016-06-07,32.81,34.75,31.13,32.9,29051.0
2016-06-08,32.9,33.07,30.6,31.57,39151.0
2016-06-09,31.75,31.75,30.07,31.66,28704.0
2016-06-10,31.57,31.57,28.84,29.72,33191.0
2016-06-13,28.66,29.02,26.9,28.13,27900.0
2016-06-14,26.72,27.87,25.58,27.34,21728.0
2016-06-15,28.58,28.58,26.9,27.52,10891.0
2016-06-16,27.52,27.52,24.96,25.31,26298.0
2016-06-17,25.14,26.11,24.25,26.11,7514.0
2016-06-20,26.11,27.69,26.11,27.25,10628.0
2016-06-21,27.25,27.25,25.58,26.28,5872.0
2016-06-22,25.58,26.28,25.22,26.28,12110.0
2016-06-23,26.37,26.37,25.22,26.11,4913.0
2016-06-27,22.67,25.49,22.67,23.81,28345.0
2016-06-28,24.69,25.84,23.81,24.87,5320.0
2016-06-29,26.55,26.55,24.96,25.22,6158.0
2016-06-30,25.66,25.66,23.55,25.49,12260.0
2016-07-01,26.28,26.28,25.05,25.49,7144.0
2016-07-04,26.46,26.46,25.22,26.11,9129.0
2016-07-05,26.28,27.69,26.28,27.34,12284.0
2016-07-06,27.34,27.34,26.55,26.9,3876.0
2016-07-07,26.9,27.69,26.46,27.16,10741.0
2016-07-08,27.52,27.52,26.11,27.34,6641.0
2016-07-11,27.34,28.66,26.99,28.66,12722.0
2016-07-12,29.55,33.07,29.55,30.96,23803.0
2016-07-13,31.31,32.63,30.43,32.54,13275.0
2016-07-14,33.07,33.51,31.75,32.54,5410.0
2016-07-15,32.19,33.16,31.22,32.63,9952.0
2016-07-18,32.63,34.31,31.75,33.69,5073.0
2016-07-19,33.78,36.87,33.78,36.07,22013.0
2016-07-20,35.9,35.9,34.22,34.4,13562.0
2016-07-21,33.69,35.54,33.6,34.75,3795.0
2016-07-22,35.63,36.95,35.28,35.98,9484.0
2016-07-25,36.95,43.66,36.95,40.13,37609.0
2016-07-26,40.13,47.4,40.13,47.18,41084.0
2016-07-27,48.51,51.81,43.22,44.98,60532.0
2016-07-28,48.51,49.39,44.1,46.52,22589.0
2016-07-29,47.4,51.81,47.18,51.81,27462.0
2016-08-01,52.03,56.22,51.81,54.24,33851.0
2016-08-02,54.9,55.12,49.39,52.03,30057.0
2016-08-03,53.8,53.8,47.62,49.61,45850.0
2016-08-04,50.27,50.27,46.3,47.62,22274.0
2016-08-05,45.86,52.92,45.86,51.15,16284.0
2016-08-08,51.37,58.21,51.37,58.21,40677.0
2016-08-09,58.21,61.3,57.33,59.75,35330.0
2016-08-10,60.19,61.07,55.78,56.44,12057.0
2016-08-11,56.44,58.43,52.92,53.8,23920.0
2016-08-12,53.8,57.11,52.92,52.92,9058.0
2016-08-15,52.92,57.33,52.03,55.34,13584.0
2016-08-16,57.99,59.53,55.56,59.09,9101.0
2016-08-17,59.09,59.31,54.68,56.22,12326.0
2016-08-18,56.0,57.33,54.68,56.22,4199.0
2016-08-19,56.0,57.11,54.68,56.22,5189.0
2016-08-22,55.56,55.56,52.92,53.36,39769.0
2016-08-23,53.8,54.46,50.49,52.92,27360.0
2016-08-24,52.92,52.92,49.61,51.59,9908.0
2016-08-25,50.27,53.14,49.39,51.15,6177.0
2016-08-26,52.03,53.58,50.71,53.14,10563.0
2016-08-29,53.8,54.68,52.03,52.92,8071.0
2016-08-30,52.92,55.56,44.98,45.86,30903.0
2016-08-31,44.98,48.51,41.01,43.66,107316.0
2016-09-01,43.66,45.42,41.45,42.42,24232.0
2016-09-02,41.45,42.07,39.42,41.98,31686.0
2016-09-05,41.98,43.22,39.42,42.51,8239.0
2016-09-06,43.92,55.34,42.6,50.27,47521.0
2016-09-07,51.81,52.92,48.73,50.93,10362.0
2016-09-08,50.93,50.93,45.2,48.51,26725.0
2016-09-09,50.49,51.15,44.76,46.3,9909.0
2016-09-12,45.86,45.86,44.1,44.54,13060.0
2016-09-13,44.54,45.86,44.54,45.86,12674.0
2016-09-14,45.86,45.86,44.54,45.42,3992.0
2016-09-15,44.76,46.3,44.76,45.64,2340.0
2016-09-16,45.2,46.3,44.32,45.2,2005.0
2016-09-19,46.52,47.18,44.32,44.76,3163.0
2016-09-20,45.86,45.86,44.1,44.1,28582.0
2016-09-21,43.66,43.66,42.07,42.69,16037.0
2016-09-22,42.77,45.2,42.77,44.1,6961.0
2016-09-23,44.32,45.42,44.32,45.2,839.0
2016-09-26,45.42,46.3,43.22,45.64,3427.0
2016-09-27,45.86,45.86,43.66,44.1,1757.0
2016-09-28,43.66,44.98,43.22,44.98,8064.0
2016-09-29,46.08,46.08,43.66,45.86,5647.0
2016-09-30,45.86,47.18,43.66,44.76,26080.0
2016-10-03,44.98,47.18,44.98,45.2,18422.0
2016-10-04,45.2,46.74,44.98,46.52,10291.0
2016-10-05,47.18,47.62,46.52,47.62,9428.0
2016-10-06,47.62,47.62,46.52,46.52,6033.0
2016-10-07,46.52,46.52,44.1,44.1,6210.0
2016-10-10,46.08,46.08,44.54,44.54,2670.0
2016-10-11,44.54,45.42,44.1,44.1,4421.0
2016-10-12,44.1,44.1,39.78,40.04,20013.0
2016-10-13,40.57,43.22,40.57,42.51,4332.0
2016-10-14,41.54,42.33,41.45,41.8,4088.0
2016-10-17,41.54,41.8,37.92,41.45,8222.0
2016-10-18,40.57,40.57,39.69,39.78,9193.0
2016-10-19,40.57,40.57,39.25,39.6,12775.0
2016-10-20,39.69,41.45,39.69,40.3,7669.0
2016-10-21,41.1,45.2,40.48,41.45,23814.0
2016-10-24,44.1,44.1,41.72,43.22,4293.0
2016-10-25,43.39,43.39,42.33,42.77,3444.0
2016-10-26,42.33,44.1,41.19,41.54,4505.0
2016-10-27,41.54,44.01,40.22,42.95,8652.0
2016-10-28,42.77,42.77,39.69,40.04,21381.0
2016-10-31,40.04,41.28,39.69,39.95,4445.0
2016-11-01,39.78,39.95,38.89,38.89,14783.0
2016-11-02,38.72,39.51,37.92,38.81,8579.0
2016-11-03,37.75,40.57,36.25,39.6,23227.0
2016-11-04,39.6,39.6,36.42,37.75,4156.0
2016-11-07,37.75,39.42,35.19,35.54,44555.0
2016-11-08,35.54,37.39,33.6,35.19,21250.0
2016-11-09,32.37,34.75,32.37,34.4,52664.0
2016-11-10,35.28,38.36,35.28,37.92,18523.0
2016-11-11,37.84,37.84,35.98,37.39,16425.0
2016-11-14,37.39,37.66,36.16,36.95,1361.0
2016-11-15,37.66,37.66,35.81,37.22,4483.0
2016-11-16,37.22,37.48,35.45,36.16,8172.0
2016-11-17,36.25,39.25,36.25,39.25,11322.0
2016-11-18,39.25,39.51,37.92,38.63,4754.0
2016-11-21,38.01,38.63,37.13,38.36,6906.0
2016-11-22,38.36,40.48,38.36,39.25,25089.0
2016-11-23,39.69,41.8,39.69,41.36,13545.0
2016-11-24,41.36,41.63,39.69,40.83,10392.0
2016-11-25,39.69,40.48,39.69,39.95,6732.0
2016-11-28,40.57,40.83,37.13,38.19,32325.0
2016-11-29,38.19,39.69,36.69,37.22,19094.0
2016-11-30,35.28,35.28,32.63,33.87,54737.0
2016-12-01,33.51,33.51,30.16,30.52,54166.0
2016-12-02,30.52,32.46,30.52,31.57,6054.0
2016-12-05,32.37,32.37,29.99,30.16,21213.0
2016-12-06,29.99,29.99,27.69,27.69,20984.0
2016-12-07,27.6,29.02,27.16,27.6,6029.0
2016-12-08,27.6,31.31,25.31,30.16,38557.0
2016-12-09,30.25,30.25,29.37,29.55,8217.0
