Date,Open,High,Low,Close,Volume
2017-06-09,29.0,45.4,25.8,28.6,853406.0
2017-06-12,29.7,29.7,25.4,27.3,263901.0
2017-06-13,27.5,28.5,24.1,24.9,309831.0
2017-06-14,25.5,25.9,22.1,22.1,135116.0
2017-06-15,22.1,23.9,22.0,23.4,77299.0
2017-06-16,23.8,25.0,23.8,24.5,47319.0
2017-06-19,24.5,24.8,22.5,23.0,42019.0
2017-06-20,23.1,23.1,21.6,22.5,70796.0
2017-06-21,22.0,23.0,21.6,22.2,37670.0
2017-06-22,22.7,23.5,22.2,22.4,33081.0
2017-06-23,22.4,22.4,22.4,22.4,0.0
2017-06-26,22.8,24.4,22.6,24.4,30594.0
2017-06-27,25.0,25.4,23.0,24.3,52878.0
2017-06-28,24.4,24.8,23.5,24.7,15111.0
2017-06-29,24.9,24.9,23.1,23.7,9111.0
2017-06-30,23.5,23.9,23.0,23.7,9472.0
2017-07-03,23.7,23.7,22.0,22.0,25726.0
2017-07-04,22.4,22.8,21.1,21.2,18217.0
2017-07-05,21.7,23.3,20.5,22.6,30634.0
2017-07-06,23.4,24.5,21.6,22.4,9716.0
2017-07-07,22.4,23.6,21.7,22.7,3254.0
2017-07-10,22.8,23.4,22.2,22.5,8581.0
2017-07-11,22.5,22.5,21.6,22.2,4359.0
2017-07-12,21.8,22.5,21.7,21.8,4891.0
2017-07-13,22.0,22.0,21.2,21.5,14198.0
2017-07-14,21.5,23.5,21.5,23.0,14695.0
2017-07-17,23.0,23.3,22.1,23.3,5895.0
2017-07-18,22.2,23.8,22.2,22.9,4377.0
2017-07-19,22.9,22.9,22.1,22.3,4767.0
2017-07-20,22.3,22.3,21.4,22.0,3801.0
2017-07-21,21.6,23.5,21.4,22.5,12127.0
2017-07-24,22.5,24.4,22.5,24.4,20180.0
2017-07-25,24.6,25.5,23.8,24.1,16692.0
2017-07-26,24.0,24.7,23.4,23.8,6762.0
2017-07-27,23.5,24.5,23.5,23.9,6644.0
2017-07-28,24.4,24.4,23.0,24.1,8231.0
2017-07-31,24.1,25.2,24.0,25.0,13468.0
2017-08-01,25.4,25.4,24.5,25.4,20130.0
2017-08-02,25.4,27.0,25.1,26.5,28149.0
2017-08-03,26.5,26.5,25.2,25.5,13531.0
2017-08-04,25.3,25.7,25.0,25.7,4803.0
2017-08-07,25.1,25.7,25.0,25.5,10309.0
2017-08-08,25.5,25.5,24.7,25.1,12196.0
2017-08-09,25.0,25.5,24.6,25.3,13115.0
2017-08-10,25.4,25.4,24.0,25.0,19214.0
2017-08-11,23.0,24.1,22.0,23.4,57548.0
2017-08-14,23.0,24.0,21.9,23.2,57389.0
2017-08-15,22.5,22.5,21.7,21.7,9645.0
2017-08-16,21.7,23.7,21.7,23.5,24249.0
2017-08-17,23.6,24.0,23.0,23.7,11279.0
2017-08-18,23.2,23.2,22.5,23.0,8314.0
2017-08-21,23.1,23.1,22.4,22.4,1148.0
2017-08-22,23.0,23.0,22.3,22.5,1980.0
2017-08-23,22.4,22.6,22.0,22.0,3450.0
2017-08-24,22.4,23.0,22.0,22.8,3752.0
2017-08-25,22.8,22.8,21.8,22.4,3649.0
2017-08-28,22.4,22.9,22.4,22.9,3138.0
2017-08-29,22.4,22.9,22.0,22.2,2596.0
2017-08-30,22.2,22.5,21.8,22.5,9878.0
2017-08-31,22.4,22.9,22.1,22.3,4098.0
2017-09-01,22.5,22.5,21.2,21.5,5380.0
2017-09-04,21.2,23.7,21.1,22.9,10131.0
2017-09-05,23.4,23.4,22.5,22.7,1528.0
2017-09-06,22.4,22.4,21.5,21.9,3840.0
2017-09-07,21.9,22.1,21.6,21.9,2851.0
2017-09-08,21.9,21.9,21.7,21.8,889.0
2017-09-11,22.0,22.2,21.4,22.1,7162.0
2017-09-12,22.2,22.6,21.8,22.4,3447.0
2017-09-13,22.4,22.4,21.7,22.1,31605.0
2017-09-14,22.1,23.5,22.1,23.3,15932.0
2017-09-15,23.0,23.0,22.0,23.0,17742.0
2017-09-18,22.7,23.0,22.4,22.7,3713.0
2017-09-19,22.2,23.0,22.2,22.6,3403.0
2017-09-20,22.2,22.9,21.4,21.9,16574.0
2017-09-21,21.5,22.1,20.7,21.7,21375.0
2017-09-22,21.9,21.9,20.7,20.7,16472.0
2017-09-25,21.0,21.2,20.2,20.7,12380.0
2017-09-26,21.0,21.0,19.7,20.3,15674.0
2017-09-27,21.3,22.3,20.7,21.1,28646.0
2017-09-28,21.2,22.7,21.1,22.0,18689.0
2017-09-29,22.0,22.4,21.4,21.9,6832.0
2017-10-02,21.9,23.3,21.5,23.2,44055.0
2017-10-03,23.4,23.6,22.4,23.0,16112.0
2017-10-04,23.2,24.5,23.0,23.8,31478.0
2017-10-05,24.0,24.4,23.5,23.7,4663.0
2017-10-06,23.5,23.6,22.5,22.7,8320.0
2017-10-09,23.1,24.2,22.7,23.9,18124.0
2017-10-10,24.0,24.0,23.3,23.7,2691.0
2017-10-11,23.7,24.0,23.0,23.4,3759.0
2017-10-12,23.5,23.5,22.7,23.0,7946.0
2017-10-13,23.0,23.0,22.0,22.5,5899.0
2017-10-16,22.8,23.6,22.5,22.9,6715.0
2017-10-17,23.3,23.9,23.0,23.4,8687.0
2017-10-18,23.4,23.7,22.7,23.3,18777.0
2017-10-19,23.2,23.2,22.0,22.6,9828.0
2017-10-20,22.9,22.9,21.8,22.4,7514.0
2017-10-23,22.3,22.5,22.0,22.4,3576.0
2017-10-24,22.4,22.4,22.0,22.0,1718.0
2017-10-25,22.4,22.4,21.4,21.8,6518.0
2017-10-26,21.4,21.9,21.1,21.8,2669.0
2017-10-27,21.8,21.8,21.0,21.0,24595.0
2017-10-30,21.0,21.3,20.7,21.0,11016.0
2017-10-31,21.3,22.5,21.0,22.0,51482.0
2017-11-01,22.2,22.2,20.5,21.3,51198.0
2017-11-02,21.7,25.4,21.3,25.0,205921.0
2017-11-03,24.6,26.4,23.6,24.3,93761.0
2017-11-06,24.5,27.4,23.1,27.4,175635.0
2017-11-07,28.7,28.7,25.7,27.1,93995.0
2017-11-08,27.5,27.5,26.0,27.0,29357.0
2017-11-09,26.5,27.9,25.0,27.0,63860.0
2017-11-10,27.1,30.0,26.5,28.8,41141.0
2017-11-13,28.3,28.7,27.4,28.0,37014.0
2017-11-14,28.1,28.5,27.5,28.0,6840.0
2017-11-15,27.7,27.7,25.5,27.1,39750.0
2017-11-16,27.5,27.5,25.3,26.3,18924.0
2017-11-17,26.1,26.4,25.4,26.2,8599.0
2017-11-20,26.2,26.7,25.5,26.2,4359.0
2017-11-21,25.5,26.1,23.6,24.7,61324.0
2017-11-22,24.9,24.9,23.8,24.3,9430.0
2017-11-23,24.3,24.9,23.1,23.3,23668.0
2017-11-24,23.5,24.4,22.0,24.0,25216.0
2017-11-27,24.0,25.4,24.0,25.4,13050.0
2017-11-28,25.6,25.8,24.3,25.0,11385.0
2017-11-29,25.1,25.1,23.9,25.0,27533.0
2017-11-30,25.3,25.3,24.3,25.0,13293.0
2017-12-01,24.7,25.4,23.9,25.0,7175.0
2017-12-04,24.7,25.2,24.4,24.7,6282.0
2017-12-05,24.7,25.5,24.0,25.0,16523.0
2017-12-06,24.7,24.7,23.6,24.4,8055.0
2017-12-07,23.7,24.9,23.7,24.8,2040.0
2017-12-08,24.8,24.9,23.9,24.4,15720.0
2017-12-11,24.0,24.9,23.7,24.8,9952.0
2017-12-12,24.5,24.6,24.0,24.5,13822.0
2017-12-13,24.5,24.6,23.6,24.4,11636.0
2017-12-14,24.4,24.4,23.8,24.1,7689.0
2017-12-15,24.4,24.6,24.1,24.3,18820.0
2017-12-18,24.5,24.5,23.9,24.3,4977.0
2017-12-19,24.3,24.3,23.4,23.7,10667.0
2017-12-20,23.5,29.0,23.5,28.4,79040.0
2017-12-21,30.0,32.3,26.2,28.2,74710.0
2017-12-22,28.4,30.9,28.1,28.4,15981.0
2017-12-27,28.4,29.5,27.5,29.2,16709.0
2017-12-28,29.3,29.3,28.4,29.2,8818.0
2017-12-29,29.0,29.0,27.5,28.3,13414.0
2018-01-02,28.3,28.5,26.65,27.65,5671.0
2018-01-03,27.85,27.95,25.85,27.1,31444.0
2018-01-04,27.1,27.1,26.15,26.65,20569.0
2018-01-05,26.45,26.5,26.1,26.5,12941.0
2018-01-08,26.5,26.5,25.1,25.7,20431.0
2018-01-09,26.0,26.7,25.5,26.0,23221.0
2018-01-10,26.1,26.5,25.3,26.0,20065.0
2018-01-11,25.6,25.6,24.7,25.55,26511.0
2018-01-12,25.25,27.25,25.25,25.8,10517.0
2018-01-15,25.8,25.95,24.7,24.95,17987.0
2018-01-16,25.4,25.6,24.8,25.6,11977.0
2018-01-17,25.6,25.9,24.7,24.7,8232.0
2018-01-18,24.75,25.4,24.75,25.4,19449.0
2018-01-19,25.4,25.4,24.75,25.2,27003.0
2018-01-22,26.0,33.5,26.0,32.65,186982.0
2018-01-23,32.7,32.85,29.0,30.0,118183.0
2018-01-24,30.35,32.9,28.9,30.7,41224.0
2018-01-25,31.3,31.4,29.0,30.35,35885.0
2018-01-26,30.75,30.75,28.15,29.35,22944.0
2018-01-29,29.35,29.4,27.0,28.35,30195.0
2018-01-30,28.2,30.35,28.2,28.7,26871.0
2018-01-31,28.8,30.85,28.8,29.6,17737.0
2018-02-01,29.6,32.0,29.05,31.35,20154.0
2018-02-02,30.65,30.95,29.6,30.1,14994.0
2018-02-05,29.8,29.8,27.5,28.0,28756.0
2018-02-06,26.5,27.0,23.55,26.45,47712.0
2018-02-07,27.1,29.4,27.1,28.65,12104.0
2018-02-08,28.5,30.9,28.2,30.25,25117.0
2018-02-09,28.85,30.5,28.0,29.65,35672.0
2018-02-12,29.55,31.9,29.3,31.25,40526.0
2018-02-13,31.25,31.7,30.55,31.0,9308.0
2018-02-14,31.0,32.6,30.8,31.5,16265.0
2018-02-15,31.9,32.35,31.4,31.7,9222.0
2018-02-16,30.8,31.75,29.9,30.3,23657.0
2018-02-19,30.0,31.2,30.0,30.45,14619.0
2018-02-20,30.15,31.2,30.0,30.75,12642.0
2018-02-21,30.85,30.85,30.0,30.75,7913.0
2018-02-22,30.4,30.4,29.65,30.25,11120.0
2018-02-23,30.25,31.45,27.95,30.5,17622.0
2018-02-26,30.65,31.05,30.2,30.45,1340.0
2018-02-27,30.4,30.45,28.65,29.1,8653.0
2018-02-28,29.05,29.5,27.5,28.35,13623.0
2018-03-01,28.5,28.6,27.3,28.6,5305.0
2018-03-02,28.55,28.6,27.3,27.65,2310.0
2018-03-05,27.65,29.1,27.2,28.5,6772.0
2018-03-06,28.7,29.0,27.6,28.8,6152.0
2018-03-07,29.1,30.15,28.8,29.8,5508.0
2018-03-08,29.8,30.15,29.0,29.95,14503.0
2018-03-09,28.5,28.5,24.5,25.6,71816.0
2018-03-12,25.8,25.9,24.4,24.5,14876.0
2018-03-13,25.7,28.05,25.7,26.4,49046.0
2018-03-14,26.15,29.45,25.95,27.6,29572.0
2018-03-15,27.9,28.6,27.05,28.4,13163.0
2018-03-16,27.8,28.25,27.0,27.5,7202.0
2018-03-19,27.5,28.1,27.0,27.65,7414.0
2018-03-20,27.1,27.85,26.75,27.5,7073.0
2018-03-21,27.5,27.5,26.65,27.2,2476.0
2018-03-22,26.6,28.0,25.25,26.3,21403.0
2018-03-23,26.0,29.4,25.5,27.4,7597.0
2018-03-26,27.9,28.0,27.05,27.4,1453.0
2018-03-27,27.05,29.2,26.5,28.6,6622.0
2018-03-28,27.65,27.9,27.5,27.85,2579.0
2018-03-29,27.45,28.0,27.25,27.95,3012.0
2018-04-03,27.3,27.75,26.75,27.2,3213.0
2018-04-04,26.7,26.9,26.0,26.4,5115.0
2018-04-05,26.6,26.6,26.0,26.6,2109.0
2018-04-06,26.5,26.9,26.3,26.85,4692.0
2018-04-09,26.05,26.85,26.05,26.55,1520.0
2018-04-10,26.55,26.9,26.4,26.9,1802.0
2018-04-11,26.75,27.3,26.5,27.15,8861.0
2018-04-12,27.15,27.3,26.85,27.1,1395.0
2018-04-13,27.05,27.95,26.6,27.25,7824.0
2018-04-16,27.25,27.45,27.0,27.15,957.0
2018-04-17,27.15,27.95,27.15,27.55,10744.0
2018-04-18,27.5,27.75,26.75,27.7,1010.0
2018-04-19,28.9,29.9,27.3,27.5,4307.0
2018-04-20,27.5,27.5,26.9,27.45,3218.0
2018-04-23,27.85,27.85,27.1,27.35,4375.0
2018-04-24,27.6,27.8,27.35,27.55,1170.0
2018-04-25,27.75,27.75,27.0,27.75,1003.0
2018-04-26,27.7,27.7,27.0,27.2,1288.0
2018-04-27,27.1,27.25,27.0,27.25,3505.0
2018-04-30,27.25,27.25,26.6,27.0,391.0
2018-05-02,26.55,26.55,25.65,26.2,3923.0
2018-05-03,26.2,26.2,25.75,26.15,2755.0
2018-05-04,26.45,27.0,26.45,26.6,5037.0
2018-05-07,26.45,27.0,26.4,27.0,4381.0
2018-05-08,27.0,28.45,26.7,28.25,3084.0
2018-05-09,27.5,27.5,26.4,26.5,6236.0
2018-05-11,26.4,28.0,26.4,27.0,5355.0
2018-05-14,27.0,27.0,26.1,26.7,4438.0
2018-05-15,26.7,26.95,25.85,26.35,3463.0
2018-05-16,26.0,26.25,25.6,26.0,6514.0
2018-05-17,26.0,26.0,25.25,25.75,2811.0
2018-05-18,25.75,25.8,25.2,25.6,1973.0
2018-05-21,25.5,27.0,25.5,27.0,10900.0
2018-05-22,27.0,27.5,26.6,26.95,7093.0
2018-05-23,26.6,26.8,26.6,26.8,2303.0
2018-05-24,27.2,27.55,26.6,26.8,2844.0
2018-05-25,26.55,26.9,26.5,26.5,2241.0
2018-05-28,26.45,26.45,25.75,26.0,1637.0
2018-05-29,26.0,26.0,25.5,25.9,375.0
2018-05-30,25.3,25.95,25.05,25.9,1529.0
2018-05-31,25.25,25.6,25.0,25.55,8393.0
2018-06-01,25.55,26.15,25.55,26.15,1105.0
2018-06-04,26.0,26.55,25.8,26.55,991.0
2018-06-05,26.3,26.3,25.1,25.75,5305.0
2018-06-06,25.75,25.75,25.75,25.75,0.0
2018-06-07,25.25,25.85,25.1,25.85,2737.0
2018-06-08,25.85,25.85,25.85,25.85,100.0
2018-06-11,25.4,25.6,25.25,25.3,3218.0
2018-06-12,25.4,26.6,25.4,26.3,12551.0
2018-06-13,25.75,25.95,25.1,25.95,4776.0
2018-06-14,25.5,25.95,25.1,25.5,4237.0
2018-06-15,25.45,26.25,25.45,26.25,8570.0
2018-06-18,26.2,26.2,25.45,25.55,1897.0
2018-06-19,25.55,26.25,25.35,26.25,4547.0
2018-06-20,26.5,26.95,26.35,26.35,11535.0
2018-06-21,26.95,27.65,26.5,27.65,13199.0
2018-06-22,27.65,27.65,27.65,27.65,0.0
2018-06-25,27.65,31.0,27.65,30.25,31833.0
2018-06-26,30.6,30.6,28.0,28.6,14033.0
2018-06-27,29.1,29.15,28.5,28.8,4871.0
2018-06-28,28.6,30.65,28.6,29.85,5103.0
2018-06-29,29.5,31.2,29.5,30.75,14979.0
2018-07-02,30.4,30.95,30.0,30.8,4142.0
2018-07-03,30.75,31.2,30.25,31.2,2158.0
2018-07-04,31.2,31.95,31.0,31.95,19324.0
2018-07-05,32.0,32.0,31.2,31.4,3074.0
2018-07-06,31.45,33.0,31.45,32.45,12596.0
2018-07-09,32.95,33.6,32.4,33.3,3171.0
2018-07-10,33.3,34.15,33.0,33.7,3223.0
2018-07-11,33.7,33.7,32.8,33.45,2590.0
2018-07-12,33.45,33.7,33.05,33.7,4223.0
2018-07-13,33.5,33.7,33.1,33.5,3082.0
2018-07-16,33.4,33.4,32.6,33.1,7017.0
2018-07-17,33.1,33.8,31.25,33.0,12766.0
2018-07-18,33.0,33.0,32.0,32.75,2444.0
2018-07-19,32.5,34.0,32.5,33.9,11017.0
2018-07-20,33.9,34.8,33.5,33.7,7659.0
2018-07-23,34.1,36.0,34.1,35.5,9989.0
2018-07-24,36.0,38.0,35.0,35.0,7065.0
2018-07-25,35.0,35.5,34.5,35.5,6091.0
2018-07-26,35.5,36.5,35.5,35.8,6889.0
2018-07-27,36.4,36.4,35.35,35.6,2315.0
2018-07-30,35.8,39.0,35.8,37.85,9653.0
2018-07-31,37.0,37.85,36.5,37.3,4449.0
2018-08-01,36.5,36.7,35.25,35.8,5598.0
2018-08-02,35.7,36.95,35.4,36.95,3994.0
2018-08-03,36.55,36.85,35.65,36.8,3721.0
2018-08-06,35.8,36.65,35.6,36.35,5740.0
2018-08-07,35.75,35.95,34.85,35.25,8344.0
2018-08-08,35.3,37.4,35.3,37.4,22917.0
2018-08-09,37.4,37.75,35.8,36.0,8643.0
2018-08-10,36.4,37.65,35.85,36.85,20990.0
2018-08-13,36.95,37.15,36.3,36.7,2238.0
2018-08-14,36.95,37.3,36.6,37.2,5957.0
2018-08-15,37.25,37.25,36.7,36.95,4096.0
2018-08-16,36.75,37.05,36.7,37.05,1570.0
2018-08-17,37.05,37.2,36.75,37.2,4008.0
2018-08-20,37.2,40.95,37.15,38.6,6170.0
2018-08-21,38.85,38.85,36.8,37.05,3420.0
2018-08-22,37.1,37.25,36.9,37.15,958.0
2018-08-23,37.0,37.0,35.95,36.25,2666.0
2018-08-24,36.25,36.25,35.75,36.0,5587.0
2018-08-27,36.35,36.95,36.05,36.95,3421.0
2018-08-28,36.95,36.95,36.25,36.35,1878.0
2018-08-29,36.75,36.75,36.3,36.3,2578.0
2018-08-30,36.95,36.95,36.0,36.3,9324.0
2018-08-31,30.95,32.95,24.35,27.35,96771.0
2018-09-03,27.45,28.15,26.8,27.45,8629.0
2018-09-04,27.0,27.4,25.2,26.45,19905.0
2018-09-05,26.0,26.35,25.9,26.35,3617.0
2018-09-06,26.35,26.35,25.9,25.9,2860.0
2018-09-07,25.8,25.8,25.35,25.35,6864.0
2018-09-10,25.2,27.0,24.35,26.8,10717.0
2018-09-11,26.55,26.55,25.6,25.75,7226.0
2018-09-12,26.35,26.75,25.55,26.4,10693.0
2018-09-13,26.4,28.0,26.4,26.9,15763.0
2018-09-14,27.4,27.95,26.9,27.95,11498.0
2018-09-17,27.4,27.4,27.2,27.35,742.0
2018-09-18,28.0,29.0,28.0,28.9,5822.0
2018-09-19,29.1,29.1,28.3,28.65,2069.0
2018-09-20,28.85,29.0,28.3,28.5,1624.0
2018-09-21,28.05,28.6,28.0,28.6,1049.0
2018-09-24,28.35,28.75,28.35,28.7,3453.0
2018-09-25,28.45,28.5,28.0,28.5,2321.0
2018-09-26,28.25,28.45,27.5,27.5,2895.0
2018-09-27,27.5,27.65,26.95,27.0,5884.0
2018-09-28,26.9,27.35,26.7,26.8,5235.0
2018-10-01,26.8,26.8,26.0,26.75,10740.0
2018-10-02,26.2,27.1,25.8,27.1,7788.0
2018-10-03,27.1,27.5,27.1,27.25,264.0
2018-10-04,27.5,29.45,27.0,27.0,2693.0
2018-10-05,27.2,28.0,27.1,27.8,3204.0
2018-10-08,27.8,27.85,27.0,27.0,3713.0
2018-10-09,26.5,26.95,26.3,26.55,8290.0
2018-10-10,26.5,27.5,26.5,26.75,2396.0
2018-10-11,26.5,26.5,25.5,25.7,4762.0
2018-10-12,26.0,26.5,24.6,25.25,7779.0
2018-10-15,25.3,25.3,24.9,25.3,335.0
2018-10-16,25.3,26.0,25.0,26.0,1015.0
2018-10-17,26.0,27.1,25.95,27.0,2412.0
2018-10-18,27.0,27.0,26.8,26.95,2288.0
2018-10-19,26.95,30.45,26.0,27.95,21072.0
2018-10-22,27.95,27.95,26.6,26.95,5585.0
2018-10-23,26.5,26.5,24.6,25.95,5918.0
2018-10-24,25.25,25.25,24.2,24.9,7568.0
2018-10-25,25.0,25.95,24.9,25.95,9155.0
2018-10-26,25.6,25.95,25.0,25.2,5760.0
2018-10-29,25.35,27.0,25.35,26.45,5055.0
2018-10-30,26.5,27.0,26.5,27.0,1343.0
2018-10-31,27.0,27.95,27.0,27.75,5229.0
2018-11-01,27.45,27.85,27.1,27.6,1350.0
2018-11-02,27.35,27.5,27.35,27.5,682.0
2018-11-05,27.35,27.45,27.05,27.45,2842.0
2018-11-06,27.5,27.5,27.25,27.3,336.0
2018-11-07,27.3,27.65,27.1,27.25,8545.0
2018-11-08,27.1,27.1,26.45,26.5,5407.0
2018-11-09,26.7,26.75,26.0,26.0,11953.0
2018-11-12,25.75,26.0,25.3,25.75,10463.0
2018-11-13,25.7,25.7,25.05,25.05,1452.0
2018-11-14,25.05,25.45,25.0,25.45,11322.0
2018-11-15,25.2,25.75,25.2,25.3,3369.0
2018-11-16,25.05,25.7,25.05,25.7,545.0
2018-11-19,25.2,25.2,24.0,24.5,9528.0
2018-11-20,24.0,24.5,23.8,24.5,5923.0
2018-11-21,24.0,25.0,23.45,25.0,5959.0
2018-11-22,25.0,25.0,24.35,24.7,787.0
2018-11-23,25.0,26.95,24.2,25.0,21973.0
2018-11-26,24.95,24.95,24.2,24.9,4299.0
