Date,Open,High,Low,Close,Volume
2015-11-30,14.1,16.56,14.0,15.61,723324.0
2015-12-01,15.8,22.7,15.8,21.19,704709.0
2015-12-02,22.23,26.96,21.29,24.98,995673.0
2015-12-03,24.98,25.45,21.29,22.89,364280.0
2015-12-04,22.89,24.6,20.15,24.41,152172.0
2015-12-07,25.64,36.8,25.54,36.42,750426.0
2015-12-08,36.71,55.58,36.71,54.87,1154534.0
2015-12-09,55.11,58.18,38.5,42.57,853780.0
2015-12-10,39.17,39.17,29.99,31.22,548513.0
2015-12-11,30.08,38.88,26.77,34.06,371341.0
2015-12-14,33.96,33.96,29.71,32.17,128382.0
2015-12-15,32.26,34.91,32.17,33.68,66119.0
2015-12-16,35.48,37.65,32.45,33.02,133672.0
2015-12-17,34.53,35.29,33.02,34.06,35434.0
2015-12-18,33.87,35.19,33.3,34.53,27969.0
2015-12-21,35.19,37.84,35.19,35.85,54825.0
2015-12-22,36.42,36.9,34.06,36.71,58685.0
2015-12-23,37.18,37.84,34.53,36.8,55678.0
2015-12-28,36.61,36.9,35.1,36.04,54932.0
2015-12-29,36.9,37.37,35.76,36.61,57212.0
2015-12-30,36.61,36.9,35.48,36.14,70272.0
2016-01-04,36.14,36.14,31.98,33.49,60435.0
2016-01-05,33.58,34.91,33.11,33.3,12782.0
2016-01-07,33.02,33.02,29.23,32.64,59350.0
2016-01-08,33.11,34.62,32.92,32.92,33729.0
2016-01-11,33.58,33.58,28.0,30.27,119976.0
2016-01-12,29.99,29.99,26.96,28.0,59802.0
2016-01-13,27.81,27.91,26.11,26.77,49737.0
2016-01-14,26.49,26.49,23.84,25.35,57537.0
2016-01-15,24.88,24.88,22.14,22.89,62383.0
2016-01-18,23.08,26.3,23.08,25.64,25131.0
2016-01-19,26.96,29.33,26.96,28.19,26297.0
2016-01-20,27.34,28.1,25.35,26.87,18276.0
2016-01-21,26.77,27.72,25.73,26.96,9141.0
2016-01-22,27.43,28.76,26.96,27.15,19821.0
2016-01-25,27.43,28.76,27.43,28.66,10061.0
2016-01-26,28.48,28.76,27.43,28.66,5448.0
