Date,Open,High,Low,Close,Volume
2019-04-04,35.1,40.0,33.28,39.0,566830.0
2019-04-05,40.01,40.99,37.1,37.8,97636.0
2019-04-08,38.0,40.8,38.0,40.2,57241.0
2019-04-09,40.8,44.8,40.8,43.6,61503.0
2019-04-10,43.8,46.6,43.6,44.8,44426.0
2019-04-11,45.2,47.6,45.0,47.0,35450.0
2019-04-12,47.0,47.0,43.8,44.8,36599.0
2019-04-15,42.0,42.0,38.6,39.4,79437.0
2019-04-16,39.6,41.8,39.4,40.4,27102.0
2019-04-17,41.0,41.2,39.4,40.0,33683.0
2019-04-18,40.0,40.0,38.4,38.8,14494.0
2019-04-23,39.0,39.8,38.0,38.4,19432.0
2019-04-24,39.0,41.8,38.0,40.8,33386.0
2019-04-25,41.6,41.6,39.2,40.0,16467.0
2019-04-26,39.8,39.8,38.0,38.8,19204.0
2019-04-29,39.2,39.2,38.2,38.6,14330.0
2019-04-30,38.8,40.0,38.4,38.8,12018.0
2019-05-02,39.0,39.8,38.2,38.6,16269.0
2019-05-03,38.4,39.4,38.2,38.6,11997.0
2019-05-06,38.6,39.2,37.0,37.8,16754.0
2019-05-07,37.8,38.0,37.2,37.6,6257.0
2019-05-08,37.6,38.0,37.0,38.0,2256.0
2019-05-09,37.8,37.8,36.6,37.2,8537.0
2019-05-10,37.2,37.8,36.6,36.6,5415.0
2019-05-13,36.2,37.2,35.0,36.0,9334.0
2019-05-14,36.0,37.8,35.0,37.2,6670.0
2019-05-15,37.8,37.8,36.4,37.6,3666.0
2019-05-16,37.6,37.8,37.0,37.2,10307.0
2019-05-17,38.0,38.0,36.0,36.2,6756.0
2019-05-20,36.4,38.0,36.4,37.0,8195.0
2019-05-21,37.8,37.8,36.8,37.4,4777.0
2019-05-22,37.0,38.0,37.0,37.0,2366.0
2019-05-23,37.0,38.0,36.4,36.4,5806.0
2019-05-24,36.2,37.8,36.0,37.2,6811.0
2019-05-27,37.2,37.2,35.8,35.8,7460.0
2019-05-28,36.4,36.8,35.6,36.0,4681.0
2019-05-29,36.0,36.2,35.6,35.6,3437.0
2019-05-31,35.6,36.0,35.4,36.0,4574.0
2019-06-03,36.6,36.6,34.4,35.0,8165.0
2019-06-04,34.4,36.0,34.0,35.6,2063.0
2019-06-05,36.8,36.8,35.6,35.6,1623.0
2019-06-07,36.4,37.0,35.8,37.0,6064.0
2019-06-11,36.0,36.0,34.4,35.4,11827.0
2019-06-12,35.4,36.4,35.0,35.8,3756.0
2019-06-13,35.4,36.6,35.4,35.8,8353.0
2019-06-14,35.6,35.6,34.4,35.4,5020.0
2019-06-18,35.6,35.8,35.0,35.4,1333.0
2019-06-19,35.4,35.8,34.8,35.0,4342.0
2019-06-20,35.2,35.2,33.8,33.8,12736.0
2019-06-24,34.0,34.4,33.4,34.4,6942.0
2019-06-25,34.0,35.6,33.0,34.2,5704.0
2019-06-26,34.4,35.2,34.0,34.4,4995.0
2019-06-27,34.4,36.0,34.0,36.0,6838.0
2019-06-28,36.4,37.4,34.4,36.6,6059.0
2019-07-01,36.6,37.0,35.4,36.2,10046.0
2019-07-02,37.0,37.8,36.4,37.8,13004.0
2019-07-03,37.8,39.6,37.0,38.8,16728.0
2019-07-04,38.8,38.8,37.2,38.0,8013.0
2019-07-05,38.2,38.2,36.6,37.6,1971.0
2019-07-08,38.4,38.6,37.4,38.2,2871.0
2019-07-09,38.0,38.0,37.2,37.8,3686.0
2019-07-10,37.8,38.6,37.2,38.4,12551.0
2019-07-11,38.6,39.0,37.6,38.6,10720.0
2019-07-12,38.6,38.6,37.0,38.4,3791.0
2019-07-15,38.4,38.6,37.35,38.0,7309.0
2019-07-16,38.0,38.95,37.7,38.0,850.0
2019-07-17,38.5,38.5,37.4,38.0,414.0
2019-07-18,38.8,38.8,37.1,37.1,3640.0
2019-07-19,37.65,38.2,37.1,37.95,1484.0
2019-07-22,37.9,38.7,37.05,38.5,1825.0
2019-07-23,38.0,38.0,37.1,37.1,1069.0
2019-07-24,37.0,37.85,37.0,37.0,1085.0
2019-07-25,37.0,37.8,37.0,37.3,3653.0
2019-07-26,37.05,37.8,37.05,37.25,842.0
2019-07-29,37.3,37.7,37.0,37.3,1778.0
2019-07-30,36.9,37.8,36.6,37.0,4903.0
2019-07-31,36.6,37.0,36.5,36.5,3364.0
2019-08-01,37.85,37.85,37.15,37.15,238.0
2019-08-02,37.15,37.25,36.2,36.2,1385.0
2019-08-06,35.5,37.1,35.45,35.45,1139.0
2019-08-07,36.65,36.65,35.45,35.45,1355.0
2019-08-08,35.45,36.3,35.05,36.0,2649.0
2019-08-09,35.5,36.0,35.5,35.9,670.0
2019-08-12,36.25,36.25,36.0,36.05,136.0
2019-08-13,36.1,36.1,34.9,34.9,2619.0
2019-08-14,35.05,35.05,33.45,34.95,9931.0
2019-08-15,34.95,34.95,33.55,34.7,4198.0
2019-08-16,34.7,35.95,34.7,34.9,572.0
2019-08-19,34.9,35.0,33.25,34.25,2571.0
2019-08-20,33.7,34.9,33.5,34.65,3685.0
2019-08-21,34.65,34.85,33.95,33.95,3145.0
2019-08-22,24.4,25.9,22.1,24.25,255862.0
2019-08-23,24.0,24.45,22.55,23.4,124216.0
2019-08-26,23.6,24.3,23.0,23.3,34321.0
2019-08-27,24.1,24.6,23.0,23.2,24367.0
2019-08-28,23.75,24.75,23.1,23.9,23477.0
2019-08-29,24.5,24.5,22.6,22.9,41661.0
2019-08-30,22.65,23.2,22.0,23.0,42762.0
2019-09-02,23.1,24.15,23.1,24.0,16607.0
2019-09-03,23.15,24.4,23.0,23.0,7364.0
2019-09-04,23.0,24.2,22.65,23.4,4086.0
2019-09-05,23.4,23.5,23.0,23.5,2017.0
2019-09-06,22.95,23.05,22.6,22.75,11390.0
2019-09-09,22.3,22.95,22.2,22.85,7505.0
2019-09-10,22.3,22.8,22.15,22.5,2462.0
2019-09-11,22.45,22.45,22.15,22.3,3614.0
2019-09-12,22.3,22.8,22.3,22.8,2332.0
2019-09-13,22.25,22.95,22.25,22.95,153204.0
2019-09-16,22.25,22.5,22.1,22.4,3158.0
2019-09-17,22.15,22.5,22.05,22.15,2395.0
2019-09-18,22.05,22.85,22.05,22.85,9572.0
2019-09-19,22.05,24.0,22.0,24.0,12443.0
2019-09-20,23.45,23.45,22.4,22.75,17776.0
2019-09-23,22.2,22.55,22.0,22.35,6658.0
2019-09-24,22.4,23.4,22.15,22.3,4358.0
2019-09-25,22.05,22.45,22.05,22.1,2034.0
2019-09-26,22.15,22.85,21.8,22.8,17230.0
2019-09-27,22.7,22.8,21.8,22.0,10919.0
2019-09-30,22.05,22.5,21.95,22.25,5730.0
2019-10-01,22.9,22.9,22.2,22.2,2404.0
2019-10-02,22.25,22.9,22.05,22.75,4424.0
2019-10-03,22.25,22.95,22.25,22.6,20308.0
2019-10-04,22.6,22.6,22.05,22.35,636.0
2019-10-07,22.55,22.6,22.0,22.5,8364.0
2019-10-08,22.5,23.05,21.3,22.45,6265.0
2019-10-09,22.5,22.5,22.0,22.4,278.0
2019-10-10,22.4,22.4,22.0,22.25,1878.0
2019-10-11,22.6,22.8,22.4,22.4,2711.0
2019-10-14,22.4,24.0,22.4,23.55,4578.0
2019-10-15,23.75,23.8,23.0,23.75,3052.0
2019-10-16,23.75,23.75,23.0,23.75,1421.0
2019-10-17,23.1,23.1,22.85,22.95,6467.0
2019-10-18,22.8,23.85,22.6,22.6,31739.0
2019-10-21,23.55,23.55,22.05,22.4,13265.0
2019-10-22,23.5,23.5,22.2,22.75,796.0
2019-10-23,22.75,22.75,21.8,21.8,6079.0
2019-10-24,22.55,22.55,22.2,22.45,1221.0
2019-10-25,22.5,22.5,21.6,22.25,7478.0
2019-10-28,22.25,22.8,21.5,22.55,3815.0
2019-10-29,22.5,22.5,21.95,21.95,947.0
2019-10-30,22.9,23.0,21.85,22.0,4771.0
2019-10-31,22.95,22.95,22.35,22.4,1240.0
2019-11-01,22.85,23.0,22.35,23.0,1034.0
2019-11-04,22.05,22.95,22.0,22.4,4160.0
2019-11-05,22.4,22.8,21.5,21.7,2185.0
2019-11-06,21.7,22.8,21.3,22.8,11421.0
2019-11-07,22.7,22.7,21.65,22.2,3059.0
2019-11-08,22.5,22.7,22.05,22.6,4768.0
2019-11-11,22.6,22.6,22.05,22.2,5050.0
2019-11-12,21.95,22.6,21.9,22.6,2011.0
2019-11-13,22.1,22.45,22.1,22.45,1772.0
2019-11-14,22.1,22.2,22.0,22.2,615.0
2019-11-15,22.3,22.4,22.0,22.2,15130.0
2019-11-18,22.05,22.45,22.05,22.3,2324.0
2019-11-19,22.3,22.75,22.0,22.75,4591.0
2019-11-20,22.0,22.05,22.0,22.05,369.0
2019-11-21,22.2,22.2,22.05,22.05,500.0
2019-11-22,22.05,22.05,22.0,22.05,3405.0
2019-11-25,22.05,22.75,22.05,22.15,2057.0
2019-11-26,22.25,22.3,21.7,22.3,3984.0
2019-11-27,22.0,22.1,22.0,22.05,1167.0
2019-11-28,22.1,22.6,22.1,22.1,629.0
2019-11-29,22.3,22.3,22.2,22.2,365.0
2019-12-02,22.2,22.65,22.2,22.4,1276.0
2019-12-03,22.4,22.65,22.4,22.4,2244.0
2019-12-04,22.25,22.8,22.25,22.8,6230.0
2019-12-05,23.0,23.0,22.6,22.65,4112.0
2019-12-06,22.7,22.7,22.6,22.7,1655.0
2019-12-09,22.7,22.7,22.6,22.65,1643.0
