Date,Open,High,Low,Close,Volume
2017-05-30,11.5,14.74,11.12,14.65,4808351.0
2017-05-31,15.08,17.72,14.14,15.84,3823452.0
2017-06-01,16.61,22.15,16.19,21.64,6031608.0
2017-06-02,22.49,24.87,21.72,24.11,5905840.0
2017-06-05,25.39,34.33,24.36,33.39,11070815.0
2017-06-06,33.39,33.39,33.39,33.39,0.0
2017-06-07,34.93,37.48,25.13,27.51,13303069.0
2017-06-08,26.58,27.26,23.6,23.94,4803916.0
2017-06-09,24.28,26.75,23.26,25.81,2470796.0
2017-06-12,26.24,27.0,25.73,26.58,570490.0
2017-06-13,26.66,26.75,24.62,25.81,588256.0
2017-06-14,25.81,25.9,23.85,24.28,474823.0
2017-06-15,23.85,23.85,22.57,22.66,455631.0
2017-06-16,22.66,22.66,19.25,19.42,2241324.0
2017-06-19,18.91,20.87,18.31,19.76,851830.0
2017-06-20,20.19,20.19,18.31,18.31,345694.0
2017-06-21,18.74,19.34,18.31,19.0,240360.0
2017-06-22,18.91,22.49,18.49,22.4,400637.0
2017-06-23,22.4,22.4,22.4,22.4,0.0
2017-06-26,22.49,23.77,20.96,23.68,599603.0
2017-06-27,23.77,24.45,22.4,23.26,329959.0
2017-06-28,23.26,24.11,22.74,23.6,115291.0
2017-06-29,23.68,23.68,22.83,22.83,77575.0
2017-06-30,23.43,23.68,22.83,23.51,108676.0
2017-07-03,23.51,23.77,23.17,23.6,71888.0
2017-07-04,23.51,23.6,22.15,22.66,90714.0
2017-07-05,22.66,22.66,21.38,21.81,122189.0
2017-07-06,21.81,22.06,21.04,21.38,79777.0
2017-07-07,21.38,21.89,20.96,21.64,42181.0
2017-07-10,21.64,22.06,21.3,21.47,46088.0
2017-07-11,22.15,23.6,21.89,23.17,231214.0
2017-07-12,23.34,23.85,23.17,23.6,82213.0
2017-07-13,23.85,23.85,23.34,23.43,60137.0
2017-07-14,23.43,24.87,23.43,24.53,228148.0
2017-07-17,24.79,26.83,24.79,24.96,492870.0
2017-07-18,24.96,26.75,24.96,26.41,284677.0
2017-07-19,26.83,27.6,26.66,27.09,293836.0
2017-07-20,27.17,27.6,26.07,26.83,119421.0
2017-07-21,26.83,26.92,25.21,25.39,145858.0
2017-07-24,25.39,25.98,24.79,24.87,73378.0
2017-07-25,24.87,25.47,24.87,25.13,57256.0
2017-07-26,25.13,25.9,24.87,24.87,92200.0
2017-07-27,24.96,25.47,24.96,25.3,29580.0
2017-07-28,25.13,25.39,24.62,24.79,46508.0
2017-07-31,24.79,24.96,23.09,23.09,159780.0
2017-08-01,23.09,23.85,22.57,23.6,59733.0
2017-08-02,23.6,24.45,23.0,23.43,70921.0
2017-08-03,23.43,23.6,23.0,23.0,65110.0
2017-08-04,23.0,23.26,22.83,23.0,55215.0
2017-08-07,23.0,23.6,22.74,22.74,88065.0
2017-08-08,22.83,23.68,22.74,23.43,86031.0
2017-08-09,23.26,23.26,22.74,23.09,55962.0
2017-08-10,23.09,23.09,22.74,22.74,40749.0
2017-08-11,22.74,22.74,20.36,22.15,264946.0
2017-08-14,23.09,23.51,22.4,22.74,61741.0
2017-08-15,22.74,23.34,22.57,22.74,51503.0
2017-08-16,22.74,23.09,22.49,22.57,68389.0
2017-08-17,22.49,23.0,22.23,22.32,86546.0
2017-08-18,22.23,22.4,21.04,21.13,176795.0
2017-08-21,21.13,22.32,20.96,21.81,140097.0
2017-08-22,21.72,22.49,21.72,22.15,61720.0
2017-08-23,21.38,21.98,21.04,21.13,74644.0
2017-08-24,21.13,21.3,20.1,20.44,108387.0
2017-08-25,20.44,20.44,19.34,19.59,113561.0
2017-08-28,19.68,20.36,19.59,20.27,60823.0
2017-08-29,20.27,20.27,18.74,19.17,99015.0
2017-08-30,19.17,21.21,19.17,20.79,67899.0
2017-08-31,21.21,22.06,20.44,21.81,54134.0
2017-09-01,21.64,22.06,20.61,21.81,46712.0
2017-09-04,21.72,22.83,20.1,20.7,366811.0
2017-09-05,20.61,20.87,19.93,20.19,83476.0
2017-09-06,20.27,20.44,19.42,19.59,112841.0
2017-09-07,19.59,20.02,19.42,19.76,38124.0
2017-09-08,19.85,19.85,19.25,19.42,24093.0
2017-09-11,19.42,19.68,19.25,19.25,32708.0
2017-09-12,19.25,20.19,19.17,19.76,100197.0
2017-09-13,19.68,20.19,19.59,19.76,58396.0
2017-09-14,20.02,20.36,19.59,19.93,22864.0
2017-09-15,19.93,20.1,19.25,20.1,27312.0
2017-09-18,19.59,20.19,19.51,19.51,78549.0
2017-09-19,19.59,20.44,19.25,19.85,72280.0
2017-09-20,19.93,20.02,19.34,19.51,59787.0
2017-09-21,19.59,20.87,19.59,20.36,175870.0
2017-09-22,20.79,21.21,20.44,20.79,106330.0
2017-09-25,21.21,21.21,19.59,19.59,60032.0
2017-09-26,19.59,20.19,19.59,19.85,54877.0
2017-09-27,19.85,20.19,19.08,19.76,92772.0
2017-09-28,19.76,20.02,19.25,19.59,49745.0
2017-09-29,20.79,20.87,20.1,20.27,101029.0
2017-10-02,20.36,20.44,19.59,19.76,94556.0
2017-10-03,19.85,20.27,19.68,19.68,62621.0
2017-10-04,19.68,20.1,19.68,19.76,49336.0
2017-10-05,19.85,19.85,19.42,19.59,68884.0
2017-10-06,19.59,19.85,19.51,19.76,15418.0
2017-10-09,19.59,20.02,19.51,19.59,45947.0
2017-10-10,19.59,19.59,19.17,19.17,27879.0
2017-10-11,19.17,19.59,18.57,19.25,63068.0
2017-10-12,19.25,19.51,18.74,19.25,21010.0
2017-10-13,19.25,20.36,19.17,19.85,50616.0
2017-10-16,20.19,20.19,19.25,19.25,40626.0
2017-10-17,19.25,19.59,19.17,19.59,29588.0
2017-10-18,19.59,19.93,18.4,18.4,97295.0
2017-10-19,17.97,17.97,15.42,15.59,497027.0
2017-10-20,15.76,16.1,15.67,15.76,109813.0
2017-10-23,15.76,16.01,14.14,14.31,198833.0
2017-10-24,13.97,14.74,13.37,14.14,190400.0
2017-10-25,14.23,14.65,13.8,13.97,65246.0
2017-10-26,13.97,14.31,13.63,13.71,71419.0
2017-10-27,13.8,15.42,13.8,14.65,104476.0
2017-10-30,14.48,15.08,14.48,14.74,26721.0
2017-10-31,14.65,14.91,13.97,13.97,68518.0
2017-11-01,13.97,14.48,13.89,13.89,33683.0
2017-11-02,13.71,14.31,13.71,13.89,30738.0
2017-11-03,13.89,14.14,13.71,13.97,8413.0
2017-11-06,13.63,13.63,13.2,13.54,77744.0
2017-11-07,13.29,13.54,13.03,13.46,50715.0
2017-11-08,13.46,13.46,13.12,13.2,38673.0
2017-11-09,13.37,14.74,13.37,14.31,75774.0
2017-11-10,14.4,14.74,14.06,14.65,34224.0
2017-11-13,14.74,14.74,13.12,13.63,91382.0
2017-11-14,13.71,14.74,13.37,13.97,152390.0
2017-11-15,13.89,13.97,13.2,13.46,40933.0
2017-11-16,13.46,13.63,13.12,13.37,33711.0
2017-11-17,13.37,13.63,13.2,13.46,39435.0
2017-11-20,13.54,14.99,13.12,14.14,46152.0
2017-11-21,14.14,14.65,13.29,13.89,83066.0
2017-11-22,13.63,14.4,12.78,13.29,112833.0
2017-11-23,13.37,13.71,13.37,13.63,19540.0
2017-11-24,13.97,13.97,13.2,13.63,25007.0
2017-11-27,13.71,14.06,13.2,13.37,44114.0
2017-11-28,13.29,13.29,12.78,13.12,30974.0
2017-11-29,13.29,13.29,12.86,13.29,30919.0
2017-11-30,12.95,13.37,12.86,13.12,10315.0
2017-12-01,13.12,13.29,12.78,13.12,15613.0
2017-12-04,12.95,14.31,12.86,13.12,59414.0
2017-12-05,13.03,13.46,12.86,13.12,33820.0
2017-12-06,13.2,13.2,12.78,12.78,24259.0
2017-12-07,12.78,13.63,12.78,13.03,25906.0
2017-12-08,13.03,13.29,12.78,13.03,27191.0
2017-12-11,12.95,12.95,12.35,12.48,41711.0
2017-12-12,12.39,12.39,11.33,11.41,261556.0
2017-12-13,11.54,11.54,11.07,11.29,113510.0
2017-12-14,11.46,11.59,11.07,11.2,80076.0
2017-12-15,11.07,11.59,11.07,11.33,63145.0
2017-12-18,11.03,11.93,10.82,11.07,137017.0
2017-12-19,11.33,11.33,10.9,11.07,52510.0
2017-12-20,10.82,11.2,10.31,10.73,68429.0
2017-12-21,10.39,10.82,10.31,10.48,64368.0
2017-12-22,10.48,11.37,10.18,10.82,84989.0
2017-12-27,10.65,10.82,10.14,10.44,106947.0
2017-12-28,10.44,11.41,10.44,10.9,80356.0
2017-12-29,11.33,11.63,10.9,11.63,144720.0
2018-01-02,11.63,11.63,11.01,11.33,33682.0
2018-01-03,11.41,11.41,11.07,11.29,25182.0
2018-01-04,11.3,12.51,11.29,12.44,78190.0
2018-01-05,12.51,12.51,11.68,12.35,41857.0
2018-01-08,12.52,12.52,11.93,12.04,18075.0
2018-01-09,12.05,12.05,11.59,11.96,43481.0
2018-01-10,11.96,12.17,11.56,11.84,10184.0
2018-01-11,11.55,13.11,11.5,12.44,30362.0
2018-01-12,12.35,12.35,11.65,12.31,24215.0
2018-01-15,12.31,12.34,11.8,12.1,4693.0
2018-01-16,12.16,12.16,11.5,12.04,26222.0
2018-01-17,11.53,12.04,11.52,11.73,17671.0
2018-01-18,11.73,11.73,11.33,11.7,13519.0
2018-01-19,11.7,11.7,11.41,11.47,13129.0
2018-01-22,11.67,12.35,11.6,11.83,23555.0
2018-01-23,11.71,12.34,11.71,11.99,39690.0
2018-01-24,11.93,12.18,11.59,11.62,22324.0
2018-01-25,11.6,12.16,11.5,11.78,26007.0
2018-01-26,11.78,12.24,11.7,11.71,26429.0
2018-01-29,11.71,12.17,11.59,11.59,55935.0
2018-01-30,11.59,12.13,11.5,11.92,11785.0
2018-01-31,11.93,11.93,11.33,11.4,13419.0
2018-02-01,11.4,11.66,11.33,11.58,8037.0
2018-02-02,11.58,11.91,11.44,11.45,8648.0
2018-02-05,11.34,11.43,10.73,11.31,32215.0
2018-02-06,10.65,10.73,8.69,10.62,71516.0
2018-02-07,10.62,11.04,10.25,10.93,22570.0
2018-02-08,10.4,11.06,10.4,10.86,16681.0
2018-02-09,10.73,10.73,10.01,10.45,13315.0
2018-02-12,10.39,10.55,9.65,10.3,25810.0
2018-02-13,10.36,10.36,9.86,10.09,10880.0
2018-02-14,9.97,9.97,9.67,9.72,17759.0
2018-02-15,9.8,10.31,9.8,10.03,25160.0
2018-02-16,9.36,10.18,9.36,9.71,26898.0
2018-02-19,9.71,9.91,9.04,9.87,7615.0
2018-02-20,9.87,10.01,9.0,9.76,35101.0
2018-02-21,9.8,9.8,9.29,9.57,7616.0
