Date,Open,High,Low,Close,Volume
2016-06-14,71.4,79.52,71.4,78.82,1197352.0
2016-06-15,78.82,79.75,74.88,76.04,96013.0
2016-06-16,76.04,76.04,71.87,72.33,170196.0
2016-06-17,72.33,73.03,71.87,72.79,35795.0
2016-06-20,72.79,73.72,71.87,72.56,217706.0
2016-06-21,71.87,72.33,71.87,72.33,8135.0
2016-06-22,72.33,72.79,71.87,72.56,27969.0
2016-06-23,72.1,74.19,71.87,74.19,25770.0
2016-06-27,71.4,74.19,71.4,71.4,112028.0
2016-06-28,72.79,72.79,71.4,71.87,22496.0
2016-06-29,71.87,73.26,71.4,71.4,67251.0
2016-06-30,71.4,73.03,71.4,71.64,19821.0
2016-07-01,71.64,71.87,71.4,71.64,4320.0
2016-07-04,71.4,71.64,71.4,71.4,1405.0
2016-07-05,71.4,71.64,71.4,71.64,1367.0
2016-07-06,71.87,71.87,71.4,71.64,57240.0
2016-07-07,71.4,71.64,71.4,71.64,34897.0
2016-07-08,71.4,72.33,71.4,71.64,28265.0
2016-07-11,72.33,76.5,72.33,74.19,5130.0
2016-07-12,75.11,75.58,71.87,72.79,2550.0
2016-07-13,72.79,72.79,72.79,72.79,1638.0
2016-07-14,71.64,72.79,71.64,72.79,467.0
2016-07-15,72.79,72.79,71.87,72.56,2750.0
2016-07-18,73.72,75.58,71.87,75.58,2981.0
2016-07-19,75.81,75.81,73.03,73.03,3089.0
2016-07-20,74.19,74.19,73.03,73.03,31064.0
2016-07-21,73.26,73.26,72.33,72.79,13693.0
2016-07-22,72.33,72.79,71.87,72.79,5296.0
2016-07-25,72.79,72.79,72.79,72.79,950.0
2016-07-26,72.79,73.26,72.79,73.26,2110.0
2016-07-27,73.26,74.19,73.26,73.72,2886.0
2016-07-28,74.19,74.19,73.72,73.72,4583.0
2016-07-29,74.65,75.11,74.65,75.11,2520.0
2016-08-01,75.11,75.34,75.11,75.11,743.0
2016-08-02,75.11,75.11,74.42,74.42,220.0
2016-08-03,73.26,75.11,72.79,75.11,157.0
2016-08-04,75.81,75.81,73.72,74.19,300.0
2016-08-05,74.19,74.19,74.19,74.19,1200.0
2016-08-08,74.88,76.97,74.88,76.5,3259.0
2016-08-09,75.81,77.66,75.11,77.66,2409.0
2016-08-10,76.5,76.97,76.5,76.97,7351.0
2016-08-11,77.2,77.66,76.97,77.66,2048.0
2016-08-12,76.97,88.1,76.97,83.46,2852.0
2016-08-15,86.47,89.95,83.46,84.15,15621.0
2016-08-16,84.39,84.39,79.05,80.44,6609.0
2016-08-17,79.05,82.07,77.89,78.59,31772.0
2016-08-18,77.89,82.07,77.89,82.07,50403.0
2016-08-19,82.3,82.53,81.6,82.53,6575.0
2016-08-22,81.6,83.92,79.05,83.92,3572.0
2016-08-23,83.92,84.15,82.53,82.53,32179.0
2016-08-24,79.75,83.23,79.75,83.23,2601.0
2016-08-25,82.3,83.23,80.68,80.68,3097.0
2016-08-26,80.21,83.0,78.82,81.6,1923.0
2016-08-29,83.23,83.23,78.13,79.98,3008.0
2016-08-30,79.98,83.23,79.29,80.68,2371.0
2016-08-31,80.68,80.68,79.75,79.75,2300.0
2016-09-01,80.21,82.53,80.21,80.44,5196.0
2016-09-02,80.21,82.3,79.75,79.75,2362.0
2016-09-05,79.98,80.68,78.36,79.75,5685.0
2016-09-06,80.21,80.21,78.82,78.82,3045.0
2016-09-07,83.23,88.1,83.23,86.7,86379.0
2016-09-08,89.95,93.43,86.7,89.95,59172.0
2016-09-09,89.95,90.88,86.24,86.7,18624.0
2016-09-12,86.7,86.7,82.53,84.62,15576.0
2016-09-13,84.62,88.56,84.62,85.08,3878.0
2016-09-14,89.25,89.25,85.78,85.78,3808.0
2016-09-15,85.78,86.47,84.62,84.62,12592.0
2016-09-16,84.39,86.24,84.39,85.31,5534.0
2016-09-19,88.1,88.1,82.53,84.85,5502.0
2016-09-20,84.62,85.31,81.14,82.53,7635.0
2016-09-21,86.24,86.24,82.53,84.39,49860.0
2016-09-22,82.53,85.08,82.3,85.08,8827.0
2016-09-23,85.31,85.31,83.92,84.39,1660.0
2016-09-26,83.92,90.41,83.92,85.31,11307.0
2016-09-27,86.01,86.01,82.53,83.23,15493.0
2016-09-28,84.62,85.31,83.46,85.31,20098.0
2016-09-29,82.76,84.39,82.76,84.39,47041.0
2016-09-30,86.7,86.7,84.39,84.85,928.0
2016-10-03,84.15,85.08,83.92,84.39,1824.0
2016-10-04,83.46,85.08,83.46,83.69,20140.0
2016-10-05,83.46,83.92,82.53,82.76,2359.0
2016-10-06,87.63,87.63,83.46,84.39,9672.0
2016-10-07,85.08,85.08,83.46,84.15,487.0
2016-10-10,82.53,84.15,82.53,84.15,3170.0
2016-10-11,84.15,84.15,82.53,83.92,4378.0
2016-10-12,82.3,84.62,82.07,84.62,10854.0
2016-10-13,84.39,84.39,83.46,83.46,3398.0
2016-10-14,84.85,84.85,83.69,84.15,3669.0
2016-10-17,84.39,84.39,83.46,83.46,898.0
2016-10-18,84.62,84.62,83.92,84.62,3600.0
2016-10-19,84.85,84.85,83.46,83.46,5231.0
2016-10-20,83.46,84.39,83.46,84.39,4825.0
2016-10-21,84.62,84.62,83.69,83.69,9693.0
2016-10-24,83.46,83.69,82.53,83.46,10154.0
2016-10-25,84.39,84.39,83.69,83.69,5619.0
2016-10-26,84.15,84.85,83.92,84.62,7205.0
2016-10-27,85.31,85.78,81.37,83.46,17530.0
2016-10-28,81.37,83.92,76.97,83.69,4177.0
2016-10-31,84.39,84.39,83.46,83.92,16154.0
2016-11-01,83.46,83.46,83.46,83.46,2156.0
2016-11-02,83.0,85.55,83.0,83.69,1887.0
2016-11-03,82.53,83.69,80.68,83.46,3219.0
2016-11-04,83.46,83.46,83.46,83.46,0.0
2016-11-07,82.53,83.46,81.14,81.6,10611.0
2016-11-08,78.59,83.69,78.59,83.46,4880.0
2016-11-09,80.68,83.23,78.82,81.84,3576.0
2016-11-10,82.07,82.3,81.84,81.84,1312.0
2016-11-11,82.3,82.53,76.97,80.21,1512.0
2016-11-14,77.89,83.46,77.89,82.53,29260.0
2016-11-15,83.92,83.92,82.53,83.0,14252.0
2016-11-16,81.84,83.46,81.6,82.76,7726.0
2016-11-17,82.76,83.46,82.76,83.46,860.0
2016-11-18,82.53,83.69,82.53,83.69,18100.0
2016-11-21,83.92,84.39,82.53,82.53,21127.0
2016-11-22,84.85,84.85,83.46,83.46,2228.0
2016-11-23,83.23,85.31,83.23,85.31,14861.0
2016-11-24,85.31,85.31,84.62,84.85,1703.0
2016-11-25,83.46,86.01,83.46,85.78,4985.0
2016-11-28,86.01,86.01,80.68,85.08,6073.0
2016-11-29,86.01,86.01,83.92,83.92,5806.0
2016-11-30,85.55,85.55,83.69,83.92,4687.0
2016-12-01,84.39,84.85,84.39,84.85,4000.0
2016-12-02,85.78,85.78,83.46,83.46,8997.0
2016-12-05,83.69,84.15,83.46,83.46,3815.0
2016-12-06,83.69,84.15,83.23,83.46,9486.0
2016-12-07,83.46,83.69,83.46,83.69,7525.0
2016-12-08,83.46,83.69,83.23,83.46,7805.0
2016-12-09,83.23,84.39,83.23,84.39,8050.0
2016-12-12,84.39,84.85,83.23,84.62,8426.0
2016-12-13,83.46,83.92,83.46,83.46,773076.0
2016-12-14,83.92,84.15,83.92,84.15,10115.0
2016-12-15,84.15,85.31,83.46,83.92,32010.0
2016-12-16,83.46,83.46,83.46,83.46,4320.0
2016-12-19,86.24,86.47,84.62,84.62,7012.0
2016-12-20,84.39,84.39,83.46,83.46,1356.0
2016-12-21,83.23,84.15,83.0,84.15,12870.0
2016-12-22,83.46,83.46,83.46,83.46,11844.0
2016-12-23,83.46,84.39,83.23,83.23,160.0
2016-12-27,83.23,83.46,81.37,83.46,1560.0
2016-12-28,83.69,83.69,83.0,83.46,45998.0
2016-12-29,83.46,83.69,83.46,83.46,2900.0
2016-12-30,83.46,83.46,83.46,83.46,3737.0
2017-01-02,83.92,84.15,83.69,84.15,2942.0
2017-01-03,84.39,87.17,84.39,85.78,22941.0
2017-01-04,85.55,85.55,85.31,85.31,7165.0
2017-01-05,85.08,85.55,85.08,85.31,2104.0
2017-01-09,85.31,85.78,84.85,85.78,16716.0
2017-01-10,85.55,85.55,84.15,84.15,1064.0
2017-01-11,82.53,86.7,82.53,86.7,11721.0
2017-01-12,85.55,86.7,85.55,86.7,12618.0
2017-01-13,86.7,86.7,85.31,86.24,2150.0
2017-01-16,86.01,86.01,85.31,85.78,18054.0
2017-01-17,85.78,85.78,84.39,85.31,3495.0
2017-01-18,84.15,84.85,83.46,83.46,1778.0
2017-01-19,83.69,84.39,83.69,84.39,832.0
2017-01-20,83.46,83.92,83.23,83.46,32221.0
2017-01-23,83.46,83.46,83.23,83.46,12600.0
2017-01-24,83.46,83.46,83.46,83.46,10430.0
2017-01-25,83.0,83.46,83.0,83.46,1243.0
2017-01-26,83.0,83.46,82.53,83.46,28161.0
2017-01-27,83.23,83.46,83.0,83.46,3964.0
2017-01-30,83.46,83.46,82.76,83.46,8347.0
2017-01-31,82.76,83.46,82.53,83.46,6696.0
2017-02-01,82.53,84.62,82.53,84.62,158544.0
2017-02-02,85.08,85.08,85.08,85.08,180.0
2017-02-03,84.62,84.62,84.15,84.15,2.0
2017-02-06,83.92,85.08,83.92,85.08,7307.0
2017-02-07,85.08,85.08,83.46,83.92,6266.0
2017-02-08,84.39,86.7,84.39,86.7,16517.0
2017-02-09,87.86,88.1,85.78,88.1,76844.0
2017-02-10,88.1,91.8,87.4,91.8,14839.0
2017-02-13,91.8,93.43,91.8,91.8,38059.0
2017-02-14,91.8,92.73,90.65,92.04,12807.0
2017-02-15,92.73,92.73,90.41,92.04,3802.0
2017-02-16,90.65,92.73,90.18,92.73,12339.0
2017-02-17,91.8,92.73,91.11,92.04,3316.0
2017-02-20,93.43,93.66,92.04,92.73,5840.0
2017-02-21,92.73,92.73,91.8,92.04,10349.0
2017-02-22,92.5,92.5,90.88,91.8,16189.0
2017-02-23,92.27,92.73,91.8,92.73,5980.0
2017-02-24,92.73,92.96,90.65,92.73,12776.0
2017-02-27,93.66,93.66,92.04,92.04,8343.0
2017-02-28,91.8,91.8,88.33,89.49,13093.0
