Date,Open,High,Low,Close,Volume
2016-11-22,9.07,9.33,8.47,9.0,18637059.0
2016-11-23,9.0,9.0,8.57,8.97,3135468.0
2016-11-24,8.97,9.33,8.73,9.27,2203401.0
2016-11-25,9.33,9.8,9.0,9.43,1338726.0
2016-11-28,9.43,9.57,9.33,9.4,539301.0
2016-11-29,9.53,10.73,9.53,9.6,1110324.0
2016-11-30,10.67,10.67,9.77,10.17,536364.0
2016-12-01,10.3,10.3,9.93,10.1,516885.0
2016-12-02,10.03,10.1,9.47,9.63,1254651.0
2016-12-05,9.33,9.8,9.03,9.2,444210.0
2016-12-06,9.2,9.5,9.17,9.33,391287.0
2016-12-07,9.33,9.67,9.17,9.6,498402.0
2016-12-08,9.67,9.67,9.17,9.4,566187.0
2016-12-09,9.33,9.73,9.2,9.67,403980.0
2016-12-12,9.87,9.87,9.5,9.87,284790.0
2016-12-13,10.0,10.0,9.67,9.97,490377.0
2016-12-14,9.97,9.97,9.57,9.73,144090.0
2016-12-15,9.67,9.8,9.53,9.67,234294.0
2016-12-16,9.67,9.93,9.67,9.9,328356.0
2016-12-19,9.9,10.2,9.9,10.13,263241.0
2016-12-20,10.0,10.43,9.93,10.33,1339764.0
2016-12-21,10.33,10.73,10.33,10.67,247368.0
2016-12-22,10.67,10.93,10.67,10.8,376734.0
2016-12-23,10.73,11.17,10.67,11.13,117153.0
2016-12-27,11.17,11.17,10.83,11.0,78210.0
2016-12-28,11.0,11.17,10.83,11.0,101307.0
2016-12-29,11.0,11.07,10.83,10.9,112110.0
2016-12-30,10.9,11.07,10.83,11.07,51663.0
2017-01-02,11.07,11.23,11.03,11.03,132021.0
2017-01-03,11.0,11.17,11.0,11.1,108810.0
2017-01-04,11.17,11.17,10.9,11.03,246483.0
2017-01-05,11.03,11.03,10.87,10.87,21783.0
2017-01-09,10.87,10.9,10.83,10.87,99348.0
2017-01-10,10.87,11.0,10.83,10.9,133623.0
2017-01-11,11.07,11.43,11.0,11.13,255750.0
2017-01-12,11.17,11.17,10.83,10.93,181176.0
2017-01-13,10.93,11.03,10.87,10.97,35487.0
2017-01-16,10.97,10.97,10.67,10.67,229737.0
2017-01-17,10.67,10.83,10.17,10.47,47151.0
2017-01-18,10.47,10.5,10.27,10.43,53046.0
2017-01-19,10.4,10.5,10.33,10.47,129846.0
2017-01-20,10.47,10.47,10.33,10.47,101709.0
2017-01-23,10.4,10.4,9.83,10.07,391713.0
2017-01-24,10.07,10.3,10.0,10.17,140628.0
2017-01-25,10.3,10.3,10.0,10.07,88878.0
2017-01-26,10.07,10.17,9.73,10.17,115260.0
2017-01-27,10.27,10.47,9.93,10.33,57153.0
2017-01-30,10.17,10.33,9.93,10.17,74229.0
2017-01-31,10.37,10.4,10.0,10.03,32547.0
2017-02-01,10.07,10.1,10.0,10.07,59556.0
2017-02-02,10.0,10.3,9.9,10.0,62859.0
2017-02-03,9.87,10.0,9.83,10.0,38730.0
2017-02-06,10.0,10.0,9.8,9.97,68601.0
2017-02-07,9.8,10.13,9.77,10.0,195939.0
2017-02-08,10.0,10.0,9.77,9.9,40743.0
2017-02-09,10.27,10.63,9.8,10.0,40476.0
2017-02-10,10.0,10.1,9.8,10.1,31941.0
2017-02-13,10.1,10.33,9.87,10.07,43512.0
2017-02-14,10.07,10.6,9.87,10.3,116049.0
2017-02-15,11.17,12.27,11.0,12.27,615969.0
2017-02-16,12.43,14.13,12.27,12.83,487029.0
2017-02-17,12.9,13.07,12.07,12.5,180900.0
2017-02-20,12.53,13.0,12.53,12.97,105156.0
2017-02-21,13.17,13.27,12.63,12.97,57633.0
2017-02-22,12.97,13.67,12.77,12.87,256584.0
2017-02-23,12.87,13.37,12.57,12.97,194760.0
2017-02-24,13.1,13.1,12.63,13.0,39966.0
2017-02-27,13.13,13.13,12.9,13.07,77706.0
2017-02-28,13.0,13.0,12.73,12.8,25959.0
2017-03-01,12.8,12.8,12.17,12.2,99255.0
2017-03-02,12.2,12.33,11.7,12.23,98715.0
2017-03-03,12.47,12.67,12.27,12.67,60681.0
2017-03-06,12.53,13.27,12.13,13.23,86010.0
2017-03-07,13.23,13.5,12.7,13.33,55323.0
2017-03-08,13.33,13.6,13.0,13.17,30231.0
2017-03-09,13.3,13.3,12.87,13.03,25359.0
2017-03-10,13.07,13.07,12.83,12.97,45135.0
2017-03-13,12.67,13.0,12.67,13.0,60564.0
2017-03-14,13.0,13.1,12.7,13.1,48900.0
2017-03-15,13.17,13.17,12.77,13.0,127395.0
2017-03-16,13.0,13.33,12.83,13.0,44208.0
2017-03-17,13.0,13.27,13.0,13.27,34587.0
2017-03-20,13.27,13.53,13.0,13.07,16275.0
2017-03-21,13.0,13.17,12.67,12.97,84456.0
2017-03-22,12.83,13.07,12.73,13.0,149847.0
2017-03-23,13.0,13.3,12.73,13.23,19623.0
2017-03-24,13.03,13.23,12.83,13.17,26196.0
2017-03-27,13.0,13.0,12.67,12.87,108870.0
2017-03-28,12.87,13.3,12.87,13.0,56592.0
2017-03-29,13.03,13.33,12.77,13.0,31188.0
2017-03-30,13.0,13.27,12.87,13.17,10350.0
2017-03-31,13.17,13.17,12.9,13.1,29133.0
2017-04-03,13.1,13.1,12.77,12.83,38130.0
2017-04-04,12.83,13.17,12.37,12.67,49026.0
2017-04-05,12.8,13.1,12.4,13.1,35313.0
2017-04-06,13.1,13.1,12.43,12.57,28827.0
2017-04-07,12.57,12.93,12.27,12.77,57105.0
2017-04-10,12.67,12.77,12.33,12.47,9672.0
