Date,Open,High,Low,Close,Volume
2010-01-04,54.31,54.31,54.31,54.31,100.0
2010-01-05,54.31,54.31,54.31,54.31,107.0
2010-01-07,54.31,54.31,54.31,54.31,240.0
2010-01-08,54.71,55.31,54.71,55.31,400.0
2010-01-11,55.31,55.51,55.31,55.51,714.0
2010-01-12,54.31,54.31,54.31,54.31,500.0
2010-01-13,55.51,55.51,55.11,55.11,1025.0
2010-01-14,54.31,55.51,54.31,55.51,1498.0
2010-01-15,55.51,55.51,55.11,55.11,364.0
2010-01-18,55.11,55.11,54.31,54.31,2465.0
2010-01-19,55.31,55.31,54.71,55.31,1834.0
2010-01-20,55.31,55.31,55.31,55.31,503.0
2010-01-21,55.51,56.51,55.51,56.51,6713.0
2010-01-22,56.31,56.31,55.11,55.11,3070.0
2010-01-25,55.91,55.91,55.11,55.11,3242.0
2010-01-26,56.11,56.11,54.91,54.91,2671.0
2010-01-27,55.91,55.91,55.91,55.91,400.0
2010-01-28,55.91,55.91,54.31,54.31,1241.0
2010-01-29,54.11,54.71,54.11,54.31,1200.0
2010-02-01,54.31,54.31,54.31,54.31,200.0
2010-02-02,54.31,55.31,53.91,54.31,600.0
2010-02-03,55.11,55.11,55.11,55.11,110.0
2010-02-04,55.11,55.11,54.11,54.11,800.0
2010-02-05,54.31,54.31,54.31,54.31,507.0
2010-02-08,54.31,54.31,54.31,54.31,793.0
2010-02-09,54.31,55.51,54.31,55.51,315.0
2010-02-10,56.51,56.51,55.51,55.51,524.0
2010-02-11,55.51,55.51,55.51,55.51,400.0
2010-02-12,55.91,55.91,54.51,54.51,0.0
2010-02-15,55.91,55.91,55.31,55.51,669.0
2010-02-16,55.51,55.51,55.11,55.11,1834.0
2010-02-17,55.51,56.11,55.51,55.51,12000.0
2010-02-18,55.51,55.51,55.51,55.51,100.0
2010-02-19,55.91,55.91,55.51,55.51,1213.0
2010-02-22,55.91,55.91,54.91,54.91,637.0
2010-02-23,54.91,54.91,54.91,54.91,650.0
2010-02-24,55.51,55.91,55.11,55.11,1435.0
2010-02-25,54.31,54.31,54.31,54.31,2860.0
2010-02-26,55.11,55.91,54.31,54.31,6901.0
2010-03-01,54.51,55.11,54.51,55.11,441.0
2010-03-02,55.11,55.11,53.91,53.91,0.0
2010-03-03,55.11,55.11,54.31,55.11,4112.0
2010-03-04,55.11,55.11,54.31,54.31,1317.0
2010-03-05,55.51,55.71,55.51,55.71,102.0
2010-03-08,55.31,55.31,55.31,55.31,43.0
2010-03-09,55.31,55.31,55.31,55.31,400.0
2010-03-10,55.91,55.91,55.91,55.91,1828.0
2010-03-11,55.11,55.11,55.11,55.11,100.0
2010-03-12,55.91,56.7,55.91,56.7,4406.0
2010-03-15,55.91,55.91,55.51,55.51,771.0
2010-03-16,55.71,55.71,55.71,55.71,445.0
2010-03-17,55.11,55.11,54.31,55.11,2954.0
2010-03-19,54.71,55.11,54.71,55.11,648.0
