Date,Open,High,Low,Close,Volume
2010-01-04,42.69,44.17,41.85,44.17,68978.0
2010-01-05,44.45,44.45,43.61,44.36,16270.0
2010-01-07,44.54,44.82,44.08,44.08,36314.0
2010-01-08,44.54,48.02,44.54,47.79,174757.0
2010-01-11,49.18,51.96,48.02,48.48,122563.0
2010-01-12,49.18,49.18,47.79,48.25,88593.0
2010-01-13,48.25,48.25,47.32,47.56,64836.0
2010-01-14,48.25,49.41,47.79,48.25,136267.0
2010-01-15,48.25,49.18,48.25,49.18,49639.0
2010-01-18,49.41,49.64,48.25,49.41,47406.0
2010-01-19,49.64,50.8,47.79,50.57,60242.0
2010-01-20,50.11,50.8,48.72,48.95,77755.0
2010-01-21,48.95,49.88,48.25,48.48,30870.0
2010-01-22,48.48,48.48,47.79,48.02,98882.0
2010-01-25,47.56,48.72,47.56,48.25,64167.0
2010-01-26,48.25,48.25,47.32,47.79,33974.0
2010-01-27,47.79,48.72,47.79,48.25,210916.0
2010-01-28,48.72,49.18,48.48,48.72,60965.0
2010-01-29,48.72,49.41,48.25,48.95,43629.0
2010-02-01,48.25,48.95,48.25,48.72,37242.0
2010-02-02,49.18,49.88,48.48,49.88,41387.0
2010-02-03,49.88,50.57,49.18,49.88,126398.0
2010-02-04,50.34,50.34,49.41,49.88,49281.0
2010-02-05,50.11,50.8,49.41,49.88,149073.0
2010-02-08,50.11,50.8,49.41,50.11,96467.0
2010-02-09,49.18,49.18,38.05,40.46,540494.0
2010-02-10,42.31,42.31,37.49,37.67,366219.0
2010-02-11,37.67,39.9,35.35,36.84,119503.0
2010-02-12,36.93,37.49,35.54,37.21,144086.0
2010-02-15,37.3,37.3,35.73,36.19,65869.0
2010-02-16,36.84,36.93,36.28,36.93,50885.0
2010-02-17,37.02,37.77,36.65,37.02,176306.0
2010-02-18,36.65,37.12,36.47,36.93,269070.0
2010-02-19,37.4,37.4,36.28,36.65,273776.0
2010-02-22,37.02,37.02,35.26,35.45,141783.0
2010-02-23,35.82,36.19,34.06,34.33,84027.0
2010-02-24,34.33,34.33,33.22,33.59,94885.0
2010-02-25,33.41,34.15,33.03,33.5,41472.0
2010-02-26,33.96,34.52,33.41,34.15,68697.0
2010-03-01,34.33,34.43,33.22,33.59,87661.0
2010-03-02,33.68,34.33,32.11,32.94,459034.0
2010-03-03,32.85,33.03,31.92,32.2,329581.0
2010-03-04,32.2,34.24,32.2,33.96,692010.0
2010-03-05,34.33,34.7,33.68,34.43,199223.0
2010-03-08,35.08,35.08,33.5,33.78,73495.0
2010-03-09,33.78,34.15,33.22,34.15,142693.0
2010-03-10,34.15,34.15,33.78,33.87,58305.0
2010-03-11,33.96,33.96,33.41,33.68,156331.0
2010-03-12,33.59,34.15,32.85,33.5,263608.0
2010-03-15,33.78,35.26,33.5,34.98,348929.0
2010-03-16,34.98,34.98,33.96,34.8,121864.0
2010-03-17,34.98,35.63,34.61,35.54,130594.0
2010-03-18,35.54,36.1,35.35,35.82,111840.0
2010-03-19,35.91,36.38,35.26,36.0,136741.0
2010-03-22,36.28,36.28,35.17,35.91,67656.0
2010-03-23,36.19,36.19,35.26,35.73,39839.0
2010-03-24,35.45,36.19,35.26,35.73,42062.0
2010-03-25,35.45,36.84,35.45,36.84,147381.0
2010-03-26,37.02,37.02,36.0,36.93,29859.0
2010-03-29,36.93,37.4,36.1,36.28,122222.0
2010-03-30,36.47,37.3,36.0,37.12,68576.0
2010-03-31,37.12,37.3,36.38,36.84,64153.0
2010-04-01,36.65,36.93,36.38,36.93,25794.0
2010-04-06,37.4,38.42,36.47,37.3,70197.0
2010-04-07,36.93,37.86,36.75,37.58,48215.0
2010-04-08,37.58,39.62,37.02,38.51,93321.0
2010-04-09,38.51,39.16,38.14,38.79,32651.0
2010-04-12,39.16,39.25,38.32,38.32,535912.0
2010-04-13,38.51,39.81,37.77,37.95,185477.0
2010-04-14,37.77,38.51,37.77,38.14,41939.0
2010-04-15,38.05,38.23,37.21,37.86,316694.0
2010-04-16,37.86,37.86,36.56,37.12,88087.0
2010-04-19,36.56,36.56,35.17,35.91,98282.0
2010-04-20,36.0,36.28,35.08,35.73,88680.0
2010-04-21,35.73,35.73,34.89,34.89,81519.0
2010-04-22,34.89,35.26,33.59,33.87,63795.0
2010-04-23,34.24,34.43,33.87,34.33,58020.0
