Date,Open,High,Low,Close,Volume
2010-01-04,39.08,39.26,38.72,39.08,790774.0
2010-01-05,39.43,39.43,38.9,39.26,369514.0
2010-01-07,39.08,39.26,38.54,38.54,1347841.0
2010-01-08,38.72,39.43,38.72,39.43,732878.0
2010-01-11,40.12,40.12,40.12,40.12,1431211.0
2010-01-12,39.61,39.79,38.18,38.9,1713726.0
2010-01-13,38.54,38.9,38.18,38.54,1116505.0
2010-01-14,38.9,39.26,38.18,38.18,1281934.0
2010-01-15,38.54,38.72,38.0,38.36,832641.0
2010-01-18,38.36,38.54,38.0,38.54,571316.0
2010-01-19,38.36,39.43,37.64,39.43,1405657.0
2010-01-20,39.26,40.15,38.36,38.36,1803123.0
2010-01-21,38.9,39.08,36.93,36.93,1449379.0
2010-01-22,36.57,37.64,36.03,36.39,1434823.0
2010-01-25,36.21,37.46,36.03,36.93,1067998.0
2010-01-26,36.39,36.57,35.56,35.71,1735724.0
2010-01-27,35.85,37.28,35.78,36.21,2064492.0
2010-01-28,36.93,37.82,35.71,36.03,2438703.0
2010-01-29,36.57,36.93,35.85,36.75,2075961.0
2010-02-01,36.57,37.28,36.39,37.28,1011690.0
2010-02-02,37.46,38.36,37.1,38.0,1551254.0
2010-02-03,38.0,38.54,37.28,37.64,622775.0
2010-02-04,37.64,38.0,36.21,36.21,1124487.0
2010-02-05,35.85,36.03,34.63,35.35,1850180.0
2010-02-08,35.56,35.71,33.84,34.42,1624146.0
2010-02-09,34.7,36.21,34.2,35.28,1853073.0
2010-02-10,35.85,35.85,35.06,35.13,842181.0
2010-02-11,35.49,36.21,35.49,35.85,968803.0
2010-02-12,36.21,36.21,33.56,34.34,2620417.0
2010-02-15,34.77,34.77,32.55,33.48,2567765.0
2010-02-16,32.26,32.91,31.4,32.26,4635517.0
2010-02-17,32.77,32.98,32.05,32.84,2921654.0
2010-02-18,32.98,33.05,32.12,32.41,2719127.0
2010-02-19,32.26,33.41,31.98,32.84,2081133.0
2010-02-22,33.34,34.7,32.98,34.13,3280636.0
2010-02-23,34.63,34.85,33.48,33.63,1325419.0
2010-02-24,33.77,33.84,32.26,33.05,1970794.0
2010-02-25,32.98,33.34,31.91,32.05,1946081.0
2010-02-26,32.48,33.13,32.41,32.98,1294898.0
2010-03-01,33.2,34.2,33.2,34.13,1502868.0
2010-03-02,34.27,34.27,33.63,34.27,1665179.0
2010-03-03,34.34,35.42,34.13,35.13,1887833.0
2010-03-04,34.85,35.63,34.77,35.49,1774825.0
2010-03-05,35.78,36.03,35.42,35.85,1042168.0
2010-03-08,36.21,36.39,35.49,35.71,995005.0
2010-03-09,35.71,36.21,35.42,36.21,1274244.0
2010-03-10,36.03,36.75,36.03,36.57,728898.0
2010-03-11,36.57,36.93,36.21,36.93,1212254.0
2010-03-12,36.93,37.46,36.75,36.75,1227530.0
2010-03-15,36.75,36.93,36.21,36.39,515589.0
2010-03-16,36.39,36.57,35.85,36.21,741301.0
2010-03-17,36.39,36.57,35.78,35.85,949909.0
2010-03-18,35.63,36.03,35.28,35.35,1262866.0
2010-03-19,35.85,36.57,35.78,35.85,2844599.0
2010-03-22,35.78,36.93,35.49,36.57,2531651.0
2010-03-23,36.75,38.36,36.57,38.36,4002602.0
2010-03-24,38.54,38.9,36.93,38.18,3599660.0
2010-03-25,37.82,38.36,37.64,38.0,1556872.0
2010-03-26,38.0,38.36,37.64,38.0,1141233.0
2010-03-29,38.0,38.36,37.82,38.0,889002.0
2010-03-30,38.18,38.18,36.75,37.1,1917132.0
2010-03-31,36.93,37.82,36.93,37.82,1748215.0
2010-04-01,37.64,37.82,37.46,37.82,633080.0
2010-04-06,38.0,38.72,37.82,38.72,1704870.0
2010-04-07,38.9,39.08,38.18,38.54,1887447.0
2010-04-08,38.36,38.36,37.28,37.46,2090706.0
2010-04-09,37.64,38.36,37.64,38.36,988370.0
2010-04-12,38.54,38.72,36.75,36.93,2848916.0
2010-04-13,36.75,36.93,35.71,35.85,3887651.0
2010-04-14,36.03,36.75,35.63,35.85,3885313.0
2010-04-15,36.03,36.57,35.78,36.03,1265648.0
2010-04-16,36.93,39.08,36.93,38.18,7093382.0
2010-04-19,38.18,39.08,38.0,38.54,3823056.0
2010-04-20,39.08,41.41,38.0,39.43,13266004.0
2010-04-21,39.8,40.34,38.35,38.53,5291295.0
2010-04-22,38.53,38.71,37.08,37.81,6342049.0
2010-04-23,38.17,39.62,37.81,39.43,3482740.0
2010-04-26,39.98,40.52,39.43,39.43,3375984.0
2010-04-27,39.43,39.62,37.99,37.99,1557040.0
2010-04-28,37.81,39.07,36.9,37.99,3194481.0
2010-04-29,37.99,38.89,37.63,38.71,1712606.0
2010-04-30,39.07,39.07,38.35,38.35,571996.0
2010-05-03,37.99,39.07,37.63,38.71,947975.0
2010-05-04,38.89,39.07,37.08,37.26,2733701.0
2010-05-05,36.9,37.26,35.67,35.96,3580256.0
2010-05-06,35.46,36.36,34.37,34.59,3258271.0
2010-05-07,32.78,33.86,31.62,32.56,5002342.0
2010-05-10,34.01,35.74,34.01,35.53,3694442.0
2010-05-11,35.46,35.67,34.51,35.53,2057627.0
2010-05-12,35.46,36.36,35.17,35.89,1469231.0
2010-05-14,36.11,36.36,35.02,35.24,1839384.0
2010-05-17,34.73,35.74,34.37,34.59,1429785.0
2010-05-18,35.24,36.03,35.17,35.89,1645936.0
2010-05-19,35.46,35.46,34.08,34.15,2669942.0
2010-05-20,34.37,35.02,32.63,32.85,2925928.0
2010-05-21,32.71,33.94,32.56,33.86,2403038.0
2010-05-24,34.37,34.37,32.71,33.28,2458111.0
2010-05-25,32.2,32.42,31.26,31.62,2712036.0
2010-05-26,32.2,33.07,31.98,32.63,2472725.0
2010-05-27,32.78,34.08,32.56,34.08,1751144.0
2010-05-28,34.37,34.44,33.65,34.01,1794802.0
2010-05-31,34.3,35.02,34.15,34.59,1057581.0
2010-06-01,34.73,34.95,33.65,34.8,2123684.0
2010-06-02,34.66,35.67,34.44,35.46,1641158.0
2010-06-03,36.36,36.36,35.74,35.82,1491993.0
2010-06-04,36.11,36.36,34.88,35.09,1861769.0
2010-06-07,34.12,35.09,34.01,34.15,1476370.0
2010-06-08,34.59,34.59,33.65,33.8,1375074.0
2010-06-09,34.33,34.66,33.6,34.66,1097598.0
2010-06-10,34.64,35.93,34.4,35.93,1802803.0
2010-06-11,36.18,36.25,35.09,35.77,938071.0
2010-06-14,35.96,36.5,35.96,36.43,1280533.0
2010-06-15,36.4,36.69,36.18,36.69,1417168.0
2010-06-16,36.9,37.19,36.25,36.54,1359640.0
2010-06-17,36.4,36.72,35.89,36.11,1512994.0
2010-06-18,36.15,36.5,35.96,36.4,1873967.0
2010-06-21,36.83,37.37,36.54,36.61,2017542.0
2010-06-22,36.25,37.45,36.18,37.05,2030664.0
2010-06-23,36.83,37.7,36.65,36.97,2041091.0
2010-06-24,37.19,37.45,35.46,35.51,1738188.0
2010-06-28,36.21,36.25,34.88,35.53,1067886.0
2010-06-29,35.35,35.51,33.9,33.98,1585332.0
2010-06-30,33.97,34.88,33.58,34.01,1425107.0
2010-07-01,33.43,33.78,32.56,33.16,2307859.0
2010-07-02,33.3,33.87,33.03,33.18,1127484.0
2010-07-05,33.52,34.01,33.37,33.86,1155956.0
2010-07-06,33.91,35.52,33.91,35.03,1696252.0
2010-07-07,35.01,35.31,34.39,35.04,809420.0
2010-07-08,35.46,35.74,34.91,35.1,1310973.0
2010-07-09,35.58,35.95,35.31,35.74,744521.0
2010-07-12,35.82,36.09,35.46,35.95,450498.0
2010-07-13,35.75,36.83,35.75,36.79,1098765.0
2010-07-14,36.9,37.37,36.47,37.16,1047840.0
2010-07-15,36.87,37.34,36.17,36.58,1067617.0
2010-07-16,36.5,37.01,35.46,35.61,1304748.0
2010-07-19,35.67,36.16,35.06,35.67,862619.0
2010-07-20,35.82,35.82,35.09,35.49,1191210.0
2010-07-21,36.9,38.28,36.69,38.06,4698487.0
2010-07-22,37.88,39.69,37.84,39.54,3249062.0
2010-07-23,39.51,39.69,39.0,39.29,2176227.0
2010-07-26,39.8,39.8,38.71,39.25,1575164.0
2010-07-27,39.43,39.54,38.39,38.6,1485046.0
2010-07-28,39.0,39.0,38.2,38.42,1284202.0
2010-07-29,38.28,38.82,38.17,38.28,1021601.0
2010-07-30,38.17,38.35,37.3,38.1,1236739.0
2010-08-02,38.57,38.96,38.2,38.89,1027100.0
2010-08-03,39.0,39.18,38.35,38.6,978564.0
2010-08-04,38.46,38.71,38.17,38.39,916050.0
2010-08-05,38.68,38.89,38.17,38.35,847245.0
2010-08-06,38.42,38.78,37.84,38.2,935443.0
2010-08-09,38.35,38.68,37.81,38.13,1101099.0
2010-08-10,38.1,38.17,37.7,37.84,1675594.0
2010-08-11,37.63,37.66,36.36,36.58,2048738.0
2010-08-12,36.25,36.76,35.63,35.79,2312270.0
2010-08-13,36.58,36.58,35.46,36.07,1135189.0
2010-08-16,36.05,36.43,35.96,36.29,1044711.0
2010-08-17,36.58,37.63,36.47,37.63,2154427.0
2010-08-18,37.66,37.84,37.01,37.55,2414007.0
2010-08-19,37.73,37.81,36.97,37.05,1287662.0
2010-08-20,36.94,37.26,36.36,36.5,1214292.0
2010-08-23,36.5,36.9,36.18,36.25,888490.0
2010-08-24,36.18,36.18,35.11,35.18,1855374.0
2010-08-25,35.09,35.35,34.16,34.62,1487156.0
2010-08-26,35.09,35.36,34.73,35.01,1275053.0
2010-08-27,35.23,35.67,34.83,35.45,1335071.0
2010-08-30,35.8,35.82,34.8,35.18,903457.0
2010-08-31,34.68,35.56,34.38,35.56,1215709.0
2010-09-01,35.51,36.76,35.46,36.65,3306929.0
2010-09-02,36.65,37.63,36.43,37.52,1643377.0
2010-09-03,37.52,37.95,37.19,37.81,1598860.0
2010-09-06,37.77,38.17,37.45,37.77,517863.0
2010-09-07,37.63,38.13,37.63,38.06,1449330.0
2010-09-08,37.88,38.6,37.63,38.49,1445688.0
2010-09-09,38.35,39.04,38.1,38.64,1542799.0
2010-09-10,38.64,39.54,38.57,39.25,2099531.0
2010-09-13,39.43,39.76,39.25,39.76,1796749.0
2010-09-14,40.01,42.47,40.01,42.37,6786395.0
2010-09-15,42.33,42.33,41.61,41.75,2002358.0
2010-09-16,41.86,42.62,41.82,42.0,1475692.0
2010-09-17,42.33,43.23,42.18,42.65,2400281.0
2010-09-20,42.62,42.76,42.08,42.73,1255357.0
2010-09-21,42.84,43.41,42.4,42.4,1327090.0
2010-09-22,42.73,42.73,42.0,42.08,1511105.0
2010-09-23,42.33,42.55,41.21,42.08,1256754.0
2010-09-24,42.18,43.74,41.68,43.52,2324728.0
2010-09-27,43.56,44.32,43.16,43.56,1369354.0
2010-09-28,43.78,44.64,42.76,43.92,1889516.0
2010-09-29,44.39,44.97,43.96,44.57,1770874.0
2010-09-30,44.68,45.15,44.17,44.93,1480052.0
2010-10-01,45.22,45.55,44.54,44.68,1764494.0
2010-10-04,44.79,45.01,44.07,44.46,905585.0
2010-10-05,43.96,44.46,43.31,44.14,2468207.0
2010-10-06,44.64,45.55,44.43,44.86,1843071.0
2010-10-07,44.61,44.86,44.1,44.21,1160681.0
2010-10-08,44.43,44.46,43.31,43.78,1320354.0
2010-10-11,43.78,44.28,43.6,43.78,1052239.0
2010-10-12,43.63,43.88,42.94,43.88,1026031.0
2010-10-13,44.07,45.44,43.99,45.15,1483564.0
2010-10-14,45.15,45.59,44.93,44.97,866333.0
2010-10-15,45.08,45.11,44.64,44.75,545718.0
2010-10-18,44.79,45.48,44.28,44.79,934318.0
2010-10-19,45.59,47.32,45.51,46.27,2642529.0
2010-10-20,46.16,46.92,45.48,46.92,1606598.0
2010-10-21,47.03,48.48,46.89,48.08,2911413.0
2010-10-22,48.3,48.3,46.92,47.29,1226809.0
2010-10-25,47.61,47.72,46.92,47.32,1437012.0
2010-10-26,47.03,47.36,46.71,46.78,1120694.0
2010-10-27,46.89,47.32,46.6,46.74,1027890.0
2010-10-28,46.74,46.78,43.96,43.99,3280557.0
2010-10-29,44.68,45.55,44.14,45.55,2396106.0
2010-11-01,46.16,46.16,45.55,45.66,1926914.0
2010-11-02,45.59,45.62,44.57,45.15,1009384.0
2010-11-03,45.15,45.77,44.93,45.48,1124653.0
2010-11-04,45.95,46.56,45.73,46.2,1449677.0
2010-11-05,46.42,46.67,45.87,46.63,811112.0
2010-11-08,46.6,46.63,46.02,46.35,462197.0
2010-11-09,46.31,46.92,45.95,46.74,892470.0
2010-11-10,46.82,47.25,46.53,46.71,705919.0
2010-11-11,46.89,47.03,46.27,46.67,675735.0
2010-11-12,46.31,46.82,45.51,46.6,743014.0
2010-11-15,46.31,47.36,46.06,47.36,962594.0
2010-11-16,47.03,47.14,46.16,46.24,1556132.0
2010-11-17,45.69,46.53,45.51,46.27,1215902.0
2010-11-18,46.38,47.9,46.38,47.83,1335573.0
2010-11-19,47.76,49.06,47.47,48.95,1427608.0
2010-11-22,49.28,49.89,48.48,49.06,1634330.0
2010-11-23,49.13,49.35,48.12,48.33,1764904.0
2010-11-24,48.48,48.99,47.94,48.52,1110807.0
2010-11-25,49.06,49.93,48.81,49.93,1006686.0
2010-11-26,49.93,50.25,49.35,49.96,1208736.0
2010-11-29,50.29,50.58,49.02,49.24,841598.0
2010-11-30,49.2,49.53,48.66,49.09,904857.0
2010-12-01,49.2,50.76,49.2,50.76,1096146.0
2010-12-02,50.94,52.06,50.76,52.06,1738293.0
2010-12-03,52.1,52.6,51.48,52.17,1492504.0
2010-12-06,52.21,52.6,51.88,52.28,548539.0
2010-12-07,52.5,53.47,52.42,53.36,1901056.0
2010-12-08,53.36,53.36,52.17,52.35,865740.0
2010-12-09,52.78,52.78,50.8,50.83,991383.0
2010-12-10,50.9,51.3,49.93,50.65,797739.0
2010-12-13,51.01,51.95,51.01,51.92,994142.0
2010-12-14,52.06,52.42,51.99,52.13,1646255.0
2010-12-15,52.13,52.46,51.81,52.46,1544301.0
2010-12-16,52.46,52.75,52.1,52.46,648045.0
2010-12-17,52.46,52.6,52.1,52.39,692791.0
2010-12-20,52.31,52.39,51.74,51.74,1243960.0
2010-12-21,52.39,52.39,51.92,52.28,2385611.0
2010-12-22,52.28,52.39,51.88,51.92,536246.0
2010-12-23,52.1,52.1,51.74,51.92,275145.0
2010-12-27,51.74,51.95,51.37,51.55,330904.0
2010-12-28,51.37,51.88,51.37,51.63,354918.0
2010-12-29,51.55,51.74,51.41,51.7,555304.0
2010-12-30,51.37,51.84,51.19,51.45,472191.0
2011-01-03,51.37,53.26,51.3,53.22,1153266.0
2011-01-04,53.18,53.54,52.6,52.6,1049319.0
2011-01-05,52.75,52.86,51.19,51.3,663995.0
2011-01-07,51.63,51.95,51.01,51.52,946221.0
2011-01-10,51.84,51.88,50.43,50.61,928865.0
2011-01-11,51.74,52.17,51.08,52.03,1148977.0
2011-01-12,52.1,53.07,51.99,52.57,1376530.0
2011-01-13,52.57,54.38,52.57,53.98,5389308.0
2011-01-14,54.05,54.2,53.22,53.73,1354039.0
2011-01-17,54.63,54.74,53.76,54.67,1478237.0
2011-01-18,55.17,55.72,54.63,55.64,2166982.0
2011-01-19,55.72,56.08,53.54,53.62,1854507.0
2011-01-20,53.91,53.91,52.39,52.46,1982581.0
2011-01-21,52.64,54.3,52.42,53.91,1853616.0
2011-01-24,53.91,54.09,53.04,53.98,1884228.0
2011-01-25,54.3,54.85,54.01,54.49,1173761.0
2011-01-26,54.88,55.64,54.85,55.28,1820815.0
2011-01-27,55.28,55.68,54.74,55.64,1503037.0
2011-01-28,55.64,55.64,54.34,54.38,714469.0
2011-01-31,53.91,54.2,52.82,54.09,732474.0
2011-02-01,54.3,55.14,53.36,53.54,2074852.0
2011-02-02,53.83,53.83,50.18,50.4,3701415.0
2011-02-03,50.65,51.05,50.11,50.76,1401228.0
2011-02-04,50.87,51.55,50.11,50.11,1206932.0
2011-02-07,50.54,51.37,50.36,51.3,893066.0
2011-02-08,51.77,51.77,50.04,50.65,1096408.0
2011-02-09,50.72,50.8,50.04,50.4,739388.0
2011-02-10,50.43,50.51,48.99,49.75,1569792.0
2011-02-11,49.89,50.43,49.13,50.4,1038308.0
2011-02-14,50.87,51.08,50.54,50.8,1650492.0
2011-02-15,46.31,47.65,45.48,45.48,8408675.0
2011-02-16,46.09,47.0,45.55,45.95,2723668.0
2011-02-17,46.13,46.24,44.28,44.32,2856304.0
2011-02-18,44.57,45.11,44.32,44.75,1389926.0
2011-02-21,44.83,45.15,43.81,44.1,1626830.0
2011-02-22,43.99,44.83,43.34,44.75,2127186.0
2011-02-23,44.21,44.72,43.52,44.07,1907003.0
2011-02-24,43.34,45.04,43.13,44.64,2293531.0
2011-02-25,45.01,45.4,44.57,44.97,1248461.0
2011-02-28,45.11,46.2,44.68,45.98,1658681.0
2011-03-01,46.27,46.38,45.3,45.48,1148351.0
2011-03-02,45.01,45.73,44.43,45.59,1047665.0
2011-03-03,45.66,45.95,45.26,45.87,794138.0
2011-03-04,46.06,46.45,45.48,45.62,1352641.0
2011-03-07,45.22,47.0,45.22,46.82,1929393.0
2011-03-08,47.1,47.32,46.45,46.6,1156819.0
2011-03-09,46.71,47.58,46.67,47.47,2203883.0
2011-03-10,46.96,47.36,46.6,46.96,1134600.0
2011-03-11,46.38,46.6,45.48,45.59,982736.0
2011-03-14,44.5,45.44,44.39,44.68,1007246.0
2011-03-15,43.41,43.6,41.35,43.27,2402832.0
2011-03-16,43.41,44.21,42.76,43.16,1703168.0
2011-03-17,43.23,43.92,42.87,43.92,1258901.0
2011-03-18,44.46,44.5,44.03,44.25,1262376.0
2011-03-21,45.11,46.02,44.9,45.98,1886133.0
2011-03-22,45.91,45.91,45.01,45.44,1165743.0
2011-03-23,45.26,45.66,44.9,45.37,792404.0
2011-03-24,45.3,46.42,45.3,46.31,853388.0
2011-03-25,46.53,46.67,45.69,45.95,995813.0
2011-03-28,45.95,46.31,45.84,46.24,844910.0
2011-03-29,46.31,46.6,45.98,46.45,691297.0
2011-03-30,46.78,47.36,46.74,47.18,803683.0
2011-03-31,47.18,47.32,46.74,46.85,602692.0
2011-04-01,47.03,47.18,46.49,46.85,3063088.0
2011-04-04,46.96,48.01,46.74,47.79,1403771.0
2011-04-05,47.9,48.55,47.65,47.94,1168602.0
2011-04-06,48.44,48.44,47.61,48.01,785135.0
2011-04-07,48.05,48.05,47.07,47.18,1214678.0
2011-04-08,47.39,47.5,46.35,47.03,1413811.0
2011-04-11,47.03,47.03,46.31,46.71,1311288.0
