Date,Open,High,Low,Close,Volume
2019-04-08,13.8,19.6,13.3,19.1,5830541.0
2019-04-09,19.8,25.0,19.7,21.0,7550582.0
2019-04-10,21.2,22.0,17.2,17.6,2713085.0
2019-04-11,17.6,17.9,14.1,14.3,2025404.0
2019-04-12,14.5,17.8,14.4,16.0,4187272.0
2019-04-15,16.5,17.6,16.2,17.5,895387.0
2019-04-16,17.8,18.4,17.7,18.0,573797.0
2019-04-17,18.3,18.4,16.6,17.3,504489.0
2019-04-18,17.5,17.5,16.4,16.7,127201.0
2019-04-23,17.0,17.8,17.0,17.2,233985.0
2019-04-24,17.3,17.4,16.7,16.8,104529.0
2019-04-25,17.0,17.2,16.0,16.2,163111.0
2019-04-26,16.2,16.5,15.6,15.9,130919.0
2019-04-29,15.8,15.9,14.5,14.8,279868.0
2019-04-30,14.8,15.9,14.5,15.2,75280.0
2019-05-02,15.2,15.2,14.2,14.5,186924.0
2019-05-03,14.5,15.4,14.4,14.7,133093.0
2019-05-06,14.8,14.8,14.1,14.5,85368.0
2019-05-07,14.5,15.4,14.5,14.9,94966.0
2019-05-08,14.9,15.5,14.4,15.0,153205.0
2019-05-09,14.9,15.4,14.4,15.3,83315.0
2019-05-10,15.4,15.5,14.6,15.2,61979.0
2019-05-13,15.2,15.3,14.2,14.2,117851.0
2019-05-14,14.1,14.7,14.1,14.5,65719.0
2019-05-15,14.8,15.9,14.0,14.0,270716.0
2019-05-16,14.0,14.3,13.7,14.0,64266.0
2019-05-17,14.1,14.2,13.6,13.9,53015.0
2019-05-20,13.9,13.9,13.3,13.3,46990.0
2019-05-21,13.4,13.8,13.3,13.5,49914.0
2019-05-22,13.5,13.7,13.2,13.4,52044.0
2019-05-23,13.4,13.4,12.7,12.8,96172.0
2019-05-24,12.7,13.3,12.1,12.2,98052.0
2019-05-27,12.3,12.6,11.8,11.9,39044.0
2019-05-28,11.6,11.8,11.0,11.2,101127.0
2019-05-29,11.1,11.1,10.4,10.5,74993.0
2019-05-31,10.4,11.9,9.9,11.9,131907.0
2019-06-03,12.0,12.0,11.0,11.1,71796.0
2019-06-04,11.1,11.2,10.5,10.7,73787.0
2019-06-05,10.7,11.2,10.6,10.8,56416.0
2019-06-07,11.0,11.6,11.0,11.6,51361.0
2019-06-11,14.1,14.9,13.5,13.7,93192.0
2019-06-12,13.7,13.7,12.3,12.6,45147.0
2019-06-13,12.6,13.2,12.3,13.0,33508.0
2019-06-14,13.0,13.0,12.4,12.5,43212.0
2019-06-18,12.3,12.4,12.0,12.1,24821.0
2019-06-19,12.0,12.0,11.5,12.0,32519.0
2019-06-20,12.1,12.4,11.4,12.4,42925.0
2019-06-24,12.6,13.1,12.5,12.8,63471.0
2019-06-25,12.8,12.9,12.5,12.8,39261.0
2019-06-26,12.8,12.8,12.3,12.4,21894.0
2019-06-27,12.4,12.8,12.4,12.8,10104.0
2019-06-28,12.8,12.9,12.0,12.7,28442.0
2019-07-01,12.7,12.8,12.1,12.7,23764.0
2019-07-02,12.7,12.7,12.2,12.3,19730.0
2019-07-03,12.3,12.5,11.7,12.1,35938.0
2019-07-04,12.0,12.1,11.7,12.1,21437.0
2019-07-05,12.2,12.5,11.9,12.2,10576.0
2019-07-08,12.2,12.2,11.8,11.9,30480.0
2019-07-09,11.6,12.1,11.6,11.9,22533.0
2019-07-10,11.9,12.0,11.6,12.0,23046.0
2019-07-11,12.0,12.0,11.6,11.9,21480.0
2019-07-12,11.9,11.9,11.5,11.7,25816.0
2019-07-15,11.6,11.6,11.0,11.2,78001.0
2019-07-16,11.4,12.3,11.4,12.0,88375.0
2019-07-17,12.2,12.2,11.5,11.9,10515.0
2019-07-18,11.9,11.9,11.2,11.3,26948.0
2019-07-19,11.7,11.9,11.3,11.6,17938.0
2019-07-22,11.6,12.1,11.5,11.7,49431.0
2019-07-23,11.8,11.8,11.5,11.5,12294.0
2019-07-24,11.5,11.5,11.2,11.4,19108.0
2019-07-25,11.3,11.4,11.0,11.4,25410.0
2019-07-26,11.2,11.3,11.0,11.2,13379.0
2019-07-29,11.2,11.3,11.1,11.3,14459.0
2019-07-30,11.2,11.3,11.1,11.2,13465.0
2019-07-31,11.2,11.2,11.0,11.1,18817.0
2019-08-01,11.1,11.2,11.0,11.1,13368.0
2019-08-02,11.0,11.1,10.7,10.8,23968.0
2019-08-06,10.8,11.5,10.5,11.0,36045.0
2019-08-07,10.9,11.0,10.5,10.9,17228.0
2019-08-08,10.9,10.9,10.4,10.8,27812.0
2019-08-09,10.8,10.8,10.3,10.7,15613.0
2019-08-12,10.7,10.8,10.2,10.6,13751.0
2019-08-13,10.6,10.6,10.0,10.4,19364.0
2019-08-14,10.5,10.6,10.0,10.1,19247.0
2019-08-15,10.1,10.2,9.35,9.6,98772.0
2019-08-16,9.55,9.6,9.35,9.6,29167.0
2019-08-19,9.6,9.8,9.55,9.65,25637.0
2019-08-20,9.65,9.7,9.4,9.65,17171.0
2019-08-21,9.65,9.65,9.0,9.35,34942.0
2019-08-22,9.0,9.0,8.5,8.75,85447.0
2019-08-23,8.6,8.6,8.2,8.35,56927.0
2019-08-26,8.25,8.3,7.7,8.1,38977.0
2019-08-27,8.05,8.1,7.75,8.0,17943.0
2019-08-28,8.0,9.3,8.0,9.25,58108.0
2019-08-29,9.25,9.35,8.9,9.25,76537.0
2019-08-30,9.25,9.4,8.95,9.2,33584.0
2019-09-02,9.2,9.5,8.8,9.15,10127.0
2019-09-03,9.15,9.15,8.5,8.65,22918.0
2019-09-04,8.55,8.8,8.35,8.75,18552.0
2019-09-05,8.8,9.15,8.7,9.0,22148.0
2019-09-06,9.05,9.5,9.05,9.25,21108.0
2019-09-09,9.25,9.4,9.15,9.35,6394.0
2019-09-10,9.35,9.35,9.1,9.25,8810.0
2019-09-11,9.25,9.25,8.9,9.2,16385.0
2019-09-12,9.0,9.2,8.7,9.0,11788.0
2019-09-13,9.15,9.2,8.85,9.1,5630.0
2019-09-16,9.1,9.25,8.8,8.9,4803.0
2019-09-17,8.9,9.0,8.5,8.9,11846.0
2019-09-18,8.9,8.9,8.55,8.7,14288.0
2019-09-19,8.7,9.05,8.3,8.65,41608.0
2019-09-20,8.55,8.9,8.5,8.65,10351.0
2019-09-23,8.65,8.9,8.25,8.5,17621.0
2019-09-24,8.45,8.8,8.3,8.45,12828.0
2019-09-25,8.85,8.85,8.45,8.7,8370.0
2019-09-26,8.7,8.8,8.5,8.7,6400.0
2019-09-27,8.7,8.7,8.35,8.5,21340.0
2019-09-30,8.5,8.7,8.4,8.4,10343.0
2019-10-01,8.5,8.55,8.3,8.4,6162.0
2019-10-02,8.4,8.55,8.25,8.35,6781.0
2019-10-03,8.35,8.4,7.55,7.85,45998.0
2019-10-04,8.0,8.15,7.7,8.05,19518.0
2019-10-07,8.05,8.2,7.65,7.85,21135.0
2019-10-08,7.85,7.85,7.55,7.8,22242.0
2019-10-09,7.8,7.8,7.55,7.7,21762.0
2019-10-10,7.8,7.8,7.5,7.55,24213.0
2019-10-11,7.55,7.75,7.4,7.5,27385.0
2019-10-14,7.5,7.7,7.5,7.55,8691.0
2019-10-15,7.6,7.75,7.55,7.7,11100.0
2019-10-16,7.95,7.95,7.5,7.55,7183.0
2019-10-17,8.0,8.0,7.45,7.5,11492.0
2019-10-18,7.5,7.7,7.5,7.7,9812.0
2019-10-21,7.75,7.75,7.3,7.45,32028.0
2019-10-22,7.5,7.7,7.5,7.5,17844.0
2019-10-23,7.7,7.7,7.4,7.45,22253.0
2019-10-24,7.45,7.6,7.45,7.5,15707.0
2019-10-25,7.6,7.8,7.5,7.7,7833.0
2019-10-28,7.75,7.75,7.35,7.45,16939.0
2019-10-29,7.4,7.4,7.05,7.15,42180.0
2019-10-30,7.05,7.15,6.75,7.1,58876.0
2019-10-31,7.0,7.05,6.7,6.8,28386.0
2019-11-01,6.85,7.0,6.7,7.0,13368.0
2019-11-04,6.75,7.65,6.75,7.0,39947.0
2019-11-05,7.1,7.1,6.55,6.7,29693.0
2019-11-06,6.6,6.8,6.5,6.8,21303.0
2019-11-07,6.7,6.9,6.55,6.85,17699.0
2019-11-08,6.7,6.95,6.7,6.85,33076.0
2019-11-11,6.85,7.15,6.85,7.05,43449.0
2019-11-12,7.05,7.15,6.8,6.8,44244.0
2019-11-13,6.8,7.0,6.8,6.95,15708.0
