Date,Open,High,Low,Close,Volume
2015-03-27,19.96,21.29,19.46,20.96,5030166.0
2015-03-30,20.89,21.43,20.3,20.69,482625.0
2015-03-31,20.69,20.89,20.43,20.49,165570.0
2015-04-01,20.36,20.69,20.36,20.56,534213.0
2015-04-02,20.63,20.76,20.56,20.63,40812.0
2015-04-07,20.63,21.09,20.63,20.76,195159.0
2015-04-08,20.56,20.69,20.49,20.63,154389.0
2015-04-09,20.56,20.69,20.43,20.49,61986.0
2015-04-10,20.49,20.76,20.3,20.63,127719.0
2015-04-13,20.49,20.89,20.23,20.49,159501.0
2015-04-14,20.63,20.96,20.63,20.76,83400.0
2015-04-15,20.96,20.96,20.63,20.69,229710.0
2015-04-16,20.83,20.83,20.49,20.49,50205.0
2015-04-17,20.63,20.69,20.3,20.49,95400.0
2015-04-20,20.49,20.49,20.23,20.36,54246.0
2015-04-21,20.3,20.36,20.23,20.36,48138.0
2015-04-22,20.23,20.63,20.23,20.49,38226.0
2015-04-23,20.3,20.56,20.23,20.49,62181.0
2015-04-24,20.49,20.63,20.36,20.56,97197.0
2015-04-27,20.49,20.76,20.36,20.63,78387.0
2015-04-28,20.63,20.76,20.49,20.49,64149.0
2015-04-29,20.63,20.63,20.23,20.3,204837.0
2015-04-30,20.3,20.36,20.23,20.3,16395.0
2015-05-04,20.3,20.69,20.23,20.36,58176.0
2015-05-05,20.76,20.76,20.36,20.36,66567.0
2015-05-06,20.76,21.29,20.23,20.43,242343.0
2015-05-07,20.76,21.29,20.43,21.09,92727.0
2015-05-08,21.83,22.36,21.56,22.16,569097.0
2015-05-11,22.16,23.69,22.09,23.22,377112.0
2015-05-12,23.16,23.29,22.69,23.09,74784.0
2015-05-13,23.29,24.02,23.29,23.69,39012.0
2015-05-15,23.89,23.95,23.69,23.69,30645.0
2015-05-18,23.95,25.02,23.95,24.35,277374.0
2015-05-19,24.69,24.75,24.29,24.75,70473.0
2015-05-20,24.82,24.82,24.35,24.75,19113.0
2015-05-21,24.29,24.69,24.02,24.15,479289.0
2015-05-22,24.15,24.15,23.95,24.09,169392.0
2015-05-25,24.29,24.49,24.02,24.09,74154.0
2015-05-26,24.09,24.22,24.02,24.22,39723.0
2015-05-27,24.22,24.49,24.02,24.35,22347.0
2015-05-28,24.49,24.49,24.22,24.35,38283.0
2015-05-29,24.35,24.35,23.82,24.22,59658.0
2015-06-01,23.76,24.35,23.69,24.35,80499.0
2015-06-02,24.22,24.22,23.69,24.22,57840.0
2015-06-03,23.82,24.09,23.82,23.95,23376.0
2015-06-04,24.09,24.09,23.89,23.89,17226.0
2015-06-05,23.89,23.89,23.36,23.56,34863.0
2015-06-08,23.56,23.95,23.56,23.89,63258.0
2015-06-09,23.95,23.95,23.16,23.42,76167.0
2015-06-10,23.42,23.95,22.76,23.69,17679.0
2015-06-11,23.76,23.95,23.76,23.89,20304.0
2015-06-12,23.69,23.76,23.29,23.56,25350.0
2015-06-15,23.36,23.36,23.02,23.02,39786.0
2015-06-16,22.89,23.16,22.36,23.16,30780.0
2015-06-17,23.42,23.42,22.89,23.09,61617.0
2015-06-18,22.82,24.22,22.29,24.22,29289.0
2015-06-22,23.42,23.95,23.16,23.16,23310.0
2015-06-23,23.56,23.69,23.42,23.56,40707.0
2015-06-24,23.22,23.82,23.22,23.49,17016.0
2015-06-25,23.42,23.49,23.16,23.49,11607.0
2015-06-26,23.49,23.95,23.49,23.76,72315.0
2015-06-29,23.62,23.62,22.62,23.09,23169.0
