Date,Open,High,Low,Close,Volume
2010-01-04,8.46,8.82,8.46,8.82,22253.0
2010-01-07,8.82,9.25,8.82,9.25,375.0
2010-01-08,9.25,9.25,8.96,9.25,11700.0
2010-01-12,9.25,9.25,8.68,9.25,11645.0
2010-01-13,8.53,9.25,8.53,9.25,1666.0
2010-01-14,8.96,8.96,8.96,8.96,1000.0
2010-01-15,8.75,9.04,8.39,8.96,10000.0
2010-01-20,8.68,8.75,8.68,8.75,4009.0
2010-01-21,8.82,8.82,8.82,8.82,500.0
2010-01-22,8.82,8.82,8.25,8.82,5100.0
2010-01-26,9.18,9.18,9.14,9.14,1463.0
2010-01-27,8.86,8.86,8.86,8.86,500.0
2010-01-29,8.61,8.86,8.61,8.86,525.0
2010-02-02,8.61,8.61,8.61,8.61,1200.0
2010-02-03,8.61,8.89,8.61,8.89,2980.0
2010-02-04,8.46,8.79,8.46,8.79,1680.0
2010-02-05,8.39,8.79,8.32,8.79,1150.0
2010-02-08,8.79,8.79,8.79,8.79,300.0
2010-02-09,9.18,9.18,9.18,9.18,100.0
2010-02-10,8.61,9.11,8.61,9.11,1020.0
2010-02-11,9.11,9.11,9.11,9.11,100.0
2010-02-15,7.96,8.96,7.96,8.96,300.0
2010-02-18,8.96,9.0,7.96,9.0,4500.0
2010-02-19,8.61,9.0,8.61,9.0,1050.0
2010-02-22,9.0,9.0,9.0,9.0,200.0
2010-02-23,9.11,9.11,8.89,8.89,2150.0
2010-02-24,9.11,9.18,9.11,9.18,2600.0
2010-02-25,8.96,8.96,8.96,8.96,5000.0
2010-02-26,8.96,9.54,8.96,9.54,9200.0
2010-03-01,9.4,9.54,9.04,9.54,8950.0
2010-03-02,9.54,9.68,9.54,9.68,3421.0
2010-03-04,9.04,9.68,9.04,9.68,170.0
2010-03-05,9.68,9.68,9.68,9.68,120.0
2010-03-08,9.68,9.68,9.68,9.68,400.0
2010-03-09,9.32,9.68,9.22,9.68,550.0
2010-03-12,9.25,9.68,9.25,9.68,290.0
2010-03-16,9.68,9.68,9.68,9.68,1027.0
2010-03-17,9.65,9.65,9.65,9.65,1500.0
2010-03-19,9.61,9.65,9.36,9.61,1300.0
2010-03-22,9.4,9.68,9.4,9.68,7500.0
2010-03-23,9.68,9.68,9.61,9.61,3100.0
2010-03-24,9.61,9.79,9.61,9.79,2958.0
2010-03-25,9.83,9.9,9.68,9.86,9250.0
2010-03-26,9.86,10.18,9.5,10.18,9326.0
2010-03-29,10.97,11.4,10.54,10.9,69471.0
2010-03-30,11.19,11.19,10.76,11.12,19972.0
2010-03-31,10.83,10.83,10.76,10.76,5700.0
2010-04-01,10.83,11.04,10.83,11.04,1535.0
2010-04-06,11.04,11.12,10.76,11.12,8283.0
2010-04-07,11.26,11.26,11.19,11.19,1600.0
2010-04-08,11.12,11.26,11.12,11.26,750.0
2010-04-09,11.26,11.26,10.9,11.19,5025.0
2010-04-12,11.12,11.12,11.12,11.12,500.0
2010-04-13,10.9,11.26,10.33,11.26,800.0
2010-04-14,10.36,11.12,10.36,11.12,350.0
2010-04-15,10.4,11.04,10.4,11.04,2802.0
2010-04-16,10.36,10.72,10.36,10.72,2700.0
2010-04-19,10.18,10.18,9.57,9.97,10491.0
2010-04-20,9.72,9.83,8.75,9.79,7781.0
2010-04-21,9.93,9.97,9.54,9.93,1800.0
2010-04-22,9.68,9.68,9.61,9.61,1572.0
2010-04-23,8.5,10.72,8.5,10.72,4628.0
2010-05-05,10.04,10.36,9.79,10.36,10300.0
2010-05-06,10.36,10.36,9.83,10.26,1145.0
2010-05-07,9.25,9.68,9.25,9.68,3200.0
2010-05-10,9.22,9.68,9.22,9.61,210.0
2010-05-11,9.32,9.75,9.32,9.75,718.0
2010-05-12,9.83,10.04,9.83,10.04,1318.0
2010-05-14,9.97,9.97,9.25,9.97,148.0
2010-05-19,9.22,9.22,8.5,8.89,3000.0
2010-05-20,9.18,9.18,9.18,9.18,10.0
2010-05-21,8.61,8.61,8.61,8.61,2000.0
2010-05-24,8.89,8.89,8.89,8.89,990.0
2010-05-25,8.89,9.07,8.89,9.07,1160.0
2010-05-26,8.68,9.61,8.68,9.61,2950.0
