Date,Open,High,Low,Close,Volume
2014-12-18,49.0,49.0,42.7,44.5,58755.0
2014-12-19,44.6,45.9,44.6,45.0,20354.0
2014-12-22,45.9,45.9,45.0,45.0,7352.0
2014-12-23,45.1,45.1,42.0,42.7,11538.0
2014-12-29,43.9,44.2,43.0,43.0,8757.0
2014-12-30,43.0,43.5,42.7,43.0,3237.0
2015-01-02,43.1,43.1,41.9,42.0,9488.0
2015-01-05,42.0,43.0,42.0,42.0,3569.0
2015-01-07,42.0,42.8,42.0,42.0,5750.0
2015-01-08,42.0,42.8,42.0,42.8,3650.0
2015-01-09,42.2,42.7,42.0,42.1,4700.0
2015-01-12,42.5,42.5,42.0,42.0,4450.0
2015-01-13,42.0,42.5,42.0,42.0,4203.0
2015-01-14,42.0,42.2,42.0,42.2,1612.0
2015-01-15,42.0,42.0,42.0,42.0,2500.0
2015-01-16,42.0,42.5,42.0,42.0,6303.0
2015-01-19,42.1,42.8,42.1,42.7,8600.0
2015-01-20,42.7,42.7,42.1,42.1,1615.0
2015-01-21,42.0,42.1,42.0,42.1,1420.0
2015-01-22,42.0,42.1,41.9,42.1,4650.0
2015-01-23,41.9,42.4,39.9,42.4,9079.0
2015-01-26,42.4,42.6,42.1,42.1,1830.0
2015-01-27,42.0,42.0,42.0,42.0,4600.0
2015-01-28,42.0,42.2,42.0,42.2,3525.0
2015-01-29,42.2,42.4,42.2,42.2,1450.0
2015-01-30,42.0,42.1,42.0,42.0,5105.0
2015-02-02,42.0,42.0,41.6,42.0,4485.0
2015-02-03,42.0,42.0,42.0,42.0,3600.0
2015-02-04,42.0,42.0,42.0,42.0,1123.0
2015-02-05,42.0,42.1,41.2,42.0,3092.0
2015-02-06,42.0,42.2,42.0,42.0,2660.0
2015-02-09,42.0,42.0,41.3,41.3,3671.0
2015-02-10,41.0,42.2,41.0,42.0,5000.0
2015-02-11,41.4,42.0,41.4,42.0,1348.0
2015-02-12,42.0,42.0,40.6,40.9,6234.0
2015-02-13,40.6,41.0,40.3,40.5,2567.0
2015-02-16,39.7,42.5,37.9,40.5,12865.0
2015-02-17,40.5,40.6,39.2,39.2,3253.0
2015-02-18,39.0,39.6,38.9,39.5,2011.0
2015-02-19,39.7,40.0,39.7,40.0,1241.0
2015-02-20,37.6,37.6,34.2,36.0,13090.0
2015-02-23,37.5,39.5,36.5,36.5,3410.0
2015-02-24,36.5,36.8,35.5,36.8,5911.0
