Date,Open,High,Low,Close,Volume
2019-05-28,17.1,18.5,16.3,16.9,289296.0
2019-05-29,17.2,17.2,15.5,16.05,77064.0
2019-05-31,16.15,16.65,15.3,15.3,70650.0
2019-06-03,16.8,16.8,15.2,15.75,23787.0
2019-06-04,15.65,15.65,15.0,15.25,51702.0
2019-06-05,15.5,15.7,15.3,15.3,27796.0
2019-06-07,15.4,15.85,15.1,15.35,15226.0
2019-06-11,16.6,17.1,16.0,16.0,30008.0
2019-06-12,16.95,16.95,15.9,15.9,21302.0
2019-06-13,16.75,16.75,15.7,16.75,8554.0
2019-06-14,16.75,16.75,16.65,16.65,2846.0
2019-06-18,16.0,16.95,16.0,16.65,1884.0
2019-06-19,16.9,17.1,15.8,17.1,10807.0
2019-06-20,17.2,17.2,16.0,16.6,7595.0
2019-06-24,16.6,17.05,16.1,16.45,5557.0
2019-06-25,16.5,16.5,15.5,16.35,19008.0
2019-06-26,16.75,16.75,16.0,16.65,11164.0
2019-06-27,16.1,16.75,15.5,16.5,54294.0
2019-06-28,16.75,17.0,16.05,16.5,11796.0
2019-07-01,16.5,17.1,16.5,17.0,4970.0
2019-07-02,17.25,17.25,17.0,17.0,7363.0
2019-07-03,17.3,17.3,17.0,17.0,5319.0
2019-07-04,17.25,17.3,17.0,17.0,10694.0
2019-07-05,17.3,17.4,17.0,17.3,4551.0
2019-07-08,17.4,17.8,17.3,17.6,10272.0
2019-07-09,17.65,17.65,17.35,17.6,6035.0
2019-07-10,17.6,17.7,17.35,17.7,17397.0
2019-07-11,17.7,17.75,17.7,17.75,2789.0
2019-07-12,18.0,20.0,18.0,18.25,13143.0
2019-07-15,18.55,20.2,18.55,19.85,27306.0
2019-07-16,20.0,24.9,19.85,22.2,23384.0
2019-07-17,23.0,23.0,21.9,22.0,17121.0
2019-07-18,22.5,22.5,21.0,22.4,9040.0
2019-07-19,22.4,24.8,22.4,23.8,28869.0
2019-07-22,24.0,24.0,23.5,23.8,16022.0
2019-07-23,24.0,24.0,22.1,22.1,17710.0
2019-07-24,22.1,23.7,22.1,23.1,48895.0
2019-07-25,23.1,23.4,23.0,23.4,9793.0
2019-07-26,24.0,24.3,23.5,24.2,21164.0
2019-07-29,26.0,28.9,25.0,26.9,20172.0
2019-07-30,27.0,28.4,25.1,27.8,13045.0
2019-07-31,28.4,37.0,28.4,30.7,88815.0
2019-08-01,31.0,32.9,30.8,30.8,62989.0
2019-08-02,30.9,30.9,29.9,30.2,10335.0
2019-08-06,26.3,29.9,26.3,27.4,10456.0
2019-08-07,27.4,29.9,26.6,26.6,11396.0
2019-08-08,26.6,30.0,26.6,29.7,14506.0
2019-08-09,29.8,29.8,27.5,28.6,7024.0
2019-08-12,28.6,28.6,26.0,26.9,17081.0
2019-08-13,26.0,26.0,24.5,24.9,22523.0
2019-08-14,24.6,25.9,24.6,25.7,6383.0
2019-08-15,25.7,25.9,25.0,25.7,5551.0
2019-08-16,25.9,25.9,24.4,24.4,7400.0
2019-08-19,24.6,26.5,24.4,26.0,17215.0
2019-08-20,26.4,28.2,26.4,27.9,33053.0
2019-08-21,28.0,28.4,27.4,27.4,1738.0
2019-08-22,27.6,28.6,26.0,26.0,2495.0
2019-08-23,27.9,28.0,24.0,26.1,24574.0
2019-08-26,26.7,27.5,26.2,27.4,4270.0
2019-08-27,28.4,28.4,28.0,28.0,4381.0
2019-08-28,28.2,28.5,25.9,27.0,6157.0
2019-08-29,26.9,26.9,24.5,26.1,11751.0
2019-08-30,25.1,26.4,25.1,25.9,3320.0
2019-09-02,27.9,27.9,26.0,26.1,2156.0
2019-09-03,26.0,27.0,25.0,25.5,2924.0
2019-09-04,25.5,25.5,23.0,24.6,9225.0
2019-09-05,25.0,25.0,23.3,24.7,5765.0
2019-09-06,25.0,25.9,25.0,25.0,4744.0
2019-09-09,25.5,25.9,24.9,25.9,8174.0
2019-09-10,25.8,25.8,22.0,25.0,2846.0
2019-09-11,25.9,26.0,25.2,25.5,6427.0
2019-09-12,25.5,27.0,23.9,26.4,15301.0
2019-09-13,26.4,26.4,24.8,25.5,16913.0
2019-09-16,23.1,25.3,23.0,24.1,26495.0
2019-09-17,24.1,24.4,23.0,23.5,4367.0
2019-09-18,23.5,23.9,23.5,23.5,1113.0
2019-09-19,23.2,23.2,20.0,22.3,29575.0
2019-09-20,21.6,22.3,21.6,21.7,8592.0
2019-09-23,20.5,21.4,20.3,21.2,28587.0
2019-09-24,21.2,22.7,21.1,22.4,4243.0
2019-09-25,23.8,25.5,22.5,22.6,2212.0
2019-09-26,24.0,24.9,24.0,24.0,2588.0
2019-09-27,23.3,24.1,23.3,24.1,845.0
2019-09-30,23.4,24.0,23.1,23.9,3015.0
2019-10-01,24.0,24.5,23.6,23.8,2503.0
2019-10-02,23.8,23.9,23.0,23.9,3807.0
2019-10-03,23.5,23.5,23.0,23.4,3843.0
2019-10-04,23.4,23.8,23.4,23.8,3519.0
2019-10-07,23.8,24.8,22.0,22.5,828.0
2019-10-08,22.1,22.2,21.6,22.0,2696.0
2019-10-09,22.5,22.5,21.6,22.0,2261.0
2019-10-10,22.1,23.3,21.7,21.8,1401.0
2019-10-11,22.0,22.2,21.7,22.2,6208.0
2019-10-14,22.3,22.4,22.2,22.4,1069.0
2019-10-15,23.0,23.5,21.6,23.0,1782.0
2019-10-16,22.0,22.8,22.0,22.8,709.0
2019-10-17,23.5,23.5,22.9,22.9,216.0
2019-10-18,23.4,23.4,22.6,23.0,4244.0
2019-10-21,23.4,23.4,22.0,22.8,8030.0
2019-10-22,23.2,23.2,22.9,22.9,130.0
2019-10-23,23.0,23.4,23.0,23.1,1664.0
2019-10-24,23.1,23.1,22.3,22.9,1430.0
2019-10-25,22.9,23.0,22.9,22.9,89.0
2019-10-28,23.0,23.0,21.8,23.0,3268.0
2019-10-29,23.0,23.0,22.1,22.5,3200.0
2019-10-30,22.1,22.4,22.0,22.4,1939.0
2019-10-31,22.2,22.2,21.6,21.6,4465.0
2019-11-01,21.0,22.2,20.4,20.6,3379.0
2019-11-04,21.6,22.2,20.6,21.4,5231.0
2019-11-05,21.4,22.4,21.4,22.2,2566.0
2019-11-06,21.2,22.8,21.2,22.0,6502.0
2019-11-07,21.8,21.8,21.4,21.8,6685.0
2019-11-08,22.0,22.0,21.6,21.6,3547.0
2019-11-11,21.8,21.8,20.4,20.6,4944.0
2019-11-12,21.2,22.0,21.2,21.2,10062.0
2019-11-13,21.2,22.0,21.0,21.6,4533.0
2019-11-14,22.4,22.4,22.0,22.0,1739.0
2019-11-15,21.8,22.8,21.8,22.2,1914.0
2019-11-18,22.2,22.2,21.2,21.6,3630.0
2019-11-19,21.8,22.0,21.0,21.4,2258.0
2019-11-20,21.6,21.6,21.0,21.2,1314.0
2019-11-21,21.2,21.8,21.2,21.8,1198.0
2019-11-22,21.8,21.8,20.8,21.6,863.0
2019-11-25,21.6,21.8,21.0,21.6,5058.0
2019-11-26,21.6,21.8,21.2,21.2,431.0
2019-11-27,21.0,21.8,19.2,21.6,841.0
2019-11-28,21.6,21.8,21.6,21.6,1530.0
2019-11-29,23.0,23.0,21.4,21.4,2982.0
2019-12-02,21.4,21.4,20.4,20.8,4934.0
2019-12-03,20.8,22.8,20.8,22.4,1106.0
