Date,Open,High,Low,Close,Volume
2015-12-10,7.33,7.33,4.76,5.2,1097207.0
2015-12-11,5.42,5.64,4.87,5.28,294727.0
2015-12-14,5.38,6.81,5.35,6.45,353615.0
2015-12-15,6.48,6.48,5.86,6.12,121109.0
2015-12-16,5.86,5.86,5.13,5.2,271969.0
2015-12-17,5.24,5.53,5.06,5.38,116697.0
2015-12-18,5.13,5.38,5.09,5.09,44383.0
2015-12-21,5.09,5.28,4.62,4.73,179991.0
2015-12-22,4.58,5.6,4.58,5.31,191983.0
2015-12-23,5.38,5.64,4.91,5.17,103679.0
2015-12-28,5.2,5.2,4.62,4.95,35654.0
2015-12-29,5.31,5.31,4.91,4.95,48448.0
2015-12-30,5.42,5.42,4.76,5.38,104794.0
2016-01-05,5.42,5.42,4.76,5.09,28123.0
2016-01-07,4.8,5.09,4.69,4.95,88064.0
2016-01-08,5.09,5.42,4.98,5.2,50799.0
2016-01-11,5.2,5.49,4.8,4.84,106425.0
2016-01-12,4.95,5.09,4.76,4.91,50107.0
2016-01-13,4.98,5.06,4.84,4.84,95416.0
2016-01-14,4.84,5.06,4.69,4.73,39726.0
2016-01-15,4.73,4.8,4.69,4.73,29946.0
2016-01-18,4.54,4.65,4.47,4.65,41910.0
2016-01-19,5.09,5.09,4.65,4.65,9052.0
2016-01-20,4.54,4.62,4.54,4.62,16726.0
2016-01-21,4.54,4.84,4.51,4.62,31460.0
2016-01-22,4.62,4.87,4.62,4.84,13103.0
2016-01-25,4.69,4.98,4.47,4.98,11041.0
2016-01-26,4.98,4.98,4.98,4.98,0.0
2016-01-27,4.51,5.09,4.4,4.91,22608.0
2016-01-28,4.73,4.76,4.69,4.69,11976.0
2016-01-29,4.69,4.91,4.58,4.91,8675.0
2016-02-01,4.98,4.98,4.73,4.95,10427.0
2016-02-02,4.76,4.8,4.58,4.69,23199.0
2016-02-03,4.62,4.73,4.36,4.73,33825.0
2016-02-04,4.43,4.58,4.4,4.47,6179.0
2016-02-05,4.47,5.02,4.4,5.02,161280.0
2016-02-08,4.95,4.95,4.4,4.76,18990.0
2016-02-09,4.4,4.62,4.4,4.62,45292.0
2016-02-10,4.54,4.54,4.29,4.54,31595.0
2016-02-11,4.54,4.54,4.4,4.4,1344.0
2016-02-12,4.51,4.8,4.51,4.69,8644.0
2016-02-15,4.43,4.8,4.43,4.62,6026.0
2016-02-16,4.62,4.73,4.51,4.73,5858.0
2016-02-17,4.62,4.76,4.58,4.76,7211.0
2016-02-18,4.54,4.8,4.54,4.54,31192.0
2016-02-19,4.54,4.62,4.54,4.62,5176.0
2016-02-22,4.62,4.62,4.43,4.43,13573.0
2016-02-23,4.43,4.58,4.43,4.58,8884.0
2016-02-24,4.54,4.54,4.43,4.47,4306.0
2016-02-25,4.47,4.58,4.18,4.47,28397.0
2016-02-26,4.36,4.65,4.36,4.65,23168.0
2016-02-29,4.32,4.76,4.32,4.76,44590.0
2016-03-01,4.51,4.65,4.51,4.58,27178.0
2016-03-02,4.32,4.62,4.32,4.47,18425.0
2016-03-03,4.47,4.58,4.4,4.51,6668.0
2016-03-04,4.47,4.51,4.47,4.47,1662.0
2016-03-07,4.47,4.58,4.32,4.58,4424.0
2016-03-08,4.54,4.76,4.54,4.76,10100.0
2016-03-09,4.43,4.76,4.4,4.65,22970.0
2016-03-10,4.4,5.35,4.4,5.13,67091.0
2016-03-11,5.02,5.31,4.91,4.98,52215.0
2016-03-14,4.98,5.09,4.73,5.02,40371.0
2016-03-15,4.62,5.24,4.62,5.09,20198.0
2016-03-16,5.13,5.13,4.91,4.91,7575.0
2016-03-17,4.8,4.98,4.69,4.98,5460.0
