Date,Open,High,Low,Close,Volume
2018-03-14,78.68,78.88,78.1,78.68,6589.0
2018-03-15,79.27,79.27,78.1,78.49,6763.0
2018-03-16,78.49,79.07,77.9,78.88,2241.0
2018-03-19,78.49,78.49,76.73,77.9,26586.0
2018-03-20,77.9,79.46,77.9,79.07,4962.0
2018-03-21,79.07,79.07,78.1,79.07,433.0
2018-03-22,77.9,77.9,77.12,77.9,5082.0
2018-03-23,77.71,78.49,76.73,77.71,4420.0
2018-03-26,77.71,78.88,77.51,78.68,3277.0
2018-03-27,78.68,79.46,77.9,79.46,6048.0
2018-03-28,79.46,80.05,79.07,80.05,6650.0
2018-03-29,80.24,81.6,80.24,81.41,4519.0
2018-04-03,81.41,81.41,78.68,79.07,5337.0
2018-04-04,80.43,81.21,78.88,78.88,8714.0
2018-04-05,78.88,79.85,77.51,77.71,15744.0
2018-04-06,77.9,78.29,77.71,77.9,5725.0
2018-04-09,77.32,77.32,75.18,77.32,15005.0
2018-04-10,77.32,77.9,76.73,77.9,41618.0
2018-04-11,77.71,77.9,75.96,75.96,3414.0
2018-04-12,75.96,77.9,75.96,76.93,36300.0
2018-04-13,78.88,78.88,75.96,76.73,5539.0
2018-04-16,76.15,76.34,75.96,75.96,27795.0
2018-04-17,75.96,77.51,75.57,76.54,23803.0
2018-04-18,76.93,77.32,75.37,76.73,5530.0
2018-04-19,76.73,76.73,75.18,75.76,12982.0
2018-04-20,75.96,77.9,75.96,77.71,5383.0
2018-04-23,77.71,79.07,76.54,78.49,16358.0
2018-04-24,77.99,78.78,77.01,77.99,4534.0
2018-04-25,77.99,78.78,77.4,78.59,57759.0
2018-04-26,78.39,78.78,77.99,78.78,4319.0
2018-04-27,78.98,78.98,77.99,78.59,7011.0
2018-04-30,78.78,80.96,78.59,80.96,13558.0
2018-05-02,79.57,80.76,78.98,80.17,10739.0
2018-05-03,80.17,80.17,79.18,79.57,4985.0
2018-05-04,79.77,80.76,79.77,80.56,9726.0
2018-05-07,80.56,80.56,79.57,79.77,10330.0
2018-05-08,79.77,80.56,78.59,79.97,4158.0
2018-05-09,80.17,80.17,79.57,80.17,1117.0
2018-05-11,78.98,79.57,78.59,78.59,10127.0
2018-05-14,78.98,80.56,78.19,78.59,18480.0
2018-05-15,78.59,78.59,76.61,78.39,21806.0
2018-05-16,78.39,78.39,75.43,77.4,20766.0
2018-05-17,77.6,78.39,77.01,78.39,4984.0
2018-05-18,77.99,78.39,77.2,77.4,6370.0
2018-05-21,77.2,78.19,76.61,77.99,5852.0
2018-05-22,77.99,78.59,77.8,77.99,8368.0
2018-05-23,77.99,77.99,76.22,77.01,13645.0
2018-05-24,77.01,78.59,76.61,76.61,3319.0
2018-05-25,77.2,77.99,76.41,77.01,2467.0
2018-05-28,77.01,77.01,75.43,75.43,8576.0
2018-05-29,75.62,76.02,75.23,75.62,3166.0
2018-05-30,75.03,76.41,74.44,76.22,13557.0
2018-05-31,76.22,77.01,75.03,77.01,36292.0
2018-06-01,75.62,77.4,75.62,77.01,15283.0
2018-06-04,77.01,77.4,75.43,77.01,12581.0
2018-06-05,77.01,78.19,76.02,78.19,7385.0
2018-06-06,78.19,78.19,78.19,78.19,0.0
2018-06-07,76.81,78.78,76.81,78.78,16650.0
2018-06-08,78.78,80.76,78.78,80.17,59313.0
2018-06-11,80.17,80.96,79.97,80.96,17842.0
2018-06-12,80.96,80.96,78.98,80.56,14846.0
2018-06-13,80.76,80.76,78.78,78.98,32059.0
2018-06-14,78.98,80.96,78.98,79.18,249885.0
2018-06-15,79.18,81.94,79.18,81.35,38596.0
2018-06-18,81.94,83.92,81.55,83.92,33289.0
2018-06-19,83.32,83.52,82.93,83.52,7875.0
2018-06-20,83.52,86.09,83.52,85.89,18353.0
2018-06-21,85.89,86.68,85.69,86.29,14781.0
2018-06-22,86.29,86.29,86.29,86.29,0.0
2018-06-25,86.29,86.29,84.31,86.09,8123.0
2018-06-26,85.3,85.5,83.13,84.31,8771.0
2018-06-27,84.31,85.5,82.93,85.5,10784.0
2018-06-28,85.69,85.69,83.92,85.5,10539.0
2018-06-29,85.5,85.5,84.11,84.71,6888.0
2018-07-02,84.71,85.5,83.13,85.3,2221.0
2018-07-03,85.3,85.5,84.11,85.1,5141.0
2018-07-04,85.3,85.3,84.11,84.71,1884.0
2018-07-05,84.11,84.71,82.34,83.92,5267.0
2018-07-06,84.11,85.1,83.13,84.11,3027.0
2018-07-09,84.9,84.9,81.94,82.93,10589.0
2018-07-10,82.93,83.92,82.14,83.32,4862.0
2018-07-11,83.13,85.1,83.13,85.1,15866.0
2018-07-12,85.89,85.89,81.35,82.54,39213.0
2018-07-13,81.94,81.94,81.15,81.94,8108.0
2018-07-16,81.75,81.94,80.96,80.96,6519.0
2018-07-17,80.96,82.14,80.96,82.14,18143.0
2018-07-18,82.14,82.54,80.56,80.96,5229.0
2018-07-19,81.35,81.55,80.17,80.36,13866.0
2018-07-20,80.17,81.35,79.97,80.56,6815.0
2018-07-23,79.97,80.36,78.19,79.18,10209.0
2018-07-24,79.18,79.97,77.99,79.18,20915.0
2018-07-25,79.97,80.56,78.98,78.98,6024.0
2018-07-26,78.98,79.97,78.59,79.77,4183.0
2018-07-27,79.77,80.56,78.59,80.17,12926.0
2018-07-30,80.17,80.56,79.57,79.57,1704.0
2018-07-31,79.57,80.36,78.98,80.17,19639.0
2018-08-01,78.98,80.36,78.59,80.36,31425.0
2018-08-02,80.36,80.76,79.97,80.76,7905.0
2018-08-03,80.96,81.75,80.96,81.35,10953.0
2018-08-06,81.94,82.93,81.94,82.73,8450.0
2018-08-07,82.73,82.73,81.15,82.54,6646.0
2018-08-08,82.34,82.93,80.96,81.15,9293.0
2018-08-09,80.96,82.54,80.76,81.35,7899.0
2018-08-10,81.55,82.54,80.96,81.94,6946.0
2018-08-13,81.94,81.94,80.36,80.96,7520.0
2018-08-14,80.96,81.75,79.97,81.55,9844.0
2018-08-15,81.55,81.75,80.36,81.75,10412.0
2018-08-16,81.75,81.75,81.15,81.35,2619.0
2018-08-17,81.55,81.55,80.76,81.35,3014.0
2018-08-20,81.35,82.34,80.76,82.34,8179.0
2018-08-21,82.34,82.34,81.15,81.55,1567.0
2018-08-22,81.55,82.93,81.55,81.55,1950.0
2018-08-23,81.55,82.73,80.76,81.55,8697.0
2018-08-24,81.55,82.73,80.76,82.14,8321.0
2018-08-27,81.94,82.14,81.55,81.94,4666.0
2018-08-28,81.94,82.73,80.96,81.94,5851.0
2018-08-29,81.55,82.54,81.15,82.54,4001.0
2018-08-30,82.54,82.54,81.55,81.75,4793.0
2018-08-31,81.55,82.93,80.96,81.94,16020.0
2018-09-03,81.94,82.34,80.96,81.94,5141.0
2018-09-04,81.94,81.94,80.96,81.55,3739.0
2018-09-05,81.15,81.75,80.96,80.96,4961.0
2018-09-06,80.96,81.55,80.96,80.96,14014.0
2018-09-07,81.35,81.35,80.96,80.96,2952.0
2018-09-10,80.96,81.75,80.96,80.96,5795.0
2018-09-11,80.76,81.75,80.56,81.75,9126.0
2018-09-12,81.75,81.75,80.17,80.96,2943.0
2018-09-13,79.97,81.35,79.18,81.35,74835.0
