Date,Open,High,Low,Close,Volume
2010-01-04,2.75,2.83,2.75,2.77,199810.0
2010-01-05,2.79,2.79,2.73,2.77,262904.0
2010-01-07,2.76,2.76,2.74,2.74,229777.0
2010-01-08,2.74,2.77,2.73,2.75,286208.0
2010-01-11,2.79,2.9,2.75,2.85,484292.0
2010-01-12,2.87,2.88,2.77,2.77,119183.0
2010-01-13,2.8,2.87,2.76,2.8,205759.0
2010-01-14,2.8,2.87,2.8,2.81,249935.0
2010-01-15,2.81,2.81,2.69,2.69,291056.0
2010-01-18,2.73,2.73,2.63,2.67,134984.0
2010-01-19,2.65,2.71,2.62,2.71,164095.0
2010-01-20,2.71,2.72,2.62,2.62,184165.0
2010-01-21,2.62,2.67,2.59,2.61,504421.0
2010-01-22,2.59,2.66,2.59,2.61,100890.0
2010-01-25,2.59,2.65,2.59,2.63,75965.0
2010-01-26,2.65,2.65,2.63,2.63,70009.0
2010-01-27,2.64,2.8,2.6,2.72,175398.0
2010-01-28,2.73,2.73,2.62,2.69,195110.0
2010-01-29,2.73,2.78,2.7,2.76,87654.0
2010-02-01,2.76,2.8,2.69,2.8,160608.0
2010-02-02,2.79,2.98,2.7,2.95,491788.0
2010-02-03,3.0,3.1,2.95,3.0,616049.0
2010-02-04,3.0,3.04,2.98,2.98,328778.0
2010-02-05,2.95,2.96,2.91,2.94,178647.0
2010-02-08,2.94,2.97,2.88,2.88,142464.0
2010-02-09,2.88,3.06,2.88,2.99,289561.0
2010-02-10,2.98,3.02,2.8,2.91,391202.0
2010-02-11,2.91,2.95,2.83,2.92,136508.0
2010-02-12,2.9,2.95,2.7,2.83,187191.0
2010-02-15,2.86,2.86,2.79,2.83,110981.0
2010-02-16,2.9,2.92,2.83,2.91,65101.0
2010-02-17,2.91,2.94,2.89,2.91,123243.0
2010-02-18,2.95,2.98,2.93,2.98,190560.0
2010-02-19,2.98,3.01,2.93,2.98,68700.0
2010-02-22,2.98,2.99,2.96,2.96,48110.0
2010-02-23,2.98,2.98,2.96,2.96,86294.0
2010-02-24,2.95,2.98,2.93,2.96,84702.0
2010-02-25,2.96,2.98,2.9,2.95,61934.0
2010-02-26,2.95,2.97,2.91,2.97,101872.0
2010-03-01,2.97,3.01,2.9,2.98,99834.0
2010-03-02,2.98,2.98,2.95,2.98,157433.0
2010-03-03,2.98,3.01,2.91,2.98,100109.0
2010-03-04,2.98,2.98,2.91,2.97,65005.0
2010-03-05,3.01,3.02,2.88,2.97,295963.0
2010-03-08,2.95,2.97,2.91,2.95,102660.0
2010-03-09,2.92,2.95,2.91,2.94,101783.0
2010-03-10,2.92,2.92,2.79,2.88,566340.0
2010-03-11,2.77,2.88,2.72,2.88,513984.0
2010-03-12,2.83,2.87,2.76,2.83,376985.0
2010-03-15,2.79,2.86,2.76,2.86,311438.0
2010-03-16,2.83,2.86,2.8,2.86,39284.0
2010-03-17,2.83,2.91,2.83,2.9,157671.0
2010-03-18,2.87,2.95,2.86,2.95,225791.0
2010-03-19,2.91,2.94,2.91,2.93,37462.0
2010-03-22,2.95,2.95,2.87,2.94,69057.0
2010-03-23,2.94,2.94,2.83,2.91,117472.0
2010-03-24,2.84,2.9,2.83,2.89,134218.0
2010-03-25,2.84,2.91,2.84,2.91,283821.0
2010-03-26,2.84,2.91,2.84,2.91,107865.0
2010-03-29,3.04,3.09,2.95,2.96,2265940.0
2010-03-30,2.96,3.21,2.95,3.13,1191959.0
2010-03-31,3.16,3.22,3.15,3.18,538649.0
2010-04-01,3.18,3.22,3.18,3.18,214845.0
2010-04-06,3.18,3.18,2.99,3.1,314167.0
2010-04-07,3.12,3.17,3.07,3.17,212414.0
2010-04-08,3.18,3.18,3.09,3.14,79661.0
2010-04-09,3.13,3.14,3.08,3.14,138843.0
2010-04-12,3.14,3.14,3.06,3.1,181309.0
2010-04-13,3.13,3.13,3.03,3.09,110133.0
2010-04-14,3.03,3.14,3.03,3.13,128418.0
2010-04-15,3.13,3.13,3.12,3.13,60692.0
2010-04-16,3.1,3.14,3.06,3.13,105002.0
2010-04-19,3.05,3.1,3.04,3.1,70537.0
2010-04-20,3.1,3.14,3.04,3.08,210904.0
2010-04-21,3.12,3.13,3.04,3.04,93692.0
2010-04-22,3.04,3.13,3.04,3.06,77705.0
2010-04-23,3.1,3.12,3.05,3.11,131489.0
2010-04-26,3.13,3.14,3.07,3.14,273656.0
2010-04-27,3.48,3.48,3.38,3.42,168349.0
2010-04-28,3.42,3.49,3.34,3.42,101991.0
2010-04-29,3.42,3.46,3.41,3.44,117197.0
