Date,Open,High,Low,Close,Volume
2015-11-12,22.61,24.49,21.13,21.63,236204.0
2015-11-13,20.93,21.63,19.95,20.34,78149.0
2015-11-17,19.26,20.64,19.16,19.85,43420.0
2015-11-18,20.05,20.05,19.55,19.65,15715.0
2015-11-19,19.65,19.65,18.96,19.26,48680.0
2015-11-20,19.16,19.45,18.96,19.26,23466.0
2015-11-24,18.56,18.56,17.87,17.97,22041.0
2015-11-25,17.77,18.96,17.77,18.96,28043.0
2015-11-26,18.96,19.16,18.07,19.06,31560.0
2015-11-27,19.16,19.45,19.16,19.35,8036.0
2015-12-01,18.76,18.86,18.47,18.76,22176.0
2015-12-02,18.47,19.06,18.47,18.86,12284.0
2015-12-03,18.96,19.06,18.66,19.06,12708.0
2015-12-04,19.06,19.06,18.47,18.66,10390.0
2015-12-08,17.87,17.87,16.98,17.38,22201.0
2015-12-09,17.28,17.28,16.59,16.79,24851.0
2015-12-10,16.59,16.59,16.1,16.29,5884.0
2015-12-11,16.1,16.1,13.92,14.81,54420.0
2015-12-15,13.82,14.71,13.63,14.61,20030.0
2015-12-16,14.61,16.19,14.07,15.8,16279.0
2015-12-17,15.8,15.8,14.52,14.81,11666.0
2015-12-18,14.81,14.81,14.22,14.61,6592.0
2015-12-22,14.02,15.11,13.82,14.52,18590.0
2015-12-23,14.17,15.01,13.92,15.01,12575.0
2015-12-29,14.02,14.22,13.68,13.92,24228.0
2015-12-30,13.87,14.02,13.73,13.87,26652.0
2016-01-05,13.53,14.32,13.53,14.32,2394.0
2016-01-08,13.68,14.52,13.33,13.87,2668.0
2016-01-11,13.43,14.07,13.38,14.07,3899.0
2016-01-12,13.92,13.92,13.23,13.78,3811.0
2016-01-13,13.23,13.78,12.84,12.89,12702.0
2016-01-14,12.05,12.89,11.85,12.49,8858.0
2016-01-15,12.1,12.2,12.05,12.15,5720.0
2016-01-18,11.9,11.95,11.45,11.6,6798.0
2016-01-19,11.95,12.74,11.9,12.74,5340.0
2016-01-20,12.05,12.59,11.5,11.75,3008.0
2016-01-21,11.75,11.85,11.45,11.85,2727.0
2016-01-22,11.85,11.85,11.41,11.85,4138.0
2016-01-25,11.5,12.54,11.5,12.49,3726.0
2016-01-26,12.54,12.54,11.6,12.1,3364.0
2016-01-27,12.1,12.59,12.05,12.29,891.0
2016-01-28,11.6,12.44,11.6,12.44,562.0
2016-01-29,12.44,12.44,12.0,12.34,911.0
2016-02-01,12.05,12.24,12.05,12.2,997.0
2016-02-02,11.55,11.7,11.45,11.7,2455.0
2016-02-03,11.75,11.85,11.65,11.85,4874.0
2016-02-04,11.85,12.05,11.85,12.05,1582.0
2016-02-05,12.24,13.03,12.2,13.03,9833.0
2016-02-08,13.23,14.27,12.84,13.03,2580.0
2016-02-09,12.84,12.84,11.85,11.85,1642.0
2016-02-10,12.74,12.74,12.69,12.69,205.0
2016-02-11,12.34,12.34,10.76,12.15,13995.0
2016-02-12,12.05,12.15,12.05,12.15,5146.0
2016-02-15,12.15,12.84,12.15,12.84,3620.0
2016-02-16,12.94,13.63,12.94,13.08,2365.0
2016-02-17,13.58,13.63,13.58,13.58,5383.0
2016-02-18,13.63,13.63,12.84,13.58,4250.0
2016-02-19,13.82,14.12,13.82,14.12,4191.0
2016-02-22,14.52,14.52,14.52,14.52,506.0
2016-02-23,13.58,14.71,13.58,14.57,2760.0
2016-02-24,14.57,14.57,14.57,14.57,132.0
2016-02-25,14.57,14.57,12.84,13.33,6216.0
2016-02-26,13.08,13.13,11.85,12.79,11641.0
2016-02-29,12.34,12.34,12.34,12.34,608.0
2016-03-01,12.34,12.34,11.85,12.29,8346.0
2016-03-02,12.34,13.82,12.34,12.34,2739.0
2016-03-03,13.82,13.82,12.49,12.49,5250.0
2016-03-04,12.49,13.73,12.49,13.73,232.0
2016-03-07,12.84,12.84,12.74,12.84,2491.0
2016-03-08,12.74,13.33,12.74,12.74,2179.0
2016-03-09,12.39,12.39,12.34,12.34,1160.0
2016-03-10,12.34,12.34,11.6,11.6,12370.0
2016-03-11,11.6,11.85,11.36,11.85,2552.0
2016-03-14,11.85,12.84,11.75,11.75,6064.0
2016-03-15,11.85,11.85,11.85,11.85,896.0
2016-03-16,11.01,12.29,11.01,12.29,621.0
2016-03-17,11.11,12.2,11.11,12.2,481.0
2016-03-18,11.01,12.34,11.01,12.0,1685.0
2016-03-21,12.0,12.0,12.0,12.0,0.0
2016-03-22,12.15,12.2,12.15,12.2,1165.0
2016-03-23,12.2,12.2,11.31,11.31,563.0
2016-03-24,12.2,12.2,12.2,12.2,471.0
2016-03-29,12.2,12.2,11.36,12.15,1830.0
2016-03-30,11.65,12.05,11.36,12.05,6222.0
2016-03-31,12.15,12.15,11.45,11.65,5178.0
2016-04-01,11.36,12.1,11.36,11.41,4415.0
2016-04-04,11.36,11.36,10.76,11.31,3182.0
2016-04-05,11.85,11.85,11.5,11.5,580.0
2016-04-06,10.66,11.65,10.66,11.16,789.0
2016-04-07,10.86,11.55,10.86,11.06,3328.0
2016-04-08,11.16,11.6,11.16,11.6,2561.0
2016-04-11,10.91,11.11,10.91,11.11,2813.0
2016-04-12,10.86,10.86,10.71,10.71,1396.0
2016-04-13,10.71,10.71,10.37,10.57,14808.0
2016-04-14,10.37,10.62,10.37,10.62,1301.0
2016-04-15,10.52,11.85,10.37,11.85,3652.0
2016-04-18,11.85,11.85,11.85,11.85,1929.0
2016-04-19,10.71,11.01,10.71,10.86,2360.0
2016-04-20,10.91,10.91,10.91,10.91,36.0
2016-04-21,11.01,11.8,10.52,11.8,12750.0
2016-04-22,10.57,11.6,10.57,11.55,3666.0
2016-04-25,11.26,11.26,11.26,11.26,304.0
2016-04-26,10.62,11.41,10.62,11.41,153.0
2016-04-27,11.16,11.16,11.16,11.16,152.0
2016-04-28,11.36,11.36,10.66,10.86,5650.0
2016-04-29,10.71,11.16,10.71,10.86,4318.0
2016-05-02,10.42,11.16,10.37,11.16,4729.0
2016-05-03,10.91,11.75,10.91,11.31,5617.0
2016-05-04,11.31,11.5,11.31,11.5,5416.0
2016-05-06,11.5,11.55,11.01,11.5,4298.0
2016-05-09,11.01,11.36,10.86,11.36,14156.0
2016-05-10,10.66,11.21,10.66,10.71,4935.0
2016-05-11,10.86,11.01,10.66,10.86,8025.0
2016-05-12,11.16,11.16,10.62,11.11,6141.0
2016-05-13,10.66,10.86,10.66,10.86,1570.0
2016-05-16,10.86,11.31,10.52,10.86,4767.0
2016-05-17,10.47,10.86,10.27,10.76,10798.0
2016-05-18,10.76,10.76,10.76,10.76,2014.0
2016-05-19,10.81,11.45,10.81,11.45,9388.0
2016-05-20,10.86,11.41,10.86,10.86,5497.0
2016-05-23,10.86,10.86,10.32,10.86,1223.0
2016-05-24,11.11,11.16,10.02,10.76,4724.0
2016-05-25,10.47,10.62,10.42,10.62,1756.0
2016-05-26,9.97,10.47,9.48,10.17,4298.0
2016-05-27,10.07,10.07,9.83,9.87,6089.0
2016-05-30,10.32,10.37,9.92,9.92,1312.0
2016-05-31,9.97,10.37,9.92,10.37,3481.0
2016-06-01,10.52,10.52,9.92,9.92,4264.0
2016-06-02,10.22,10.47,10.17,10.27,4238.0
2016-06-03,10.42,10.62,10.32,10.62,5860.0
2016-06-07,10.62,11.16,10.62,10.96,7866.0
2016-06-08,10.42,10.42,10.42,10.42,1620.0
2016-06-09,10.17,10.17,10.17,10.17,1013.0
2016-06-10,10.17,10.57,9.97,10.57,4476.0
2016-06-13,9.92,10.32,9.48,9.48,4553.0
2016-06-14,9.28,9.87,9.28,9.87,10800.0
2016-06-15,9.68,9.68,9.38,9.38,2420.0
2016-06-16,9.08,9.87,9.08,9.87,5651.0
2016-06-17,9.87,10.76,9.87,10.76,1835.0
2016-06-20,9.48,10.76,9.48,10.76,1114.0
2016-06-21,10.47,10.47,9.43,10.37,1683.0
2016-06-22,10.37,10.81,9.78,10.57,6562.0
2016-06-23,10.22,10.47,10.22,10.47,10220.0
2016-06-27,8.39,10.47,8.39,10.47,1733.0
2016-06-28,10.81,10.81,9.53,10.62,1063.0
2016-06-29,10.52,10.57,10.07,10.57,1599.0
2016-06-30,9.97,10.66,9.97,10.66,2226.0
2016-07-01,10.66,10.66,10.17,10.57,435.0
2016-07-04,10.12,10.62,10.12,10.57,6810.0
2016-07-05,10.32,10.32,10.32,10.32,2025.0
2016-07-06,10.07,10.52,10.07,10.52,1114.0
2016-07-07,10.52,10.52,10.52,10.52,0.0
2016-07-11,9.87,10.02,9.78,10.02,22233.0
2016-07-12,10.02,10.22,9.87,10.22,2248.0
2016-07-13,9.38,10.22,9.38,10.22,2430.0
2016-07-14,10.02,10.02,10.02,10.02,203.0
2016-07-15,9.38,9.83,9.38,9.78,2075.0
2016-07-18,9.87,10.17,9.87,10.17,1823.0
2016-07-19,9.87,9.87,9.87,9.87,456.0
2016-07-20,9.87,10.17,9.38,9.92,4319.0
2016-07-21,9.97,10.42,9.97,10.37,14015.0
2016-07-22,10.02,10.81,10.02,10.81,13804.0
2016-07-25,10.42,10.71,10.42,10.71,287.0
2016-07-26,10.76,11.11,10.76,11.11,10286.0
2016-07-27,10.86,10.86,10.86,10.86,2043.0
2016-07-28,10.86,11.16,10.86,11.16,9898.0
2016-07-29,11.11,11.11,10.81,11.06,6268.0
2016-08-01,11.06,11.11,10.86,11.11,861.0
2016-08-02,10.57,11.11,10.57,11.11,3228.0
2016-08-03,10.86,10.86,10.86,10.86,101.0
2016-08-04,10.86,10.86,10.86,10.86,0.0
2016-08-08,10.66,11.06,10.47,11.06,2415.0
2016-08-09,10.71,10.71,10.17,10.52,5340.0
2016-08-10,10.32,10.57,10.27,10.57,1377.0
2016-08-11,9.97,10.07,9.97,10.07,434.0
2016-08-12,9.92,10.37,9.92,10.02,2658.0
2016-08-15,10.02,10.17,9.97,10.12,3644.0
2016-08-16,10.12,10.12,10.12,10.12,760.0
2016-08-17,9.97,10.96,9.97,10.96,3950.0
2016-08-18,10.96,11.7,10.66,11.55,59365.0
2016-08-19,11.75,11.75,10.47,10.76,10745.0
2016-08-22,11.45,11.45,10.76,10.91,3240.0
2016-08-23,10.91,11.7,10.86,10.86,10218.0
2016-08-24,11.6,11.6,10.86,10.91,3068.0
2016-08-25,11.75,11.75,10.91,11.26,8110.0
2016-08-26,10.86,11.36,10.86,10.91,2578.0
2016-08-29,10.91,11.21,10.86,10.86,5142.0
2016-08-30,10.86,10.86,10.47,10.66,5165.0
2016-08-31,10.47,10.47,10.47,10.47,1332.0
2016-09-01,10.62,10.62,10.17,10.52,1215.0
2016-09-02,10.81,11.7,10.47,10.62,19915.0
2016-09-05,10.76,10.76,10.76,10.76,304.0
2016-09-06,10.57,11.06,10.37,10.62,10903.0
2016-09-07,11.01,11.31,10.62,10.62,9640.0
2016-09-08,10.62,11.11,10.52,10.71,1645.0
2016-09-09,10.57,10.86,10.37,10.76,6532.0
2016-09-12,10.66,10.96,10.37,10.96,1701.0
2016-09-13,11.01,11.75,11.01,11.55,7248.0
2016-09-14,11.55,11.55,10.42,10.76,8833.0
2016-09-15,10.66,10.66,10.66,10.66,101.0
2016-09-16,10.81,10.91,10.81,10.86,1570.0
2016-09-19,11.16,11.7,11.16,11.16,7513.0
2016-09-20,11.75,11.75,11.55,11.7,5949.0
2016-09-21,11.75,11.75,11.6,11.6,7317.0
2016-09-22,11.8,13.13,11.8,12.05,31354.0
2016-09-23,11.95,12.29,11.85,11.9,10027.0
2016-09-26,11.85,11.85,11.85,11.85,1808.0
2016-09-27,11.75,11.85,11.75,11.85,11817.0
2016-09-28,11.85,11.85,11.75,11.85,2029.0
2016-09-29,11.85,11.85,11.55,11.7,1712.0
2016-09-30,11.7,12.0,11.06,12.0,6279.0
2016-10-04,11.01,11.85,11.01,11.55,6663.0
2016-10-05,11.55,11.55,11.11,11.11,2834.0
2016-10-06,11.26,11.26,11.16,11.16,2025.0
2016-10-07,11.16,11.16,11.16,11.16,0.0
2016-10-10,11.11,11.16,11.11,11.11,5256.0
2016-10-11,11.11,11.11,11.11,11.11,729.0
2016-10-12,11.11,11.16,11.11,11.11,2279.0
2016-10-13,11.11,11.16,11.11,11.16,3246.0
2016-10-14,11.11,11.11,11.01,11.11,1480.0
2016-10-17,11.11,11.11,11.11,11.11,9.0
2016-10-18,11.01,11.31,10.96,11.06,1332.0
2016-10-19,10.86,11.01,10.86,10.86,997.0
2016-10-20,10.86,10.86,10.22,10.57,4340.0
2016-10-21,10.57,11.31,10.57,10.76,1857.0
2016-10-24,10.07,10.71,9.97,10.32,3322.0
2016-10-25,11.45,11.45,10.27,10.32,1504.0
