Date,Open,High,Low,Close,Volume
2010-01-04,2128.23,2159.76,2057.29,2096.71,53.0
2010-01-05,2096.71,2246.47,2096.71,2128.23,52.0
2010-01-07,2128.23,2128.23,2049.41,2049.41,98.0
2010-01-08,2033.65,2049.41,1915.41,1970.59,150.0
2010-01-11,2010.0,2041.53,1923.29,2033.65,134.0
2010-01-12,2017.88,2049.41,1970.59,2033.65,63.0
2010-01-13,1939.06,1962.71,1899.65,1899.65,90.0
2010-01-14,1931.18,1970.59,1852.35,1891.76,72.0
2010-01-15,1970.59,1970.59,1852.35,1891.76,64.0
2010-01-18,1907.53,1907.53,1812.94,1891.76,47.0
2010-01-19,1891.76,1891.76,1812.94,1820.82,25.0
2010-01-20,1820.82,1883.88,1820.82,1828.71,60.0
2010-01-21,1812.94,1891.76,1773.53,1883.88,134.0
2010-01-22,1891.76,1891.76,1781.41,1876.0,47.0
2010-01-25,1789.29,1852.35,1757.76,1781.41,36.0
2010-01-26,1734.12,1805.06,1734.12,1797.18,12.0
2010-01-27,1852.35,1852.35,1686.82,1734.12,96.0
2010-01-28,1812.94,1812.94,1686.82,1726.23,23.0
2010-01-29,1718.35,1718.35,1686.82,1686.82,15.0
2010-02-01,1686.82,1686.82,1615.88,1623.76,65.0
2010-02-02,1655.29,1655.29,1592.23,1639.53,69.0
2010-02-03,1655.29,1655.29,1466.12,1513.41,117.0
2010-02-04,1466.12,1497.65,1442.47,1442.47,122.0
2010-02-05,1450.35,1552.82,1450.35,1481.88,80.0
2010-02-08,1694.71,1694.71,1229.65,1261.18,166.0
2010-02-09,1261.18,1340.0,1198.12,1300.59,166.0
2010-02-10,1190.23,1379.41,1182.35,1308.47,105.0
2010-02-11,1340.0,1340.0,1182.35,1292.71,110.0
2010-02-12,1276.94,1284.82,1206.0,1284.82,11.0
2010-02-15,1245.41,1292.71,1213.88,1292.71,10.0
2010-02-16,1292.71,1292.71,1221.76,1261.18,23.0
2010-02-17,1284.82,1418.82,1284.82,1418.82,116.0
2010-02-18,1450.35,1497.65,1418.82,1418.82,44.0
2010-02-19,1474.0,1671.06,1466.12,1592.23,115.0
2010-02-22,1576.47,1655.29,1552.82,1568.59,34.0
