Date,Open,High,Low,Close,Volume
2010-01-04,12.35,12.53,12.32,12.53,466072.0
2010-01-05,12.53,12.65,12.35,12.65,182012.0
2010-01-07,12.65,12.83,12.62,12.81,462896.0
2010-01-08,12.76,13.09,12.76,13.09,829780.0
2010-01-11,12.99,13.23,12.99,13.09,891256.0
2010-01-12,13.09,13.16,12.99,12.99,780088.0
2010-01-13,12.9,13.09,12.9,13.09,1228736.0
2010-01-14,13.09,13.23,13.04,13.11,993304.0
2010-01-15,13.18,13.27,13.09,13.23,638976.0
2010-01-18,13.23,13.46,13.23,13.44,685184.0
2010-01-19,13.44,13.46,13.18,13.46,607720.0
2010-01-20,13.39,13.46,13.23,13.25,518116.0
2010-01-21,13.27,13.37,13.04,13.09,726616.0
2010-01-22,13.02,13.16,12.81,13.04,588680.0
2010-01-25,12.93,13.23,12.93,13.02,678620.0
2010-01-26,12.9,13.06,12.9,12.99,953232.0
2010-01-27,12.9,13.09,12.9,13.02,453048.0
2010-01-28,13.09,13.11,12.97,13.06,344344.0
2010-01-29,13.11,13.11,12.9,13.09,395864.0
2010-02-01,13.04,13.34,12.99,13.23,315832.0
2010-02-02,13.23,13.44,13.2,13.44,602780.0
2010-02-03,13.37,13.46,13.3,13.32,237068.0
2010-02-04,13.37,13.37,13.27,13.32,472484.0
2010-02-05,13.27,13.27,13.11,13.13,926924.0
2010-02-08,13.02,13.2,12.79,12.83,539068.0
2010-02-09,12.72,12.9,12.72,12.76,453936.0
2010-02-10,12.88,12.88,12.44,12.51,878592.0
2010-02-11,12.55,12.79,12.44,12.72,1246884.0
2010-02-12,12.67,12.79,12.65,12.69,209860.0
2010-02-15,12.81,12.81,12.55,12.67,319732.0
2010-02-16,12.67,12.67,12.53,12.62,240012.0
2010-02-17,12.67,12.86,12.67,12.81,387084.0
2010-02-18,12.88,12.93,12.79,12.9,901748.0
2010-02-19,12.9,13.04,12.83,12.99,382660.0
2010-02-22,13.11,13.2,13.09,13.2,289888.0
2010-02-23,13.2,13.25,13.13,13.18,324104.0
2010-02-24,13.18,13.18,12.88,13.18,320424.0
2010-02-25,13.13,13.37,13.09,13.32,916024.0
2010-02-26,13.32,13.39,13.27,13.37,380124.0
2010-03-01,13.37,13.48,13.25,13.3,408456.0
2010-03-02,13.37,13.46,13.27,13.41,259888.0
2010-03-03,13.41,13.64,13.41,13.6,207300.0
2010-03-04,13.46,13.85,13.46,13.76,399568.0
2010-03-05,13.78,13.78,13.55,13.57,315036.0
2010-03-08,13.6,13.85,13.6,13.81,304416.0
2010-03-09,13.92,13.97,13.76,13.83,308428.0
2010-03-10,13.85,13.9,13.6,13.81,4425072.0
2010-03-11,13.83,13.88,13.69,13.76,281164.0
2010-03-12,13.81,14.02,13.78,13.85,772544.0
2010-03-15,13.74,13.92,13.74,13.9,482308.0
2010-03-16,13.88,14.06,13.88,14.06,818000.0
2010-03-17,14.06,14.25,14.02,14.2,529484.0
2010-03-18,14.2,14.29,14.2,14.2,205156.0
2010-03-19,14.16,14.16,13.9,14.11,567224.0
2010-03-22,14.06,14.34,14.02,14.2,537592.0
2010-03-23,14.11,14.34,14.11,14.2,693960.0
2010-03-24,14.11,14.25,14.06,14.16,893796.0
2010-03-25,14.16,14.34,14.16,14.34,676836.0
2010-03-26,14.29,14.34,14.11,14.2,483596.0
