Date,Open,High,Low,Close,Volume
2010-01-04,5.55,5.55,5.55,5.55,236.0
2010-01-05,5.39,5.39,5.39,5.39,500.0
2010-01-07,5.39,5.39,5.07,5.07,2325.0
2010-01-08,5.55,5.55,5.23,5.23,2750.0
2010-01-11,5.23,5.23,5.23,5.23,4100.0
2010-01-13,5.23,5.23,5.23,5.23,2850.0
2010-01-14,5.39,5.55,5.39,5.55,359.0
2010-01-15,5.39,5.71,5.23,5.71,3139.0
2010-01-18,5.39,5.71,5.23,5.71,3683.0
2010-01-19,5.23,5.71,5.23,5.71,611.0
2010-01-20,5.39,5.39,5.39,5.39,12.0
2010-01-21,5.23,5.55,5.23,5.23,13259.0
2010-01-22,5.55,5.55,5.23,5.23,5717.0
2010-01-25,5.23,5.23,5.23,5.23,3000.0
2010-01-26,5.23,5.23,5.23,5.23,706.0
2010-01-27,5.07,5.07,5.07,5.07,7425.0
2010-01-28,5.39,5.39,5.39,5.39,939.0
2010-01-29,5.39,5.55,5.39,5.55,586.0
2010-02-02,5.23,5.39,5.07,5.39,2400.0
2010-02-05,5.39,5.39,5.39,5.39,50.0
2010-02-09,5.07,5.07,5.07,5.07,3014.0
2010-02-10,4.91,5.39,4.91,5.39,2000.0
2010-02-11,5.07,5.39,4.91,5.39,21019.0
2010-02-12,5.39,5.39,5.07,5.07,3877.0
2010-02-16,5.23,5.23,5.23,5.23,500.0
2010-02-17,4.91,4.91,4.91,4.91,500.0
2010-02-19,5.07,5.07,5.07,5.07,500.0
2010-02-22,4.91,5.23,4.91,5.23,1933.0
2010-02-23,5.07,5.07,4.76,4.76,1996.0
2010-02-25,5.07,5.55,5.07,5.55,38250.0
2010-02-26,5.07,5.07,4.91,4.91,1790.0
2010-03-01,5.23,5.23,5.07,5.07,15138.0
2010-03-02,5.23,5.23,5.23,5.23,11900.0
2010-03-03,5.07,5.23,5.07,5.23,1605.0
2010-03-05,5.23,5.71,5.23,5.71,8736.0
2010-03-08,5.71,5.71,5.71,5.71,1460.0
2010-03-09,6.02,6.02,5.71,6.02,6257.0
2010-03-10,6.02,6.02,5.55,5.87,4500.0
2010-03-11,5.87,5.87,5.71,5.71,1350.0
2010-03-12,6.02,6.18,5.87,6.02,3430.0
2010-03-15,6.02,6.02,5.71,6.02,4070.0
2010-03-16,6.18,6.34,5.87,6.34,11070.0
2010-03-17,6.66,7.13,6.66,7.13,6462.0
2010-03-18,7.13,7.77,7.13,7.13,12647.0
2010-03-19,6.82,7.77,6.82,7.77,17900.0
2010-03-22,7.77,7.77,7.77,7.77,1500.0
2010-03-23,7.61,7.93,7.29,7.77,18150.0
2010-03-24,7.93,7.93,7.77,7.77,1300.0
2010-03-26,7.77,7.77,7.77,7.77,2500.0
2010-03-30,7.93,7.93,7.29,7.93,5600.0
2010-03-31,7.93,7.93,7.93,7.93,3750.0
2010-04-01,7.93,7.93,7.93,7.93,50.0
2010-04-08,7.93,8.24,7.93,8.24,1000.0
2010-04-12,7.61,8.09,7.61,8.09,75.0
2010-04-13,8.09,8.09,8.09,8.09,30.0
2010-04-14,8.09,8.09,7.61,8.09,995.0
2010-04-15,8.09,8.09,7.61,7.61,1170.0
2010-04-16,8.09,8.09,8.09,8.09,50.0
2010-04-19,8.09,8.09,7.77,7.77,850.0
2010-04-20,7.61,8.09,7.29,7.61,3800.0
2010-04-21,7.77,7.77,7.77,7.77,500.0
2010-04-22,7.45,7.45,7.45,7.45,1000.0
2010-04-23,7.45,7.77,7.45,7.77,400.0
2010-04-26,7.77,7.77,7.61,7.61,1356.0
2010-04-27,7.61,7.61,7.61,7.61,1000.0
2010-04-28,7.93,8.24,7.61,7.61,5094.0
2010-04-29,7.29,7.29,7.13,7.13,3819.0
