Date,Open,High,Low,Close,Volume
2016-02-03,37.92,37.92,32.23,33.66,146423.0
2016-02-04,33.18,34.6,32.33,32.42,41587.0
2016-02-05,32.42,33.18,31.66,31.66,21835.0
2016-02-08,31.57,32.23,28.44,28.73,53397.0
2016-02-09,28.82,30.24,27.97,30.15,18930.0
2016-02-10,30.81,30.81,29.01,29.86,8283.0
2016-02-11,30.81,32.23,28.44,28.54,18154.0
2016-02-12,28.63,30.34,28.44,30.34,10179.0
2016-02-15,30.24,31.29,29.39,30.81,20306.0
2016-02-16,30.81,31.95,30.15,30.15,15646.0
2016-02-17,29.96,29.96,29.01,29.86,4710.0
2016-02-18,30.34,30.34,29.86,29.86,5042.0
2016-02-19,29.86,29.86,28.63,29.01,14609.0
2016-02-22,29.01,30.15,28.44,28.92,9290.0
2016-02-23,28.63,28.92,28.06,28.82,6481.0
2016-02-24,28.54,28.54,27.3,27.49,13482.0
2016-02-25,27.68,27.68,27.4,27.4,3431.0
2016-02-26,27.11,28.44,27.11,27.68,8347.0
2016-02-29,27.68,27.68,26.83,27.49,4799.0
2016-03-01,28.35,28.35,27.02,28.06,2787.0
2016-03-02,28.16,29.58,28.16,29.29,11511.0
2016-03-03,28.82,32.52,28.82,32.23,25205.0
2016-03-04,33.18,33.94,31.0,32.23,30651.0
2016-03-07,34.03,34.03,31.47,31.85,15432.0
2016-03-08,31.57,34.22,30.81,32.61,27045.0
2016-03-09,33.18,33.37,31.29,31.76,10499.0
2016-03-10,31.76,32.23,28.92,31.0,14275.0
2016-03-11,30.24,30.72,29.39,30.05,7781.0
2016-03-14,29.67,30.05,29.01,29.01,9695.0
2016-03-15,29.01,29.86,28.92,29.01,7728.0
2016-03-16,29.77,31.29,29.77,30.81,12527.0
2016-03-17,30.81,31.29,30.43,31.1,10973.0
2016-03-18,31.29,32.04,30.24,32.04,18706.0
2016-03-21,32.23,37.83,32.23,37.07,99659.0
2016-03-22,37.92,39.34,34.98,39.34,99711.0
2016-03-23,39.63,40.1,38.11,39.25,45842.0
2016-03-24,39.63,39.63,36.88,38.4,6743.0
2016-03-29,39.34,40.48,37.92,39.82,44334.0
2016-03-30,40.39,41.71,40.2,41.24,23921.0
2016-03-31,42.19,44.46,41.81,43.14,42407.0
2016-04-01,43.14,43.51,42.66,42.95,10347.0
2016-04-04,43.04,43.04,38.4,41.9,29680.0
2016-04-05,39.91,40.67,38.87,39.82,13332.0
2016-04-06,38.96,39.82,38.96,39.82,4226.0
2016-04-07,40.29,40.29,38.3,38.3,10788.0
2016-04-08,39.63,39.63,36.97,37.83,10176.0
2016-04-11,38.77,38.77,37.45,37.45,2618.0
2016-04-12,36.97,37.35,36.12,36.5,11477.0
2016-04-13,36.31,38.3,36.31,38.3,9649.0
2016-04-14,38.11,38.21,36.59,37.16,1023.0
2016-04-15,37.16,38.21,36.97,38.21,8828.0
2016-04-18,38.21,38.21,36.69,37.83,4525.0
2016-04-19,38.77,38.77,36.97,37.92,11819.0
2016-04-20,38.4,38.4,36.97,37.26,3699.0
2016-04-21,36.5,37.35,36.03,36.4,5369.0
2016-04-22,37.83,37.83,35.55,36.03,6272.0
2016-04-25,36.88,36.88,35.08,35.08,21742.0
2016-04-26,35.08,36.03,35.08,36.03,3210.0
2016-04-27,36.03,36.03,35.08,35.17,3338.0
2016-04-28,35.17,35.84,34.7,35.08,6229.0
2016-04-29,34.6,35.84,34.6,35.27,4737.0
2016-05-02,35.27,38.11,35.27,36.97,9405.0
2016-05-03,37.73,37.73,36.03,36.59,6481.0
2016-05-04,36.88,36.88,36.88,36.88,237.0
2016-05-06,37.45,37.45,35.08,35.55,11062.0
2016-05-09,35.55,35.55,35.17,35.17,952.0
2016-05-10,35.17,35.55,35.17,35.55,484.0
2016-05-11,35.17,35.17,34.89,35.17,4121.0
2016-05-12,34.98,35.93,34.89,34.89,1201.0
2016-05-13,35.08,35.55,33.84,34.79,2760.0
2016-05-16,34.7,34.7,32.23,33.84,5617.0
2016-05-17,34.13,34.13,33.66,33.66,475.0
2016-05-18,33.18,33.18,32.52,32.8,4083.0
2016-05-19,33.18,33.75,33.18,33.28,802.0
2016-05-20,34.13,34.13,33.28,33.56,5701.0
2016-05-23,32.23,33.66,32.23,32.61,4901.0
2016-05-24,32.42,32.99,32.42,32.52,5377.0
2016-05-25,32.52,33.84,32.52,33.75,4986.0
2016-05-26,33.75,33.75,33.75,33.75,237.0
2016-05-27,33.75,33.75,32.42,33.09,1809.0
2016-05-30,32.33,32.42,31.85,32.23,11564.0
2016-05-31,32.23,32.23,31.85,32.04,4971.0
2016-06-01,33.18,34.7,33.18,33.18,8146.0
