Date,Open,High,Low,Close,Volume
2017-04-26,14.2,16.1,13.8,14.55,3608602.0
2017-04-27,14.6,15.1,13.25,13.25,3118341.0
2017-04-28,13.35,13.65,12.85,13.2,884861.0
2017-05-02,13.3,13.6,12.8,13.15,335474.0
2017-05-03,13.15,13.55,12.85,13.4,701417.0
2017-05-04,13.4,13.95,13.15,13.65,167656.0
2017-05-05,13.9,14.25,13.15,13.35,501796.0
2017-05-08,13.6,13.6,12.95,13.3,149264.0
2017-05-09,13.25,13.5,12.5,12.6,365789.0
2017-05-10,12.6,12.9,12.2,12.75,167464.0
2017-05-11,12.65,13.0,12.4,12.6,34020.0
2017-05-12,12.7,13.25,12.4,12.85,206970.0
2017-05-15,12.9,13.0,12.5,12.55,67906.0
2017-05-16,12.55,12.7,12.35,12.6,34518.0
2017-05-17,12.7,12.75,12.3,12.5,93571.0
2017-05-18,12.5,12.65,11.85,12.0,158576.0
2017-05-19,12.0,12.2,11.6,12.1,414277.0
2017-05-22,12.1,12.2,11.7,11.8,24186.0
2017-05-23,11.8,11.9,11.35,11.8,58911.0
2017-05-24,11.6,11.9,11.45,11.9,189367.0
2017-05-26,11.7,12.4,11.7,12.25,127690.0
2017-05-29,12.35,12.65,12.2,12.3,81675.0
2017-05-30,12.45,13.3,12.2,12.4,37488.0
2017-05-31,12.4,12.6,11.85,12.2,137498.0
2017-06-01,12.3,12.3,11.65,11.75,54313.0
2017-06-02,11.8,12.35,11.6,12.15,78321.0
2017-06-05,12.15,13.0,12.05,12.95,89632.0
2017-06-06,12.95,12.95,12.95,12.95,0.0
2017-06-07,12.85,13.0,12.65,12.75,37252.0
2017-06-08,12.5,12.85,12.4,12.5,32161.0
2017-06-09,12.75,13.5,12.65,12.85,125289.0
2017-06-12,13.0,13.0,12.5,12.7,48783.0
2017-06-13,12.7,12.95,12.55,12.75,15753.0
2017-06-14,12.7,13.05,12.6,12.9,30654.0
2017-06-15,12.9,13.1,12.4,13.0,227132.0
2017-06-16,12.9,13.6,12.8,13.45,227516.0
2017-06-19,13.4,13.7,13.15,13.3,98701.0
2017-06-20,13.3,13.6,13.0,13.45,86181.0
2017-06-21,13.45,13.9,13.15,13.65,196357.0
2017-06-22,13.75,13.75,13.4,13.5,33215.0
2017-06-23,13.5,13.5,13.5,13.5,0.0
2017-06-26,13.5,13.5,13.05,13.35,84074.0
2017-06-27,13.35,13.4,13.0,13.4,351212.0
2017-06-28,13.45,13.45,12.95,13.3,169734.0
2017-06-29,13.25,13.7,13.1,13.25,56507.0
2017-06-30,13.65,13.9,13.05,13.9,220743.0
2017-07-03,13.9,14.0,13.65,13.85,62754.0
2017-07-04,13.85,14.4,13.7,13.75,73590.0
2017-07-05,14.0,14.1,13.7,13.85,22990.0
2017-07-06,14.05,14.3,13.5,13.8,63376.0
2017-07-07,13.75,14.0,13.4,13.6,33482.0
2017-07-10,13.6,13.85,13.5,13.65,7965.0
2017-07-11,13.65,14.6,13.4,13.75,171717.0
2017-07-12,13.85,13.95,13.4,13.5,49855.0
2017-07-13,13.6,13.85,13.25,13.45,60267.0
2017-07-14,13.45,13.75,13.25,13.55,23019.0
2017-07-17,13.75,13.75,13.3,13.45,18588.0
2017-07-18,13.75,13.75,13.25,13.35,23459.0
2017-07-19,13.15,13.4,13.0,13.25,46361.0
2017-07-20,13.1,13.5,13.0,13.4,10533.0
2017-07-21,13.4,13.4,13.0,13.05,10916.0
2017-07-24,13.3,13.3,12.75,12.9,26444.0
2017-07-25,12.8,12.8,12.35,12.5,63684.0
2017-07-26,12.5,12.5,12.25,12.5,67178.0
2017-07-27,12.5,12.7,12.1,12.4,168598.0
2017-07-28,12.5,12.5,11.0,11.1,849209.0
2017-07-31,11.25,11.35,10.75,10.8,182910.0
2017-08-01,10.8,11.35,10.8,11.3,186024.0
2017-08-02,11.4,11.4,11.25,11.35,23456.0
2017-08-03,11.35,11.85,11.25,11.5,315779.0
2017-08-04,11.9,11.9,11.4,11.45,33656.0
2017-08-07,11.95,11.95,11.3,11.4,47855.0
2017-08-08,11.5,11.85,11.1,11.85,73170.0
2017-08-09,11.7,11.9,11.3,11.55,258438.0
2017-08-10,11.4,11.95,11.4,11.85,159152.0
2017-08-11,11.8,11.9,11.4,11.65,40720.0
2017-08-14,11.5,12.2,11.5,12.05,27605.0
2017-08-15,12.2,12.2,11.6,11.95,22560.0
2017-08-16,11.95,12.25,11.65,11.85,22360.0
2017-08-17,12.0,12.0,11.75,11.9,20762.0
2017-08-18,11.9,12.1,11.7,11.8,28997.0
2017-08-21,11.8,11.85,11.5,11.7,14295.0
2017-08-22,11.7,12.05,11.3,11.6,28420.0
2017-08-23,11.6,11.6,10.9,10.9,109556.0
2017-08-24,11.1,11.1,10.4,10.55,296262.0
2017-08-25,10.55,11.0,10.0,10.5,103726.0
2017-08-28,10.45,10.6,9.65,9.7,270056.0
2017-08-29,9.8,9.85,9.3,9.5,161286.0
2017-08-30,9.5,9.7,9.4,9.5,340655.0
2017-08-31,9.4,9.45,9.1,9.3,96796.0
2017-09-01,9.3,9.65,9.1,9.65,72998.0
2017-09-04,9.65,9.65,9.25,9.5,22265.0
2017-09-05,9.5,9.65,9.15,9.35,25788.0
2017-09-06,9.35,9.35,8.7,8.7,337948.0
2017-09-07,8.7,8.9,8.6,8.75,85985.0
2017-09-08,8.75,9.1,8.65,8.95,52698.0
2017-09-11,9.05,9.1,8.6,8.7,85526.0
2017-09-12,8.7,8.8,8.4,8.6,54780.0
2017-09-13,8.7,9.35,8.7,9.35,572414.0
2017-09-14,9.45,9.7,9.05,9.7,165849.0
2017-09-15,9.95,10.95,9.85,10.55,752841.0
2017-09-18,10.55,11.0,10.1,10.35,181214.0
2017-09-19,10.35,10.5,9.8,10.1,116552.0
2017-09-20,10.15,10.2,9.6,9.75,124295.0
2017-09-21,9.8,9.95,9.25,9.85,109520.0
2017-09-22,10.0,10.4,9.85,10.3,44078.0
2017-09-25,10.3,10.9,10.1,10.65,247300.0
2017-09-26,10.65,10.65,10.1,10.4,99887.0
2017-09-27,10.7,11.65,10.55,11.3,534017.0
2017-09-28,11.0,11.55,10.8,10.85,181079.0
2017-09-29,10.9,11.1,10.0,11.1,89329.0
2017-10-02,11.5,11.9,11.25,11.9,166173.0
2017-10-03,12.0,12.0,11.5,11.8,89525.0
2017-10-04,11.75,11.75,11.35,11.5,17832.0
2017-10-05,11.5,11.5,10.95,11.25,57190.0
2017-10-06,11.25,11.25,10.6,10.7,47343.0
2017-10-09,10.7,11.5,10.7,11.1,226308.0
2017-10-10,11.1,11.1,10.6,10.9,13707.0
2017-10-11,10.6,11.15,10.6,10.8,12302.0
2017-10-12,10.8,11.35,10.7,11.2,58827.0
2017-10-13,11.25,11.6,10.95,11.1,55381.0
2017-10-16,11.35,11.35,10.8,11.05,31460.0
2017-10-17,10.9,11.3,10.9,11.0,7981.0
2017-10-18,11.0,11.15,10.75,10.85,20066.0
2017-10-19,10.75,10.85,10.3,10.55,55705.0
2017-10-20,10.55,11.0,10.3,10.75,9022.0
2017-10-23,10.75,10.75,10.1,10.4,69090.0
2017-10-24,10.4,10.5,9.9,10.45,25019.0
2017-10-25,10.0,10.25,9.75,10.25,25957.0
2017-10-26,10.5,10.5,9.75,10.2,6396.0
2017-10-27,10.2,10.45,9.95,10.45,12519.0
2017-10-30,10.2,10.4,9.95,10.3,29091.0
2017-10-31,10.55,10.55,9.4,9.55,209109.0
2017-11-01,9.55,9.75,9.2,9.7,26495.0
2017-11-02,9.9,9.9,9.45,9.8,14427.0
2017-11-03,9.95,9.95,9.7,9.85,2231.0
2017-11-06,9.8,9.8,9.2,9.45,43535.0
2017-11-07,9.4,9.75,9.2,9.65,17277.0
2017-11-08,9.5,10.7,9.45,10.3,37891.0
2017-11-09,10.3,10.5,9.55,9.8,49633.0
2017-11-10,9.95,9.95,9.4,9.65,15835.0
2017-11-13,9.25,9.95,9.25,9.95,17052.0
2017-11-14,10.0,10.15,9.6,10.15,4840.0
2017-11-15,10.0,10.55,9.4,10.55,33522.0
2017-11-16,10.0,10.4,9.8,10.1,50959.0
2017-11-17,10.1,10.1,9.6,9.95,9847.0
2017-11-20,10.5,10.5,9.65,10.4,5472.0
2017-11-21,10.7,11.0,9.5,9.65,370916.0
2017-11-22,9.65,9.8,9.0,9.15,127877.0
2017-11-23,9.3,9.3,8.7,8.8,191934.0
2017-11-24,9.0,9.0,8.4,8.8,159213.0
2017-11-27,9.0,9.0,8.5,8.5,62232.0
2017-11-28,8.5,8.65,8.35,8.6,53752.0
2017-11-29,8.7,8.7,8.3,8.4,30586.0
2017-11-30,8.4,8.4,7.8,7.95,191238.0
2017-12-01,7.85,8.25,7.8,8.0,52856.0
2017-12-04,8.0,8.1,7.85,7.9,27857.0
2017-12-05,7.9,8.1,7.8,7.8,7404.0
2017-12-06,7.9,7.9,7.65,7.9,7489.0
2017-12-07,7.9,7.95,7.5,7.5,87065.0
2017-12-08,7.5,7.7,7.25,7.3,61430.0
2017-12-11,7.4,8.2,7.3,8.0,267115.0
2017-12-12,8.15,8.9,8.0,8.45,204085.0
2017-12-13,8.65,9.6,8.65,8.7,56086.0
2017-12-14,8.65,8.9,8.15,8.15,50588.0
2017-12-15,8.25,8.6,7.95,8.2,59827.0
2017-12-18,8.5,8.95,7.65,7.8,50363.0
2017-12-19,7.85,8.25,7.6,8.05,38653.0
2017-12-20,8.05,8.1,7.75,7.75,66070.0
2017-12-21,7.75,8.05,7.75,7.8,34696.0
2017-12-22,8.0,8.1,7.8,8.0,63296.0
2017-12-27,8.05,8.4,8.05,8.2,31516.0
2017-12-28,9.0,9.0,8.3,8.6,64623.0
2017-12-29,8.6,9.0,8.5,9.0,36647.0
2018-01-02,9.0,9.2,8.7,8.71,18222.0
2018-01-03,8.72,8.95,8.7,8.7,37935.0
2018-01-04,8.7,9.08,8.3,8.88,37532.0
2018-01-05,9.04,9.04,8.62,9.0,19607.0
2018-01-08,9.0,9.08,8.26,8.45,48064.0
2018-01-09,8.49,8.99,8.4,8.79,39899.0
2018-01-10,8.7,8.9,8.5,8.8,10194.0
2018-01-11,8.51,8.83,8.5,8.61,20627.0
2018-01-12,8.61,8.79,8.33,8.48,30364.0
2018-01-15,8.55,8.89,8.5,8.54,9528.0
2018-01-16,8.54,8.89,8.4,8.6,11363.0
2018-01-17,8.6,8.81,8.35,8.49,18540.0
2018-01-18,8.35,8.8,8.3,8.34,9575.0
