Date,Open,High,Low,Close,Volume
2017-06-08,5.02,6.01,4.27,5.35,4505210.0
2017-06-09,5.47,5.55,4.89,5.39,1133052.0
2017-06-12,5.43,5.43,4.81,5.06,457949.0
2017-06-13,5.1,5.31,5.06,5.14,114630.0
2017-06-14,5.18,5.18,4.77,4.85,166340.0
2017-06-15,4.81,4.89,4.64,4.81,96682.0
2017-06-16,4.81,4.97,4.64,4.73,95730.0
2017-06-19,4.73,4.77,4.52,4.56,239495.0
2017-06-20,4.52,4.81,4.44,4.56,193224.0
2017-06-21,4.56,4.64,4.31,4.48,81645.0
2017-06-22,4.48,4.73,4.44,4.6,26508.0
2017-06-23,4.6,4.6,4.6,4.6,0.0
2017-06-26,4.77,4.77,4.48,4.56,49247.0
2017-06-27,4.64,4.64,4.48,4.48,54995.0
2017-06-28,4.48,4.6,4.44,4.6,74457.0
2017-06-29,4.56,4.6,4.48,4.56,28227.0
2017-06-30,4.56,4.6,4.56,4.56,72622.0
2017-07-03,4.56,4.56,4.48,4.48,6326.0
2017-07-04,4.39,4.39,4.23,4.23,21936.0
2017-07-05,4.23,4.39,4.23,4.35,26919.0
2017-07-06,4.31,4.6,4.31,4.52,27657.0
2017-07-07,4.44,4.6,4.35,4.39,26685.0
2017-07-10,4.39,4.48,4.31,4.44,26974.0
2017-07-11,4.52,4.6,4.48,4.48,23798.0
2017-07-12,4.56,4.56,4.31,4.31,20550.0
2017-07-13,4.31,4.56,4.31,4.56,7340.0
2017-07-14,4.48,4.6,4.48,4.48,17453.0
2017-07-17,4.39,4.56,4.31,4.31,24190.0
2017-07-18,4.23,4.31,4.15,4.23,62173.0
2017-07-19,4.23,4.23,4.02,4.06,16783.0
2017-07-20,4.06,4.23,4.06,4.15,6133.0
2017-07-21,4.15,4.15,4.1,4.15,2010.0
2017-07-24,4.15,4.15,4.1,4.15,5943.0
2017-07-25,4.15,4.35,4.15,4.35,1568.0
2017-07-26,4.44,4.48,4.35,4.35,6725.0
2017-07-27,4.44,4.44,4.44,4.44,14584.0
2017-07-28,4.44,4.44,4.15,4.31,19679.0
2017-07-31,4.31,4.31,4.23,4.23,5068.0
2017-08-01,4.23,4.23,3.98,4.15,12266.0
2017-08-02,4.1,4.1,3.86,4.06,15640.0
2017-08-03,4.1,4.1,4.1,4.1,6031.0
2017-08-04,4.06,4.09,3.93,4.09,21888.0
2017-08-07,4.09,4.09,4.05,4.05,239.0
2017-08-08,3.95,4.04,3.95,4.04,9649.0
2017-08-09,3.96,3.98,3.73,3.92,48524.0
2017-08-10,3.92,3.92,3.92,3.92,0.0
2017-08-11,3.96,3.96,3.85,3.85,3549.0
2017-08-14,3.92,3.92,3.85,3.92,1891.0
2017-08-15,3.85,3.85,3.85,3.85,2107.0
2017-08-16,3.93,3.93,3.8,3.81,4536.0
2017-08-17,3.81,3.81,3.61,3.65,14176.0
2017-08-18,3.69,3.73,3.65,3.65,14905.0
2017-08-21,3.65,3.65,3.49,3.56,17756.0
2017-08-22,3.56,3.7,3.55,3.62,37135.0
2017-08-23,3.57,3.61,3.57,3.61,5239.0
2017-08-24,3.56,3.56,3.49,3.49,6101.0
2017-08-25,3.54,3.97,3.54,3.97,114110.0
2017-08-28,4.0,4.0,3.84,3.9,42266.0
2017-08-29,3.9,3.9,3.44,3.59,20895.0
2017-08-30,3.66,3.94,3.58,3.69,37330.0
2017-08-31,3.76,3.85,3.69,3.76,34704.0
2017-09-01,3.84,4.39,3.84,4.0,73022.0
2017-09-04,4.0,4.64,4.0,4.39,58236.0
2017-09-05,4.48,4.48,4.02,4.15,21441.0
2017-09-06,4.15,4.19,4.06,4.19,11519.0
2017-09-07,4.19,4.31,4.19,4.19,10163.0
2017-09-08,4.27,4.31,4.02,4.19,22324.0
2017-09-11,4.27,4.31,4.15,4.31,8362.0
2017-09-12,4.31,4.48,4.23,4.48,39386.0
2017-09-13,4.52,4.52,4.27,4.35,53161.0
2017-09-14,4.35,4.35,3.77,4.23,74372.0
2017-09-15,4.15,4.44,4.15,4.44,29426.0
2017-09-18,4.44,4.44,4.35,4.35,4061.0
2017-09-19,4.31,4.35,4.31,4.35,362.0
2017-09-20,4.23,4.35,4.19,4.35,12660.0
