Date,Open,High,Low,Close,Volume
2011-04-04,12.79,12.79,9.31,9.45,60879.0
2011-04-05,10.81,10.81,9.31,9.73,26847.0
2011-04-06,9.64,9.64,8.65,8.65,22565.0
2011-04-07,8.74,10.15,8.74,9.73,30319.0
2011-04-08,9.73,11.1,9.54,10.01,56369.0
2011-04-11,9.83,9.83,9.59,9.78,5570.0
2011-04-12,9.73,9.73,9.45,9.5,4422.0
2011-04-13,9.4,10.81,9.36,10.81,18603.0
2011-04-14,10.77,10.77,9.59,9.64,14422.0
2011-04-15,9.68,9.68,9.03,9.26,13507.0
2011-04-18,9.12,9.12,9.07,9.07,13135.0
2011-04-19,9.21,9.21,9.03,9.03,10157.0
2011-04-20,9.17,9.87,8.93,8.93,21435.0
2011-04-21,8.93,9.97,8.93,9.97,4510.0
2011-04-26,9.45,9.78,9.31,9.31,19356.0
2011-04-27,9.07,9.4,8.84,9.4,18106.0
2011-04-28,9.21,9.21,8.65,8.65,2675.0
2011-04-29,8.89,9.12,8.89,9.12,3150.0
2011-05-02,9.4,9.4,9.4,9.4,31906.0
2011-05-04,9.4,9.4,9.21,9.4,10157.0
2011-05-05,9.4,9.4,9.4,9.4,6168.0
2011-05-06,9.4,9.54,9.4,9.4,18295.0
2011-05-09,9.26,9.4,9.26,9.4,61212.0
2011-05-10,9.4,9.4,9.21,9.21,5530.0
2011-05-11,9.4,9.4,8.89,9.12,4999.0
2011-05-12,8.89,8.89,8.89,8.89,1064.0
2011-05-13,8.89,8.89,8.89,8.89,106.0
2011-05-16,8.79,8.79,8.79,8.79,2127.0
2011-05-17,8.56,8.84,8.04,8.84,13230.0
2011-05-18,8.74,8.74,8.74,8.74,2340.0
2011-05-19,8.46,8.93,8.46,8.93,9572.0
2011-05-20,8.84,8.89,8.46,8.46,10476.0
2011-05-23,8.46,8.46,8.46,8.46,744.0
2011-05-24,8.23,8.46,8.23,8.46,2470.0
2011-05-25,8.23,8.23,8.23,8.23,7338.0
2011-05-26,8.23,8.42,8.13,8.13,7285.0
2011-05-27,8.13,8.13,8.04,8.04,4573.0
2011-05-30,8.04,8.04,7.85,7.85,12071.0
2011-05-31,7.9,7.9,7.66,7.66,4680.0
2011-06-01,7.66,7.66,7.66,7.66,0.0
2011-06-07,7.66,7.66,7.66,7.66,10635.0
2011-06-08,7.66,7.66,7.57,7.57,4360.0
2011-06-09,7.43,7.43,7.33,7.33,6298.0
2011-06-15,7.38,7.38,6.11,6.68,17442.0
2011-06-16,7.52,7.52,6.58,7.19,15517.0
2011-06-17,6.77,6.91,6.39,6.39,22174.0
2011-06-20,6.11,6.11,6.11,6.11,9612.0
2011-06-21,6.11,6.49,6.06,6.49,6062.0
2011-06-23,6.53,6.58,5.5,5.92,31374.0
2011-06-27,5.27,5.88,5.27,5.88,1595.0
2011-06-29,5.5,5.59,5.5,5.59,3701.0
2011-06-30,5.5,6.06,5.5,6.06,11539.0
2011-07-01,5.97,5.97,5.97,5.97,3084.0
2011-07-06,6.06,6.06,6.06,6.06,323.0
2011-07-08,5.83,5.83,5.83,5.83,2127.0
2011-07-12,5.64,5.64,5.64,5.64,4626.0
2011-07-14,5.74,5.74,5.64,5.64,3191.0
2011-07-15,5.74,5.74,5.74,5.74,174.0
2011-07-18,5.59,5.59,5.31,5.31,10476.0
2011-07-19,5.36,5.36,5.36,5.36,2659.0
2011-07-20,5.27,5.27,5.12,5.12,7764.0
2011-07-21,4.98,4.98,4.94,4.94,14730.0
2011-07-22,5.03,5.64,5.03,5.64,18027.0
2011-07-25,5.59,5.69,5.59,5.69,6807.0
2011-07-26,5.88,5.88,5.88,5.88,3233.0
2011-07-27,5.83,5.83,5.78,5.78,5637.0
2011-07-28,5.64,5.64,5.5,5.5,7232.0
2011-07-29,5.55,5.59,5.45,5.55,9399.0
2011-08-01,5.55,5.55,5.41,5.45,14358.0
2011-08-02,5.36,5.36,5.31,5.36,3722.0
2011-08-03,5.17,5.31,5.17,5.22,6372.0
2011-08-04,5.08,5.08,4.94,4.94,8375.0
2011-08-09,4.94,4.94,3.77,3.77,8295.0
2011-08-10,5.41,5.41,5.41,5.41,2127.0
2011-08-12,6.58,6.58,5.36,5.36,1118.0
2011-08-15,5.64,5.64,5.45,5.45,17442.0
2011-08-17,5.31,5.31,4.7,4.84,16295.0
2011-08-18,4.7,4.75,4.7,4.7,19143.0
2011-08-19,4.7,4.84,4.7,4.84,4300.0
2011-08-22,4.56,4.7,4.56,4.7,18314.0
2011-08-23,4.84,4.89,4.65,4.65,2136.0
2011-08-24,4.89,4.89,4.89,4.89,319.0
2011-08-25,4.7,4.84,4.7,4.75,8242.0
2011-08-26,4.98,5.5,4.98,5.5,2385.0
2011-08-29,4.94,4.94,4.94,4.94,3191.0
2011-08-30,4.75,4.94,4.75,4.94,234.0
2011-09-01,5.22,5.22,4.84,4.94,19951.0
2011-09-02,4.8,5.08,4.64,5.08,11752.0
2011-09-05,5.22,5.22,4.67,4.7,22170.0
2011-09-06,5.12,5.12,5.12,5.12,106.0
2011-09-07,5.08,5.22,5.08,5.17,5318.0
2011-09-08,4.89,5.08,4.8,5.08,5424.0
2011-09-14,5.12,5.12,5.12,5.12,425.0
2011-09-16,4.8,4.8,4.75,4.75,2552.0
2011-09-19,4.89,4.89,4.61,4.61,3191.0
2011-09-23,4.7,4.7,4.47,4.47,8880.0
2011-09-26,4.89,4.89,4.89,4.89,213.0
2011-09-29,4.42,4.42,4.42,4.42,2127.0
2011-09-30,4.75,4.75,4.75,4.75,106.0
2011-10-04,4.47,4.65,4.47,4.65,2233.0
2011-10-05,5.17,5.83,5.17,5.83,34724.0
2011-10-06,5.88,5.88,4.33,4.33,13729.0
2011-10-10,4.37,4.37,4.27,4.27,3988.0
2011-10-11,4.65,4.65,4.65,4.65,106.0
2011-10-12,4.65,4.65,4.65,4.65,372.0
2011-10-13,4.65,4.65,4.65,4.65,1542.0
2011-10-14,4.48,4.65,4.23,4.65,13400.0
2011-10-17,4.7,4.7,4.65,4.65,1014.0
2011-10-18,4.7,4.7,4.61,4.65,13751.0
2011-10-19,4.46,4.46,4.46,4.46,1064.0
2011-10-20,4.46,4.46,4.46,4.46,2127.0
2011-10-21,4.61,4.7,4.61,4.7,12762.0
2011-10-25,4.33,4.61,4.33,4.61,4360.0
2011-10-26,4.51,4.56,4.31,4.56,5530.0
2011-10-27,4.33,4.33,4.33,4.33,2127.0
2011-10-28,4.14,4.7,4.14,4.7,11805.0
2011-10-31,4.42,4.64,4.23,4.64,11486.0
2011-11-01,4.6,4.6,4.23,4.23,13826.0
2011-11-04,4.23,4.23,4.23,4.23,0.0
2011-11-08,4.28,4.28,4.28,4.28,2659.0
2011-11-09,3.95,3.95,3.95,3.95,3191.0
2011-11-10,4.23,4.23,4.23,4.23,2127.0
2011-11-17,4.75,4.75,4.75,4.75,0.0
2011-11-21,4.09,4.09,3.76,3.76,27971.0
2011-11-22,3.76,3.76,3.76,3.76,10635.0
2011-11-23,4.23,4.23,4.23,4.23,213.0
2011-11-28,4.23,4.23,3.95,3.95,2340.0
2011-12-01,3.76,4.23,3.76,4.23,2340.0
2011-12-02,3.76,3.86,3.76,3.86,33501.0
2011-12-05,3.67,3.71,3.67,3.67,5849.0
2011-12-06,3.71,3.76,3.67,3.76,14570.0
2011-12-07,3.99,3.99,3.67,3.67,5637.0
2011-12-08,4.14,4.14,4.14,4.14,218.0
2011-12-09,4.14,4.14,4.14,4.14,0.0
2011-12-12,3.62,3.67,3.62,3.67,17016.0
2011-12-13,3.48,4.14,3.48,4.14,1808.0
2011-12-20,3.76,3.76,3.76,3.76,4286.0
2011-12-21,3.79,4.14,3.79,4.14,5530.0
2011-12-22,3.9,3.9,3.9,3.9,1383.0
2011-12-23,3.9,3.9,3.9,3.9,0.0
2011-12-27,3.76,3.76,3.56,3.56,7486.0
2011-12-28,3.67,3.72,3.67,3.72,6155.0
2011-12-29,4.0,4.0,4.0,4.0,213.0
2011-12-30,3.64,3.73,3.64,3.73,9336.0
2012-01-03,3.96,3.96,3.96,3.96,2127.0
2012-01-04,3.95,3.95,3.95,3.95,851.0
2012-01-05,3.71,3.71,3.71,3.71,2127.0
2012-01-09,4.17,4.17,3.78,3.78,3946.0
2012-01-10,3.73,3.76,3.73,3.76,9226.0
2012-01-11,3.76,4.47,3.76,3.76,8498.0
