Date,ticker,Close,signal,nr_active_trades
2010-11-12,ATCO-B,65.97,1.0,1.0
2010-11-15,ENDO,220.14,1.0,2.0
2010-11-16,ADDT-B,28.92,1.0,1.0
2010-12-08,GUNN,34.63,1.0,4.0
2010-12-13,BOL,99.85,1.0,3.0
2010-12-17,FEEL,2.45,1.0,5.0
2010-12-22,BEIA-B,36.16,1.0,3.0
2010-12-23,CRAD-B,18.9,1.0,5.0
2010-12-27,AAK,14.32,1.0,1.0
2011-01-04,HEXA-B,139.33,1.0,10.0
2011-01-07,FAG,3.18,1.0,8.0
2011-01-12,BOTX,4.9,1.0,6.0
2011-01-18,BOTX,4.47,-1.0,6.0
2011-01-18,HEXA-B,129.73,-1.0,12.0
2011-01-19,LOOM-B,75.93,1.0,11.0
2011-01-24,BONG,32.01,1.0,6.0
2011-01-27,ADDT-B,31.88,-1.0,2.0
2011-02-01,AAK,13.29,-1.0,1.0
2011-02-02,ATCO-B,68.94,-1.0,1.0
2011-02-03,GUNN,34.19,-1.0,8.0
2011-02-08,BEIA-B,35.22,-1.0,1.0
2011-02-10,CRAD-B,23.74,-1.0,3.0
2011-02-11,LOOM-B,70.86,-1.0,6.0
2011-02-16,FAG,3.2,-1.0,4.0
2011-02-21,BONG,30.27,-1.0,2.0
2011-02-22,ENDO,243.32,-1.0,2.0
2011-02-24,ANOD-B,19.39,1.0,1.0
2011-03-11,SEMC,30.99,1.0,4.0
2011-03-14,BOL,92.64,-1.0,2.0
2011-03-15,NOTE,7.13,1.0,3.0
2011-03-16,FEEL,2.3,-1.0,2.0
2011-03-16,SEMC,29.39,-1.0,4.0
2011-03-17,NOTE,7.13,-1.0,2.0
2011-03-24,NTEK-B,7.91,1.0,2.0
2011-04-05,MEAB-B,30.26,1.0,2.0
2011-04-07,CATE,175.58,1.0,2.0
2011-04-08,CAT-B,12.98,1.0,2.0
2011-04-08,PRIC-B,11.71,1.0,6.0
2011-04-13,ATRE,10.82,1.0,2.0
2011-04-13,NCC-B,58.74,1.0,6.0
2011-04-14,BILL,40.52,1.0,3.0
2011-04-14,KNOW,56.64,1.0,6.0
2011-04-18,CATE,123.78,-1.0,5.0
2011-04-18,LUPE,76.99,1.0,7.0
2011-04-20,MSON-B,11.08,1.0,8.0
2011-04-26,AGRO,954.99,1.0,1.0
2011-04-27,MSON-B,11.14,-1.0,9.0
2011-05-04,CAT-B,11.83,-1.0,5.0
2011-05-12,ATRE,9.89,-1.0,3.0
2011-05-12,NTEK-B,8.27,-1.0,9.0
2011-05-16,LATO-B,92.64,1.0,5.0
2011-05-18,AGRO,869.99,-1.0,1.0
2011-05-18,LUPE,74.88,-1.0,6.0
2011-05-19,ITAB-B,8.49,1.0,3.0
2011-05-19,NMAN,25.7,1.0,8.0
2011-05-19,PRIC-B,11.13,-1.0,9.0
2011-05-26,BEIJ-B,57.31,1.0,2.0
2011-05-27,NCC-B,55.81,-1.0,8.0
2011-06-03,ITAB-B,9.58,-1.0,4.0
2011-06-14,ANOD-B,24.89,-1.0,1.0
2011-06-14,MEAB-B,31.06,-1.0,6.0
2011-06-15,KNOW,54.5,-1.0,3.0
2011-06-16,NMAN,23.33,-1.0,4.0
2011-06-17,BILL,38.35,-1.0,2.0
2011-06-17,LATO-B,83.52,-1.0,3.0
2011-07-01,ITAB-B,10.17,1.0,2.0
2011-07-11,ATRE,13.58,1.0,1.0
2011-07-14,DIGN,15.89,1.0,3.0
2011-07-18,ATRE,11.7,-1.0,1.0
2011-07-19,ATRE,12.09,1.0,1.0
2011-07-19,BEIJ-B,56.63,-1.0,2.0
2011-07-19,ITAB-B,9.51,-1.0,4.0
2011-08-03,DIGN,14.36,-1.0,2.0
2011-08-04,ATRE,14.42,-1.0,1.0
2011-08-23,MISE,9.0,1.0,1.0
2011-08-26,ATRE,15.52,1.0,1.0
2011-09-02,MISE,9.0,-1.0,2.0
2011-09-05,ATRE,14.86,-1.0,1.0
2011-09-07,ATRE,15.19,1.0,1.0
2011-10-27,ATRE,15.64,-1.0,1.0
2011-10-28,LUPE,145.07,1.0,1.0
2011-12-15,LUPE,144.71,-1.0,1.0
2011-12-30,HPOL-B,9.3,1.0,1.0
2012-01-16,EKTA-B,65.08,1.0,1.0
2012-02-13,BIOG-B,169.43,1.0,1.0
2012-02-21,FPIP,7.1,1.0,3.0
2012-02-29,OPUS,0.95,1.0,5.0
2012-03-20,CTT,33.69,1.0,2.0
2012-03-22,CEVI,14.16,1.0,2.0
2012-03-26,HPOL-B,10.14,-1.0,6.0
2012-03-29,ORTI-B,2.93,1.0,7.0
2012-04-19,IAR-B,29.5,1.0,6.0
2012-04-20,FPIP,6.49,-1.0,5.0
2012-04-20,ORTI-B,3.07,-1.0,8.0
2012-04-25,OEM-B,51.06,1.0,6.0
2012-04-27,HIFA-B,4.17,1.0,5.0
2012-05-07,DIGN,17.05,1.0,4.0
2012-05-09,BIOG-B,144.04,-1.0,1.0
2012-05-14,DIGN,15.58,-1.0,3.0
2012-05-15,HMS,19.91,1.0,5.0
2012-05-21,HIFA-B,4.62,-1.0,4.0
2012-05-28,HMS,19.27,-1.0,4.0
2012-05-29,OEM-B,52.15,-1.0,5.0
2012-06-01,OPUS,1.11,-1.0,5.0
